,Argument ID,Conclusion Farsi,Stance Farsi,Premise
59,Z059,باید خاک وطن را دوست داشت,به نفع,چرا نه در پی عزم دیار خود باشم چرا نه خاک سر کوی یار خود باشم غم غریبی و غربت چو بر نمی‌تابم به شهر خود روم و شهریار خود باشم ز محرمان سراپرده وصال شوم ز بندگان خداوندگار خود باشم چو کار عمر نه پیداست باری آن اولی که روز واقعه پیش نگار خود باشم ز دست بخت گران خواب و کار بی‌سامان گرم بود گله‌ای رازدار خود باشم همیشه پیشه من عاشقی و رندی بود دگر بکوشم و مشغول کار خود باشم بود که لطف ازل رهنمون شود حافظ وگرنه تا به ابد شرمسار خود باشم
60,Z060,باید به زیر دستان احترام گذاشت,به نفع,نه هر که چهره برافروخت دلبری داند نه هر که آینه سازد سکندری داند نه هر که طرف کله کج نهاد و تند نشست کلاه داری و آیین سروری داند تو بندگی چو گدایان به شرط مزد مکن که دوست خود روش بنده پروری داند غلام همت آن رند عافیت سوزم که در گداصفتی کیمیاگری داند وفا و عهد نکو باشد ار بیاموزی وگرنه هر که تو بینی ستمگری داند بباختم دل دیوانه و ندانستم که آدمی بچه‌ای شیوه پری داند هزار نکته باریکتر ز مو این جاست نه هر که سر بتراشد قلندری داند مدار نقطه بینش ز خال توست مرا که قدر گوهر یک دانه جوهری داند به قد و چهره هر آن کس که شاه خوبان شد جهان بگیرد اگر دادگستری داند ز شعر دلکش حافظ کسی بود آگاه که لطف طبع و سخن گفتن دری داند
61,Z061,انسان واقعی در برابر ظلم سکوت نمی‌کند,به نفع,زان شاه که او را هوس طبل و علم نیست دیوانه شدم بر سر دیوانه قلم نیست از دور ببینی تو مرا شخص رونده آن شخص خیالست ولی غیر عدم نیست پیش آ و عدم شو که عدم معدن جانست اما نه چنین جان که بجز غصه و غم نیست من بی من و تو بی تو درآییم در این جو زیرا که در این خشک بجز ظلم و ستم نیست این جوی کند غرقه ولیکن نکشد مرد کو آب حیاتست و بجز لطف و کرم نیست
62,Z062,باید قدردان دارایی‌های خودمان باشیم,به نفع,گر چه ما بندگان پادشهیم پادشاهان ملک صبحگهیم گنج در آستین و کیسه تهی جام گیتی نما و خاک رهیم هوشیار حضور و مست غرور بحر توحید و غرقه گنهیم شاهد بخت چون کرشمه کند ماش آیینه رخ چو مهیم شاه بیدار بخت را هر شب ما نگهبان افسر و کلهیم گو غنیمت شمار صحبت ما که تو در خواب و ما به دیده گهیم شاه منصور واقف است که ما روی همت به هر کجا که نهیم دشمنان را ز خون کفن سازیم دوستان را قبای فتح دهیم رنگ تزویر پیش ما نبود شیر سرخیم و افعی سیهیم وام حافظ بگو که بازدهند کرده‌ای اعتراف و ما گوهیم
63,Z063,بخشی از زمان هر روز را باید به تفریح و بخش دیگری را به کار اختصاص داد,به نفع,May you live every day of your life
64,Z064,باید سختی‌ها را تحمل کرد,به نفع,It takes ten times as long to put yourself back together as it does to fall apart
65,Z065,باید حق‌جو وعدالت‌پیشه باشیم,به نفع,حق را ز دل خالی از اندیشه طلب کن از شیشه‌ی بی می، می بی شیشه طلب کن
66,Z066,باید به یتیمان کمک کرد,به نفع,جائ الربیع مفتخرا فی جوارنا جائ الحبیب مبتسما وسط دارنا طیبوا و اکرموا و تعالوا التشربوا عند الحبیب مبتشرا فی عقارنا من رام مغنما و تصدی جواهرا فلیلزم الجواری وسط بحارنا
67,Z067,نباید براساس ظاهر افراد را قضاوت کرد,به نفع,Sometimes people are beautiful.Not in looks.Not in what they say.Just in what they are
68,Z068,نباید عیب دیگران را بر ملا کنیم,به نفع,ما نگوییم بد و میل به ناحق نکنیم جامه کس سیه و دلق خود ازرق نکنیم عیب درویش و توانگر به کم و بیش بد است کار بد مصلحت آن است که مطلق نکنیم رقم مغلطه بر دفتر دانش نزنیم سر حق بر ورق شعبده ملحق نکنیم شاه اگر جرعه رندان نه به حرمت نوشد التفاتش به می صاف مروق نکنیم خوش برانیم جهان در نظر راهروان فکر اسب سیه و زین مغرق نکنیم آسمان کشتی ارباب هنر می‌شکند تکیه آن به که بر این بحر معلق نکنیم گر بدی گفت حسودی و رفیقی رنجید گو تو خوش باش که ما گوش به احمق نکنیم حافظ ار خصم خطا گفت نگیریم بر او ور به حق گفت جدل با سخن حق نکنیم
69,Z069,باید اهل یادگیری و دانش باشیم,به نفع,آنجا که جهل مایه تمکین و سروریست باید به روز مردم دانا گریست
70,Z070,نباید اندوهگین شد,به نفع,دلی دارم که گرد غم نگردد میی دارم که هرگز کم نگردد دلی دارم که خوی عشق دارد که جز با عاشقان همدم نگردد خطی بستانم از میر سعادت که دیگر غم در این عالم نگردد چو خاص و عام آب خضر نوشند دگر کس سخره ماتم نگردد اگر فاسق بود زاهد کنندش وگر زاهد بود بلعم نگردد چو یابد نردبان بر چرخ شادی ز غم چون چرخ پشتش خم نگردد چو خرمشاه عشق از دل برون جست که باشد که خوش و خرم نگردد ز سایه طره های درهم او ز هر همسایه ای درهم نگردد بکن توبه ز گفتار ار چه توبه از آن توبه شکن محکم نگردد
71,Z071,باید به قلب و احساسات توجه کرد,به نفع,Fill your paper with the breathings of your heart
72,Z072,لزوما رسیدن به چیزی که آرزو داریم به نفع ما نیست,به نفع,و قال ع اذا لم یکن ما ترید فلا تبل ما کنت 
73,Z073,باید سختی‌ها را تحمل کرد,به نفع,به همه حال شکر باید کرد که مبادا ز بد بتر گردد
74,Z074,ما باید از غیبت کردن پرهیز کنیم,به نفع,آن روز قبول درگه دوست شوی کز رد و قبول خلق پروا نکنی
75,Z075,باید در برابر مشکلات استقامت داشته باشیم,به نفع,We have to continually be jumping off cliffs and developing our wings on the way down
76,Z076,باید قدردان دارایی‌های خودمان باشیم,به نفع,بیا تا قدر یکدیگر بدانیم که تا ناگه ز یکدیگر نمانیم
77,Z077,نباید مغرور باشیم,در مقابل,Don't be so humble - you are not that great
78,Z078,نباید عیب دیگران را بر ملا کنیم,به نفع,If you do not tell the truth about yourself you cannot tell it about other people
79,Z079,باید به یتیمان کمک کرد,به نفع,تا توانی به جهان خدمت محتاجان کن به دمی یا درمی یا قدمی یا قلمی
80,Z080,باید به قلب و احساسات توجه کرد,به نفع,و قال ع القلب مصحف البصر 
81,Z081,باید به زیر دستان احترام گذاشت,به نفع,بنازم به بزم محبت که آنجا گدایی به شاهی مقابل نشیند
82,Z082,کنترل نکردن زبان انسان را بی‌ارزش می‌کند.,به نفع,و قال ع لا خیر فی الصمت عن الحکم کما انه لا خیر فی القول بالجهل 
83,Z083,آزار دیگران یکی از صفات مذموم است که باید از آن پرهیز کرد,به نفع,دل که رنجید از کسی خرسند کردن مشکل است شیشه بشکسته را پیوند کردن مشکل است
84,Z084,باید قدردان دارایی‌های خودمان باشیم,به نفع,چرا نه در پی عزم دیار خود باشم چرا نه خاک سر کوی یار خود باشم غم غریبی و غربت چو بر نمی‌تابم به شهر خود روم و شهریار خود باشم ز محرمان سراپرده وصال شوم ز بندگان خداوندگار خود باشم چو کار عمر نه پیداست باری آن اولی که روز واقعه پیش نگار خود باشم ز دست بخت گران خواب و کار بی‌سامان گرم بود گله‌ای رازدار خود باشم همیشه پیشه من عاشقی و رندی بود دگر بکوشم و مشغول کار خود باشم بود که لطف ازل رهنمون شود حافظ وگرنه تا به ابد شرمسار خود باشم
85,Z085,هرکاری را می‌توان انجام داد به جز تغییر عادت‌ها,به نفع,"Everyone thinks of changing the world, but no one thinks of changing himself"
86,Z086,باید اهل یاری کردن یکدیگر بود,به نفع,روز شادی است بیا تا همگان یار شویم دست با هم بدهیم و بر دلدار شویم چون در او دنگ شویم و همه یک رنگ شویم همچنین رقص کنان جانب بازار شویم روز آن است که خوبان همه در رقص آیند ما ببندیم دکان ها همه بی کار شویم روز آن است که تشریف بپوشد جان ها ما به مهمان خدا بر سر اسرار شویم روز آن است که در باغ بتان خیمه زنند ما به نظاره ایشان سوی گلزار شویم
87,Z087,باید مهربان بود,به نفع,در این فکرم که خواهی ماند با من مهربان یا نه به من کم میکنی لطفی که داری این زمان یا نه
88,Z088,در کار خیر باید شتاب کرد و بدی را به تاخیر انداخت.,به نفع,و قال ع فاعل الخیر خیر منه و فاعل الشر شر منه 
89,Z089,باید اهل یاری کردن یکدیگر بود,به نفع,حاصل زندگی جز این نبود که بمیرد کسی برای کسی
90,Z090,صبر یکی از صفات خردمندان است,به نفع,و قال ع الصبر صبران صبر علی ما تکره و صبر عما تحب 
91,Z091,نباید اندوهگین شد,به نفع,ایام زمانه از کسی دارد ننگ کو در غم ایام نشیند دلتنگ
92,Z092,لزوما رسیدن به چیزی که آرزو داریم به نفع ما نیست,به نفع,We must be willing to let go of the life we planned so as to have the life that is waiting for us
93,Z093,انسان نباید فخر فروشی داشته باشد.,به نفع,یکی گولی همی خواهم که در دلبر نظر دارد نمی خواهم هنرمندی که دیده در هنر دارد دلی همچون صدف خواهم که در جان گیرد آن گوهر دل سنگین نمی خواهم که پندار گهر دارد ز خودبینی جدا گشته پر از عشق خدا گشته ز مالش های غم غافل به مالنده عبر دارد
94,Z094,باید در برابر مشکلات استقامت داشته باشیم,در مقابل,امید وصل به اندوه انتظار نیرزد نشاط باده به دردسر خمار نیرزد
95,Z095,بخشی از زمان هر روز را باید به تفریح و بخش دیگری را به کار اختصاص داد,در مقابل,روز شادی است بیا تا همگان یار شویم دست با هم بدهیم و بر دلدار شویم چون در او دنگ شویم و همه یک رنگ شویم همچنین رقص کنان جانب بازار شویم روز آن است که خوبان همه در رقص آیند ما ببندیم دکان ها همه بی کار شویم روز آن است که تشریف بپوشد جان ها ما به مهمان خدا بر سر اسرار شویم روز آن است که در باغ بتان خیمه زنند ما به نظاره ایشان سوی گلزار شویم
