Argument ID,Conclusion,Premise,Score
F01010,کنترل نکردن زبان انسان را بی‌ارزش می‌کند.,کسى که زياد سخن گويد اشتباهات زيادى خواهد کرد,1
F01011,کنترل نکردن زبان انسان را بی‌ارزش می‌کند.,بدون فکر سخن گفتن و کنترل نکردن زبان می‌تواند منجر شود که پشیمان شویم.,1
F01012,کنترل نکردن زبان انسان را بی‌ارزش می‌کند.,آن کسی که زبان را بر خود حاکم کند خود را بی‌ارزش کرده است.,1
F01013,نباید هرکسی که کار اشتباهی انجام داد را سرزنش کرد.,مرد را سرزنش نكنند كه چرا حقّش را با تأخير مى گيرد، بلكه سرزنش در آنجاست كه آنچه حقّش نيست بگيرد.,-1
F01014,نباید هرکسی که کار اشتباهی انجام داد را سرزنش کرد.,مشکلات و گرفتاری‌ها نتیجهٔ مستقیم اعمال انسان است که بر اثر ندانم‌کاری‌ها، سستی و تنبلی‌ها و استفاده نکردن به موقع فرصت‌ها دامن او را گرفته است و به یقین چنین شخصی در خورد,-1
F01015,نباید هرکسی که کار اشتباهی انجام داد را سرزنش کرد.,اگر کسی اشتباهی را انجام داد باید به او گفته شود تا دیگر آن اشتباه را تکرار نکند.,-1
F01016,نباید هرکسی که کار اشتباهی انجام داد را سرزنش کرد.,هر کسی که فریب خورده باشد را نمی‌توان سرزنش کرد.,1
F01017,لغزش هیچ‌کس بخشیدنی نیست.,از آثار و برکات مهم عفو دشمنان و خطاکاران اين است که در بسيارى از موارد ناگهان منقلب مى شوند و عداوت آن ها تبديل به دوستى صميمانه مى شود,-1
F01018,لغزش هیچ‌کس بخشیدنی نیست.,بخشیدن اشتباهات می‌شود تا افراد به خود اجازه دهند تکرار اشتباه را بدهند.,1
F01019,لغزش هیچ‌کس بخشیدنی نیست.,تبديل انتقام به عفو اثر مهم اجتماعى دارد و آن اين است که انتقام به صورت تصاعدى پيش مى رود و دائماً قتل و کشتار و ناامنى مى آفريند و هرگز اجازه نمى دهد صلح و صفا و آرامشى در جامعه پديد آيد در حالى که عفو و گذشت به خشونت ها پايان مى دهد و سبب آرامش جامعه است.,-1
F01020,لغزش هیچ‌کس بخشیدنی نیست.,برادرت را با احسانى كه در حق او مى كنى سرزنش كن، و شر او را با بخشش باز گردان.,-1
F01021,لغزش هیچ‌کس بخشیدنی نیست.,از آن ها خطاها سر خواهد زد و علت هایی عارضشان خواهد شد و به عمد یا خطا، لغزش هایی کنند، پس، از عفو و بخشایش خویش نصیبشان ده، همان گونه که دوست داری که خداوند نیز از عفو و بخشایش خود تو را نصیب دهد. زیرا تو برتر از آن ها هستی و آنکه تو را بر آن سرزمین ولایت داده، برتر از توست و خداوند برتر از کسی است که تو را ولایت داده است.,-1
F01022,لغزش هیچ‌کس بخشیدنی نیست.,از لغزش جوانمردان درگذريد، زيرا جوانمردى نمى ‏لغزد جز آن كه دست خدا او را بلند مرتبه مى‏ سازد.,-1
F01023,در فرصت‌ها نباید بخاطر ترس و شرم تردید ورزید.,ترس و شرمی که گاهی در فرصت‌ها برای انسان به وجود می آید گویای عدم آمادگی فرد در انجام آن کار هست و باید تا آمادگی کامل صبر کرد.,-1
F01024,در فرصت‌ها نباید بخاطر ترس و شرم تردید ورزید.,از دست دادن فرصت، اندوهبار است,1
F01025,در فرصت‌ها نباید بخاطر ترس و شرم تردید ورزید.,ترس با نااميدى، و شرم با محروميّت همراه است، و فرصت ها چون ابرها مى گذرند، پس فرصت هاى نيك را غنيمت شماريد.,1
F01026,کلمات ناخواسته و حالت چهره می‌توان آنچه که در قلب کسی است بر ملا کند,ظاهر و رفتار فرد نمی‌تواند گویای آنچه که در قلب و درون اوست باشد زیرا گاهی افراد نیت‌های درونی واسرار خود را پنهان می‌کنند.,-1
F01027,کلمات ناخواسته و حالت چهره می‌توان آنچه که در قلب کسی است بر ملا کند,كسى چيزى را در دل پنهان نكرد جز آن كه در لغزش هاى زبان و رنگ رخسارش، آشكار خواهد گشت.,1
F01028,باید قبل از سخن گفتن فکر کرد.,كسى كه زياد سخن مى گويد زياد هم اشتباه دارد، و هر كس كه بسيار اشتباه كرد، شرم و حياء او اندك است، و آن كه شرم او اندك، پرهيزكارى او نيز اندك خواهد بود، و كسى كه پرهيزكارى او اندك است دلش مرده، و آن كه دلش مرده باشد، در آتش جهنّم سقوط خواهد كرد,1
F01029,باید قبل از سخن گفتن فکر کرد.,چون عقل كامل گردد، سخن اندك شود.,1
F01030,باید قبل از سخن گفتن فکر کرد.,زبان عاقل در پشت قلب اوست، و قلب احمق در پشت زبانش قرار دارد,1
F01031,باید قبل از سخن گفتن فکر کرد.,فرستاده تو بيانگر ميزان عقل تو، و نامه تو گوياترين سخنگوى تو است,1
F01032,باید قبل از سخن گفتن فکر کرد.,سخن در بند توست، تا آن را نگفته باشى، و چون گفتى، تو در بند آنى. پس زبانت را نگهدار چنانكه طلا و نقره خود را نگه مى ‏دارى، زيرا چه بسا سخنى كه نعمتى را طرد يا نعمتى را جلب كرد.,1
F01033,باید قبل از سخن گفتن فکر کرد.,زبان درنده اى است که اگر رهايش کنى به تو آسيب مى رساند و مى دَرَد,1
F01034,سکوت همیشه نیکوست.,با سكوت بسيار، وقار انسان بيشتر شود،,1
F01035,سکوت همیشه نیکوست.,زبان عاقل پشت قلب او قرار دارد در حالى که قلب احمق پشت زبان اوست,1
F01036,سکوت همیشه نیکوست.,كمال ادب و مروّت، در هفت چيز است: عقل، بردبارى، صبر، ملايمت، سكوت، خوش اخلاقى و مدارا,1
F01037,سکوت همیشه نیکوست.,کسى که درباره حق بى طرف و بى تفاوت بماند و سکوت اختيار کند شيطان گنگى است,-1
F01038,سکوت همیشه نیکوست.,در آنجا كه بايد سخن گفت، خاموشى سودى ندارد، و آنجا كه بايد خاموش ماند سخن گفتن خيرى نخواهد داشت.,-1
F01040,باید قناعت داشت.,همیشه قانع و راضی بودن به هر چیزی منجر می‌شود تا به دنبال رفع کمبود و نقصان‌ها نرویم و برای بهتر شدن نکوشیم.,-1
F01041,باید قناعت داشت.,چشم از سختى خوار و خاشاك و رنج ها فرو بند تا همواره خشنود باشى,1
F01042,باید قناعت داشت.,كسى كه به روزى خدا خشنود باشد بر آنچه از دست رود اندوهگين نباشد,1
F01043,باید قناعت داشت.,آدمى را قناعت براى دولتمندى، و خوش خلقى براى فراوانى نعمت ها كافى است.,1
F01044,باید قناعت داشت.,وابستگى هاى انسان به مقام و مال و شهوات دنيا از شجاعت او مى کاهد و او را به اسارت مى کشاند؛ اما هنگامى که خود را از اين امور آزاد سازد، با شجاعت حرف خود را مى زند و راه خود را مى پيمايد و در برابر کسى ذليلانه سرتعظيم فرود نمى آورد و با توکل بر خدا در برابر حوادث سخت مى ايستد.,1
F01045,باید قناعت داشت.,برترین غنا و بی نیازی ترک آرزوهاست چرا که برای دست‌یافتن به آن‌ها باید دست حجات جلوی دیگران دراز کرد و باید از آرامش روح و فکر برای رسیدن به آرزو‌ها هزینه کرد.,1
F01046,باید قناعت داشت.,قناعت مالى است كه پايان نمى پذيرد.,1
F01047,هیچ گناهی نباید سبک شمرده شود.,بدترین گناه است که گناهکار آن را سبک بشمارد.,1
F01048,هیچ گناهی نباید سبک شمرده شود.,گناهان ساده و شخصی که به دیگران آسیبی نمی‌رساند را می‌توان سبک شمرد.,-1
F01049,نباید کسانی که مجبوریم به خاطر آن‌ها به تکلف بفتیم به عنوان دوست در نظر بگیریم.,باید با افراد خردمند و دانا دوست باشیم اگرچه به خاطر آن‌ها متحمل سختی شویم.,-1
F01050,نباید کسانی که مجبوریم به خاطر آن‌ها به تکلف بفتیم به عنوان دوست در نظر بگیریم.,بدترین دوست کسی است که بخاطر او در رنج و سختی و تکلف بیفتی,1
F01051,نباید غیبت دیگران را بکنیم.,از مردم گره هر کینه ای را بگشای و از دل بیرون کن و رشته هر عداوت را بگسل و خود را از آنچه از تو پوشیده داشته اند، به تغافل زن و گفته سخن چین را تصدیق مکن. زیرا سخن چین، خیانتکار است، هر چند، خود را چون نیک خواهان وانماید.,1
F01052,نباید غیبت دیگران را بکنیم.,غیبت کردن تلاش شخص ناتوان است.,1
F01053,ثمرهٔ بردباری و درنگ بلند همتی است.,بردباری و درنگ هماهنگ هستند و نتیجهٔ آن‌ها بلندهمتی است.,1
F01054,ما باید راست بگوییم حتی اگر به ضرر ما باشد و نباید دروغ بگوییم حتی اگر به ما سود برساند,نشانه ايمان آن است كه راست بگويى، آنگاه كه تو را زيان رساند، و دروغ نگويى كه تو را سود رساند؛ و آن كه بيش از مقدار عمل سخن نگويى، و چون از ديگران سخن گويى از خدا بترسى.,1
F01055,انسان نباید فخر فروشی داشته باشد.,فرزند آدم را با فخر فروشى چه كار؟ او كه در آغاز نطفه اى گنديده، و در پايان مردارى بد بو است، نه مى تواند روزى خويشتن را فراهم كند، و نه مرگ را از خود دور نمايد.,1
F01056,انسان نباید فخر فروشی داشته باشد.,خودپسندى يكى از حسودان عقل است.,1
F01057,انسان نباید فخر فروشی داشته باشد.,سزاوار نيست كه بنده خدا به دو خصلت اعتماد كنند: تندرستى، و توانگرى، زيرا در تندرستى ناگاه او را بيمار بينى، و در توانگرى ناگاه او را تهيدست.,1
F01058,انسان نباید فخر فروشی داشته باشد.,ترسناك ترين تنهايى خودپسندى است,1
F01059,انسان نباید فخر فروشی داشته باشد.,گناهى كه تو را پشيمان كند بهتر از كار نيكى است كه تو را به خود پسندى وا دارد,1
F01060,انسان نباید فخر فروشی داشته باشد.,مبادا هرگز با خدمت هايى كه انجام دادى بر مردم منّت گذارى، يا آنچه را انجام داده اى بزرگ بشمارى، يا مردم را وعده اى داده، سپس خلف وعده نمايى. منّت نهادن، پاداش نيكوكارى را از بين مى برد,1
F01061,انسان نباید فخر فروشی داشته باشد.,خود پسندى مانع فزونى است.,1
F01062,انسان نباید فخر فروشی داشته باشد.,انسان از خود راضى، دشمنان او فراوانند,1
F01063,انسان نباید فخر فروشی داشته باشد.,هرگاه، از سلطه و قدرتی که در آن هستی در تو نخوتی یا غروری پدید آمد به عظمت ملک خداوند بنگر که برتر از توست و بر کارهایی تواناست که تو را بر آن ها توانایی نیست. این نگریستن سرکشی تو را تسکین می دهد و تندی و سرافرازی را فرو می کاهد و خردی را که از تو گریخته است به تو باز می گرداند.,1
F01064,انسان نباید فخر فروشی داشته باشد.,اگر کسی را ببینی که از تو بزرگ تر است بگو که او در ایمان و اعمال شایسته بر من پیشی گرفته است، پس او از من بهتر است و اگر خردتر از خود بینی بگو که من بیشتر از او گناه کرده ام پس او از من بهتر است و اگر هم سال خود را ببینی بگو که یقین به گناه خود دارم، و در گناه او شک دارم، پس چرا یقین خود را بر شک بگذارم.,1
F01065,ما نباید از کسی متمایل ماست دوری کنیم و نباید خواهان کسی باید باشیم که وقتی به او گرایش داریم از ما روی‌گردان است,دورى تو از آن كس كه متمایل تو است نشانه كمبود بهره تو در دوستى است، و گرايش تو به آن كس كه تو را نخواهد، سبب خوارى تو است.,1
F01066,ما باید خودمان را گرامی بداریم.,رعايت حق كسى كه او حقش را محترم نمى شمارد نوعى بردگى است.,1
F01067,ما باید خودمان را گرامی بداریم.,نابود شد كسى كه ارزش خود را ندانست,1
F01068,ما باید خودمان را گرامی بداریم.,کسی که خود را گرامی بدارد، هوا و هوس را خوار شمارد.,1
F01069,مداومت در کار ارزشمند است.,چيز اندك كه با اشتياق تداوم يابد، بهتر از فراوانى است كه رنج آور باشد.,1
F01070,عدالت بهتر از بخشش است.,عدالت هر چیزی را در جای خودش قرار می‌دهد در حالی که بخشش آن‌ها را از جایگاه خودش خارج می‌سازد.,1
F01071,عدالت بهتر از بخشش است.,عدالت تدبیر عمومی مردم است در حالی بخشش گروه خاصی را شامل می‌شود.,1
F01072,عدالت بهتر از بخشش است.,بخشش کمک می‌کند تا انسان‌های مجرمی که قصد بازگشت به مسیر درست دارند فرصت دوباره داشته باشند در حالی که بنا بر عدالت باید تقاص جرم خود را ببینند.,-1
F01073,نباید غضب داشته باشیم,غصب ایمان را فاسد می‌کند چنان که سرکه عسل را,1
F01074,نباید غضب داشته باشیم,هرکه از برادران مؤمن تو سه مرتبه با تو به غضب آید و در هیچ مرتبه حرف بدی در حق تو نگوید، او را به دوستی و یاری خود بگیر,1
F01075,نباید غضب داشته باشیم,همانا مرد غضب میكند و در اثر آن مرتكب قتل نفس كه خدا حرام كرده میشود و زن پاكدامن را متهم مى سازد,1
F01076,نباید غضب داشته باشیم,هرکه غضب خود را نگاه دارد خداوند عیب او را بپوشاند.,1
F01077,نباید غضب داشته باشیم,غصب دل شخص حکیم را نابود می‌سازد,1
F01078,نباید غضب داشته باشیم,هر کس مالک غصب خود نباشد، مالک عقل خود نیست.,1
F01079,نباید غضب داشته باشیم,هر كه خشم خود را از مردم باز گیرد، خداعذاب روز قیامت را از او باز گیرد.,1
F01080,نباید غضب داشته باشیم,تندخويى بى مورد نوعى ديوانگى است، زيرا كه تندخو پشيمان مى شود، و اگر پشيمان نشد پس ديوانگى او پايدار است,1
F01081,نباید غضب داشته باشیم,در برابر افراد بد گمان و منافق و ظالم باید غصب داشت تا حق به جایگاه خودش بازگردد,-1
F01082,عادت طمع انسان را پست می‌کند.,شخص حریص بر دنیا مانند كرم ابریشم است كه هر چه بیشتر ابریشم بر خود مى پیچید راه بیرون شدنش دورتر و بسته تر میگردد، تا اینكه از غم و اندوه بمیرد.,1
F01083,دنیا پایدار نیست,به دنيا آرامش يافتن در حالى كه ناپايدارى آن مشاهده مى گردد، از نادانى است,1
F01084,دنیا مذموم است,هر كه دل بدنیا ببندد به سه خصلت دل بسته است: اندوهى كه پایان ندارد. و آرزوئى كه بچنگ نیاید، و امیدیكه بدان نرسد.,1
F01085,دنیا مذموم است,اهل دنيا سوارانى در خواب مانده اند كه آنان را مى رانند.,1
F01086,دنیا مذموم است,آرزوهای دراز در دنیا قساوت قلب می‌آورد,1
F01087,دنیا مذموم است,آيا آزاد مردى نيست كه اين لقمه جويده حرام دنيا را به اهلش واگذارد؟ همانا بهايى براى جان شما جز بهشت نيست، پس به كمتر از آن نفروشيد.,1
F01088,دنیا مذموم است,دنياى حرام چون مار سمّى است، پوست آن نرم ولى سمّ كشنده در درون دارد، نادان فريب خورده به آن مى گرايد، و هوشمند عاقل از آن دورى گزيند.,1
F01089,دنیا مذموم است,مردمى ديگر در روز قيامت آن را مى ستايند، دنيا حقائق را به يادشان آورد، ياد آور آن شدند، از رويدادها برايشان حكايت كرد، او را تصديق كردند، و اندرزشان داد، پند پذيرفتند.,-1
F01090,دنیا مذموم است,دنيا سراى راستى براى راست گويان، و خانه تندرستى براى دنيا شناسان، و خانه بى نيازى براى توشه گيران، و خانه پند، براى پندآموزان است.,-1
F01091,دنیا مذموم است,دنيا بدن ها را فرسوده، و آرزوها را تازه مى كند، مرگ را نزديك و خواسته ها را دور و دراز مى سازد، كسى كه به آن دست يافت خسته مى شود، و آن كه به دنيا نرسيد رنج مى برد.,1
F01092,زهد مطلوب است,آن كس كه در دنيا زهد مى ورزد، مصيبت ها را ساده پندارد,1
F01093,زهد مطلوب است,زهد بين دو كلمه از قرآن است، كه خداى سبحان فرمود: «تا بر آنچه از دست شما رفته حسرت نخوريد، و به آنچه به شما رسيده شادمان مباشيد»؛ كسى كه بر گذشته افسوس نخورد، و به آينده شادمان نباشد، همه جوانب زهد را رعايت كرده است.,1
F01094,زهد مطلوب است,رها کردن زندگی و صرفا به عبادت و ریاضت پرداختن، انسان را از ترقی و زندگی اجتماعی باز می‌دارد و شایسته نیست.,-1
F01095,ناتوانی آفت است,انسان عاجز ذلیل و خوار، عقب‌مانده و شکست خورده و بی‌ارزش و مقدار است که با خاطر آن‌ها نمی‌تواند به اهداف مالی و معنوی خودش برسد.,1
F01096,ناتوانی آفت است,هنگامى که اشيا با يکديگر ازدواج کردند تنبلى و ناتوانى نيز به هم پيوستند و فرزند آن ها فقر شد,1
F01097,ناتوانی آفت است,از دست دادن دوستان غربت است.,1
F01098,باید اهل فکر باشیم,همانا ارزشمندترين بى نيازى عقل است,1
F01099,باید اهل فکر باشیم,بزرگ ترين فقر بى خردى است,1
F01100,باید اهل فکر باشیم,پس كسى كه درست انديشيد به ژرفاى دانش رسيد و آن كس كه به حقيقت دانش رسيد، از چشمه زلال شريعت نوشيد، و كسى كه شكيبا شد در كارش زياده روى نكرده با نيكنامى در ميان مردم زندگى خواهد كرد.,1
F01101,باید اهل فکر باشیم,انديشيدن همانند ديدن نيست، زيرا گاهى چشم ها دروغ مى نماياند، امّا آن كس كه از عقل نصيحت خواهد به او خيانت نمى كند,1
F01102,باید اهل فکر باشیم,خدا عقل را به انسانى نداد جز آن كه روزى او را با كمك عقل نجات بخشيد.,1
F01103,باید اهل فکر باشیم,پس آن كس كه هوشمندانه به واقعيّت ها نگريست، حكمت را آشكارا بيند، و آن كه حكمت را آشكارا ديد، عبرت آموزى را شناسد، و آن كه عبرت آموزى شناخت گويا چنان است كه با گذشتگان مى زيسته است,1
F01104,باید اهل فکر باشیم,فکر حرکتی ذهنی است به سوی مقدمات و از مقدمات به سوی نتیجه‌ها. هرگاه این اندیشه از هوی و هوس و حجاب‌های معرفت دور بماند، آیینه شفافی خواهد بود که چهره حقایق را به انسان نشان می‌دهد و انسان راه صحیح را در پرتو آن می‌یابد، دوست را از دشمن و صواب را از خطا و حق را از باطل خواهد شناخت,1
F01105,باید اهل فکر باشیم,هیچ عبادتی برتر از اندیشیدن در صنع خدای متعال نیست,1
F01106,باید اهل فکر باشیم,چقدر فاصله بين دو عمل دور است: عملى كه لذّتش مى ‏رود و كيفر آن مى‏ ماند، و عملى كه رنج آن مى‏ گذرد و پاداش آن ماندگار است,1
F01107,باید اهل فکر باشیم,يک ساعت انديشيدن بهتر است از عبادت يک سال,1
F01108,می‌توان اسرار را به دوستان گفت,به دوست گرچه عزیز است راز دل مگشای، که دوست نیز بگوید به دوستان عزیز,-1
F01109,می‌توان اسرار را به دوستان گفت,اسرارت را حتى به دوستت مگو مگر در آن جا که اگر دشمن تو از آن سر آگاه شود ضررى به تو نمى رساند، زيرا دوست ممکن است روزى به صورت دشمن درآيد,-1
F01110,می‌توان اسرار را به دوستان گفت,آشکار کردن چيزى پيش از استوار شدن آن سبب تباهى آن مى گردد,-1
F01111,می‌توان اسرار را به دوستان گفت,سرّ تو اسير توست و هنگامى که آن را افشا کنى تو اسير آن خواهى شد,-1
F01112,می‌توان اسرار را به دوستان گفت,انسان عاقل نيز بايد اسرارش را در دل خود پنهان دارد، چرا که اسرار او اگر به دست دوست بيفتد گاه سبب ناراحتى او مى شود و اگر به دست دشمن بيفتد ممکن است سبب آبروريزى او شود.,-1
F01113,می‌توان اسرار را به دوستان گفت,بعضى از اسرار ممکن است با سرنوشت ملتى ارتباط داشته باشد که اگر بى موقع فاش شود سبب خسارت عظيمى براى جامعه مى گردد.,-1
F01114,نباید از خودراضی باشیم,فردِ از خودراضى انتظار دارد ديگران براى او احترام فراوان قائل شوند، همه به او سلام کنند، در مجالس، صدر مجلس را به او اختصاص دهند، روى حرف او سخنى نگويند و پيوسته زبان به مدح و ثنايش بگشايند. هنگامى که اين گونه احترامات را نمى بيند و مردم او را در جايگاه اصلى اش مى شناسند نه آنچه خودش ادعا دارد، به مردم بدبين مى شود و زبان به بدگويى مى گشايد و بى اعتنايى پيشه مى کند و همين امر مردم را از او خشمگين مى سازد.,1
F01115,نباید از خودراضی باشیم,کسانى که خود را در جايگاه نقد و انتقاد قرار مى دهند، متواضعانه با مردم برخورد مى کنند و هرگز خود را طلبکار نمى دانند و پيوسته براى ديگران احترام قائل اند، اين امر دوستان فراوانى براى آن ها جلب مى کند.,1
F01116,نباید از خودراضی باشیم,ميوه درخت خودپسندى عداوت و دشمنى است,1
F01117,نباید از خودراضی باشیم,دو نفر وارد مسجدشدند يکى عابد بود و ديگرى فاسق اما هنگامى که از مسجدخارج مى شدند فاسق، جزء صديقان شده بود و عابد از فاسقان. سپس فرمود: دليلش اين بود که چون عابد وارد مسجد شد به عبادت خود مى باليد و در اين فکر بود و فاسق هنگامى که وارد شد فکرش در پشيمانى بود و پيوسته از گناهان خويش استغفار مى کرد,1
F01118,نباید از خودراضی باشیم,هنگامى که از خود راضى باشد و عمل نيک خويش را بسيار بشمرد و گناهش در نظرش کوچک شود,1
F01119,صدقه دادن خوب هست,بیماران محروم از طریق صدقه درمان می‌شوند و ایتام سرپرستی می‌گردند و به مستمندان کمک می‌شود.,1
F01120,صدقه دادن خوب هست,صدقه‌دادن باعث می‌شوند که افراد به کمک گرفتن از دیگران عادت کنند و نتوانند روی پای بایستند و بر خود متکی باشند.,-1
F01121,صدقه دادن خوب هست,از جمله کفاره هاى گناهان بزرگ، به فرياد بيچاره و مظلوم رسيدن و تسلّى دادن به افراد غمگين است.,1
F01122,صدقه دادن خوب هست,هر کس به اندازه سنگينى ذره اى کار نيک کند آن را مى بيند و هر کس به قدر ذره اى کار بد کند نيز آن را خواهد ديد,1
F01123,صدقه دادن خوب هست,از بخشش اندك شرم مدار كه محروم كردن، از آن كمتر است.,1
F01124,باید شکرگزار باشیم,اگر بر دشمنت دست يافتى، بخشيدن او را شكرانه پيروزى قرار ده,1
F01125,باید شکرگزار باشیم,چون نشانه هاى نعمت پروردگار آشكار شد، با ناسپاسى نعمت ها را از خود دور نسازيد.,1
F01126,باید شکرگزار باشیم,به خاطر بياوريد زمانى را که پروردگارتان اعلام داشت: اگر شکرگزارى کنيد (نعمت خويش را) بر شما خواهم افزود و اگر ناسپاسى کنيد مجازاتم شديد است,1
F01127,باید شکرگزار باشیم,عفّت ورزيدن زينت فقر، و شكرگزارى زينت بى نيازى است,1
F01128,باید اهل تدبیر باشیم,پیروزی در گرو تدبیر است و دوراندیشی و حزم در گرو به کار گرفتن فکر و تفکر صحیح در گرو نگهداری اسرار است.,1
F01129,نباید عجله کرد,کسى که در نسبت دادن امور بد به مردم شتاب کند، مردم نسبت هاى ناروايى به او مى دهند,1
F01130,نباید عجله کرد,: شتاب پيش از توانايى بر كار، و سستى پس از به دست آوردن فرصت از بى خردى است.,1
F01131,نباید عجله کرد,در انجام کارهای خیر باید عجله کرد زیرا یا فرصت انجام کار خیر به اتمام می‌رسد یا دیگران زودتر از ما آن را به انجام می‌رسانند.,-1
F01132,باید در انتخاب دوست دقت کنیم,اگر خواهی که تمام شود برای تو نعمت و کامل شود برای تو مردی و مروت و به اصلاح آید برای تو امور معیشت، پس شریک مگردان غلامان و مردم دون را در کارهای خود، که اگر ایشان را امین گردانی خیانت می کنند، اگر سخنی با تو گویند دروغ می گویند، اگر بلایی تو را در پیش آید تو را یاری نمی کنند.,1
F01133,باید در انتخاب دوست دقت کنیم,با عاقل مصاحبت کن هر چند کریم نباشد، از عقلش بهره ور شو و از خلق بدش احتراز کن و با کریم مصاحبت کن هر چند عاقل نباشد، که به عقل خود از کرم او منتفع می شوی.,1
F01134,باید در انتخاب دوست دقت کنیم,اختلاف نابود كننده انديشه است.,1
F01135,باید در انتخاب دوست دقت کنیم,حسادت بر دوست، از آفات دوستى است.,1
F01136,باید در انتخاب دوست دقت کنیم,باید از دوستی با احمق حذر کرد زیرا او می‌خواهد به ما منفعت برساند اما زیان می‌رساند.,1
F01137,باید در انتخاب دوست دقت کنیم,باید از دوستی با بخیل دوری کنیم زیرا به هنگامی که شدیدترین نیاز را به او داریم ما را رها می‌سازد.,1
F01138,باید در انتخاب دوست دقت کنیم,باید از دوستی با فرد گنهکار و فاجر دوری کنیم زیرا به چیزهای بی‌ارزش ما را می فروشد.,1
F01139,باید در انتخاب دوست دقت کنیم,باید از دوستی با فرد دروغگو حذر کرد، زیرا او دو را در نظر ما نزدیک و نزدیک را در نظر ما دور می‌سازد,1
F01140,باید در انتخاب دوست دقت کنیم,دشمنى، رنج ها و سختى هايى هلاك كننده دارد.,-1
F01141,باید در انتخاب دوست دقت کنیم,آنچه که کمش زیاد است دشمن است,-1
F01142,باید در انتخاب دوست دقت کنیم,و نباید که نیکوکار و بدکار در نزد تو برابر باشند، زیرا این کار سبب شود که نیکوکاران را به نیکوکاری رغبتی نماند، ولی بدکاران را به بدکاری رغبت بیفزاید. با هر یک چنان رفتار کن که او خود را بدان ملزم ساخته است,1
F01143,باید در انتخاب دوست دقت کنیم,قبل از آزمودن اشخاص، اطمينان پيدا كردن از عجز و ناتوانى است.,1
F01144,باید در انتخاب دوست دقت کنیم,دوست، دوست نيست مگر آن كه حقوق برادرش را در سه جايگاه نگهبان باشد: در روزگار گرفتارى، آن هنگام كه حضور ندارد، و پس از مرگ.,1
F01145,باید در انتخاب دوست دقت کنیم,از کسى پيروى کن که تو را مى گرياند ولى خيرخواه توست و از کسى که تو را مى خنداند اما به تودروغ مى گويد و حقايق را وارونه نشان مى دهد، پيروى مکن,1
F01146,باید در انتخاب دوست دقت کنیم,با صد کس مصاحبت بکن و با یک کس دشمنی مکن و راضی باش که غلام نیکان باشی و راضی مشو که فرزند بدان باشی.,1
F01147,باید به همه محبت کنیم.,حق تعالی فرموده است که خلایق عیال منند، محبوب ترین ایشان نزد من کسی است که به ایشان مهربان تر باشد، سعی در برآوردن حاجت ایشان بیشتر کند.,1
F01148,باید به همه محبت کنیم.,دل هاى مردم گريزان است، به كسى روى آورند كه خوشرويى كند,1
F01149,باید به همه محبت کنیم.,مهربانی با مردم را پوشش دل خویش قرار ده، و با همه دوست و مهربان باش. مبادا هرگز، چونان حیوان شکاری باشی که خوردن آنان را غنیمت دانی؛ زیرا مردم دو دسته‌اند، دسته ای برادر دینی تو، و دسته دیگر همانند تو در آفرینش می‌باشند,1
