,output_text,vector,output_data_source,index
17,"یا مخجل البدر اشرقنا بلالا	یا ساقی الروح اسکرنا بصهبا
لا تبخلن و اوفر راحنا مددا	حتی تنادم فی اخذ و اعطا
دعنا ینافس فی الصهباء من سکر	بالسکر یذهل عن وصف و اسما
خوابی الغیب قد املاتها مددا	راحا یطهر عن شح و شحنا",[[0.00384396 0.01155133 0.00594472 ... 0.00876704 0.00737817 0.03167018]],غزلیات مولوی,289
18,"مهمان توام ای جان زنهار مخسب امشب	ای جان و دل مهمان زنهار مخسب امشب
روی تو چو بدر آمد امشب شب قدر آمد	ای شاه همه خوبان زنهار مخسب امشب
ای سرو دو صد بستان آرام دل مستان	بردی دل و جان بستان زنهار مخسب امشب
ای باغ خوش خندان بی تو دو جهان زندان	آنی تو و صد چندان زنهار مخسب امشب","[[ 7.5049135e-03 -3.3094350e-06  2.6334429e-03 ...  7.3270509e-03
   4.9044327e-03  1.0090699e-02]]",غزلیات مولوی,293
19,"زشت کسی کو نشد مسخره یار خوب	دست نگر پا نگر دست بزن پا بکوب
مسخره باد گشت هر چه درختست و کشت	و آنچ کشد سر ز باد خار بود خشک و چوب
هر چه ز اجزای تو رو ننهد سر کشد	پای بزن بر سرش هین سر و پایش بکوب
چونک نخواهی رهید از دم هر گول گیر	خاک کسی شو کز او چاره ندارد قلوب","[[ 6.6534412e-04 -5.5462304e-05  5.0126575e-03 ...  6.6919816e-03
   1.1483804e-02  2.7049335e-02]]",غزلیات مولوی,311
20,"شنیدم مر مرا لطفت دعا گفت	برای بنده خود لطف ها گفت
چه گویم من مکافات تو ای جان	که نیکی تو را جانا خدا گفت
ولیکن جان این کمتر دعاگو	همه شب روی ماهت را دعا گفت",[[0.0036464  0.00622357 0.00198872 ... 0.01604512 0.02183349 0.01359202]],غزلیات مولوی,346
21,"مبر رنج ای برادر خواجه سختست	به وقت داد و بخشش شوربختست
اگر چه باغ را نیمی گرفته ست	ولیکن سخت بی میوه درختست
گشاده ابروست و بسته کیسه	مشو غره که او را سیم و رختست
دو دستش را به تخته دوختستند	چه سود ار خواجه بر بالای تختست
وجودش گر چه یک پاره ست چون کوه	سخااش مرده است و لخت لختست","[[-2.0775641e-04  2.3748649e-05 -3.3204258e-06 ...  7.0859787e-05
  -2.6694561e-05 -3.0249985e-05]]",غزلیات مولوی,349
22,"چو آن کان کرم ما را شکارست	به هر دم هدیه ما را ده هزارست
که ما را نردبان زرین و سیمین	نهد چون قصد ما بر بام یارست
بلادری ست در عالم نهانی	که بر ما گنج و بر بیگانه مارست
به پیش ما خزینه سیم مشمر	که ما را زر و سیم بی شمارست
ز پروانه اگر این افترا بود	دو صد چندین ز دست شهریارست","[[1.1471794e-02 7.2136303e-05 3.0287602e-03 ... 2.9199123e-02
  7.5455629e-03 2.6674321e-02]]",غزلیات مولوی,357
23,"چنان کاین دل از آن دلدار مستست	ز خوف صاف ما آن یار مستست
خمارش نشکنم الا به خونم	از این شادی دل غمخوار مستست
شفق وارم به هر صبحی به خون در	که در هر صبح آن خون خوار مستست
مده پند و مبر خونم به گردن	که چشم دلبر کین دار مستست
چرا این خاک همچون طشت خون ست	که چشم ساقی اسرار مستست","[[ 0.00123319  0.01391344 -0.00038441 ...  0.00648233  0.01354812
   0.03081273]]",غزلیات مولوی,363
24,"ای از کرم تو کار ما راست	هر جای که خرمی ست ما راست
عاشق به جهان چه غصه دارد	تا جام شراب وصل برجاست
هر باد چغانه ای گرفته	کو منتظر اشارت ماست
هر آب چو پرده دار گشته	اندر پس پرده طرفه بت هاست
هر بلبل مست بر نهالی	ماننده راح روح افزاست
بسیار مگو که وقت آش است	چون گرسنگی قوم شش تاست","[[ 9.65652998e-06 -1.21291235e-08 -5.07060406e-07 ...  1.92490726e-04
  -1.98213020e-05 -1.42062127e-04]]",غزلیات مولوی,382
25,"من پری زاده ام و خواب ندانم که کجا است	چونک شب گشت نخسپند که شب نوبت ما است
چون دماغ است و سر استت مکن استیزه بخسب	دخل و خرج است چنین شیوه و تدبیر سزا است
خرج بی دخل خدایی است ز دنیا مطلب	هر که را هست زهی بخت ندانم که که را است","[[ 0.00174022  0.00145528 -0.00051369 ...  0.00505366 -0.00111713
   0.02455969]]",غزلیات مولوی,417
26,"گم شدن در گم شدن دین منست	نیستی در هست آیین منست
تا پیاده می روم در کوی دوست	سبز خنگ چرخ در زین منست
چون به یک دم صد جهان واپس کنم	بنگرم گام نخستین منست
من چرا گرد جهان گردم چو دوست	در میان جان شیرین منست
شمس تبریزی که فخر اولیاست	سین دندان هاش یاسین منست",[[0.00573056 0.00451902 0.00173503 ... 0.02871575 0.00095143 0.01485764]],غزلیات مولوی,430
27,"عشوه دشمن بخوردی عاقبت	سوی هجران عزم کردی عاقبت
بازگردی زان خسان زن صفت	سوی این مردان چو مردی عاقبت
سیر گردی زان همه جفتان تو زود	چونک فرد فرد فردی عاقبت
چون گل زردی ز عشق لاله ای	لاله گردی گر چه زردی عاقبت
چونک خاک شمس تبریزی شدی	نور سقفی لاجوردی عاقبت","[[1.3231991e-02 6.3636857e-05 9.4696175e-04 ... 1.5588687e-02
  1.3253312e-02 2.3316132e-02]]",غزلیات مولوی,431
28,"در این سلام مرا با تو دار و گیر جداست	دمی عظیم نهان ست و در حجاب خداست
ز چنگ سخت عجیب ست آن ترنگ ترنگ	چه هاست نعره برآورده کان چه هاست چه هاست
شراب لعل بیاورد شاه کاین رکنی ست	خمش که وقت جنون و نه وقت کشف غطاست","[[ 0.01384396  0.00614623 -0.00022233 ...  0.0066686  -0.00060574
   0.0256811 ]]",غزلیات مولوی,488
29,"نفسی بهوی الحبیب فارت	لما رات الکوس دارت
مدت یدها الی رحیق	و النفس بنوره استنارت
لما شربته نفس و ترا	خفت و تصاعدت و طارت
لاقت قمرا اذا تجلی	الشمس من الحیا توارت
جادت بالروح حین لاقت	لا التفتت و لا استشارت",[[0.00187251 0.00471456 0.00502214 ... 0.01245872 0.00588122 0.01651093]],غزلیات مولوی,518
30,"ای مبارک ز تو صبوح و صباح	ای مظفر فر از تو قلب و جناح
ای شراب طهور از کف حور	بر حریفان مجلس تو مباح
ای گشاده هزار در بر ما	وی بداده به دست ما مفتاح
وانمودی هر آنچ می گویند	موذنان صبح فالق الاصباح
هرچ دادی عوض نمی خواهی	گر چه گفتند السماح رباح","[[ 7.9039363e-03 -3.8136342e-05  7.9557775e-03 ...  6.0296869e-03
   1.0713331e-02  2.1761658e-02]]",غزلیات مولوی,520
31,"سجده کنم پیشکش آن قد و بالا چه شود	دیده کنم پیشکش آن دل بینا چه شود
باده او را نخورم ور نخورم پس کی خورد	گر بخورم نقد و نیندیشم فردا چه شود
باده او همدل من بام فلک منزل من	گر بگشایم پر خود برپرم آن جا چه شود
دل نشناسم چه بود جان و بدن تا برود	غم نخورم غم نخورم غم نخورم تا چه شود",[[0.00021139 0.00509384 0.00395518 ... 0.00486585 0.00566777 0.00658902]],غزلیات مولوی,547
32,"یکی گولی همی خواهم که در دلبر نظر دارد	نمی خواهم هنرمندی که دیده در هنر دارد
دلی همچون صدف خواهم که در جان گیرد آن گوهر	دل سنگین نمی خواهم که پندار گهر دارد
ز خودبینی جدا گشته پر از عشق خدا گشته	ز مالش های غم غافل به مالنده عبر دارد","[[ 4.8845457e-03 -5.7281708e-05  6.9776754e-04 ...  3.6312346e-03
   8.1543317e-03  3.9101027e-02]]",غزلیات مولوی,584
33,"گر ماه شب افروزان روپوش روا دارد	گیرم که بپوشد رو بو را چه دوا دارد
گر نیز بپوشد رو ور نیز ببرد بو	از خنبش روحانی صد گونه گوا دارد
آن مه چو گریزانه آید سپس خانه	لیکن دل دیوانه صد گونه دغا دارد
غم گر چه بود دشمن گوید سر او با من	با مرغ دلم گوید کو دام کجا دارد",[[0.01010422 0.02803238 0.00375551 ... 0.01715234 0.00387077 0.0195997 ]],غزلیات مولوی,625
34,"هر نکته که از زهر اجل تلختر آید	آن را چو بگوید لب تو چون شکر آید
در چاه زنخدان تو هر جان که وطن ساخت	زود از رسن زلف تو بر چرخ برآید
هین توشه ده از خوشه ابروی ظریفت	زان پیش که جان را ز تو وقت سفر آید
از دعوت و آواز خوشت بوی دل آید	لبیک زنم نفخه خون جگر آید","[[-3.5784593e-05 -6.7488735e-09 -3.6875306e-07 ...  9.1262409e-05
  -4.6926885e-05 -1.4477824e-04]]",غزلیات مولوی,654
35,"گر یک سر موی از رخ تو روی نماید	بر روی زمین خرقه و زنار نماند
آن را که دمی روی نمایی ز دو عالم	آن سوخته را جز غم تو کار نماند
گر برفکنی پرده از آن چهره زیبا	از چهره خورشید و مه آثار نماند
در خواب کنی سوختگان را ز می عشق	تا جز تو کسی محرم اسرار نماند","[[-5.2597279e-05  5.2751193e-04 -4.8144318e-07 ... -3.2178581e-05
  -6.8623951e-05 -6.7823974e-05]]",غزلیات مولوی,657
36,"پریر آن چهره یارم چه خوش بود	عتاب و ناز دلدارم چه خوش بود
به یادم نیست هیچ آن ماجراها	ولیکن زین خبر دارم چه خوش بود
در آن بزم و در آن جمع و در آن عیش	میان باغ و گلزارم چه خوش بود
اگر چه مست جام عشق بودم	رخ معشوق هشیارم چه خوش بود","[[-0.0003986   0.00734103 -0.0003147  ...  0.00325977  0.01060337
   0.01333878]]",غزلیات مولوی,670
37,"بگویم خفیه تا خواجه نرنجد	که آن دلبر همی در بر نگنجد
ز مستی من ترازو را شکستم	ترازو کان گوهر را نسنجد
بتان را جمله زو بدرید سربند	که ماده گرگ با یوسف نغنجد
هم از جمله سیه روییست آن نیز	که پیش رومیی زنجی بزنجد
قراضه کیست پیش شمس تبریز	که گنج زر بیارد یا بگنجد","[[ 2.8457958e-05  7.6721102e-05 -2.9153196e-06 ...  1.6702669e-03
  -4.2874773e-05 -3.8565585e-04]]",غزلیات مولوی,672
38,"کسی کز غمزه ای صد عقل بندد	گر او بر ما نخندد پس که خندد
اگر تسخر کند بر چرخ و خورشید	بود انصاف و انصاف آن پسندد
دلا می جوش همچون موج دریا	که گر دریا بیارامد بگندد
چو خورشیدی و از خود پاک گشتی	ز تو چنگ اجل جز غم نرندد
شکرشیرینی گفتن رها کن	ولیکن کان قندی چون نقندد","[[ 3.5337336e-05 -4.3707082e-09 -7.5403085e-07 ...  1.7555902e-04
  -2.0576794e-05  8.2003069e-05]]",غزلیات مولوی,673
39,"سگ ار چه بی فغان و شر نباشد	سگ ما چون سگ دیگر نباشد
شنو از مصطفی کو گفت دیوم	مسلمان شد دگر کافر نباشد
سگ اصحاب کهف و نفس پاکان	اگر بر در بود بر در نباشد
سگ اصحاب را خوی سگی نیست	گر این سر سگ نمود آن سر نباشد
که موسی را درخت آن شب چو اختر	نمود آذر ولیک آذر نباشد","[[ 6.1566813e-04  1.2161083e-05 -1.3055516e-06 ...  1.9916540e-03
  -2.4905899e-05 -2.1794972e-04]]",غزلیات مولوی,676
40,"روی تو به رنگریز کان ماند	زلف تو به نقش بند جان ماند
گر سایه برگ گل فتد بر تو	بر عارض نازکت نشان ماند
روزی گذرد ز هجر تو سالی	مسکین عاشق چنان جوان ماند
دلتنگ نیم اگر چه دل تنگم	کآخر دل من بدان دهان ماند
در چشم من آی تا تو هم بینی	یک تن که به صد هزار جان ماند",[[0.0025309  0.00859465 0.00568148 ... 0.01085385 0.00724454 0.01906914]],غزلیات مولوی,688
41,"ساقی زان می که می چریدند	بفزای که یارکان رسیدند
مهمان بفزود می بیفزا	زان خنب که اولیا چشیدند
زان می که ز بوش جمله ابدال	در خلق پدید و ناپدیدند
ای ساقی خوب شکرلله	کان روی نکوت را بدیدند
ای آتش رخت سوز عشاق	در عشق تو رخت ها کشیدند
ای پرده فروکشیده بنگر	کز عشق چه پرده ها دریدند","[[ 5.3562615e-03 -5.6584853e-05  1.8766035e-03 ...  7.6847291e-03
   5.1405369e-03  2.1112179e-02]]",غزلیات مولوی,713
42,"از بهر چه در غم و زحیرید	وقت سفرست خر بگیرید
خیزید روان شوید یاران	تا همچو روان صفا پذیرید
پران باشید در پی صید	آخر نه کم از کمان و تیرید
اندر حرکت نهانست روزی	گر محتشمید وگر فقیرید
در اول روز تازه ز آنید	که شب سوی غیب در مسیرید","[[-5.7500715e-06  2.3525483e-06 -7.0389927e-07 ... -1.3190906e-06
  -1.7530923e-05  9.5610136e-05]]",غزلیات مولوی,720
43,"ما مست شدیم و دل جدا شد	از ما بگریخت تا کجا شد
چون دید که بند عقل بگسست	در حال دلم گریزپا شد
او جای دگر نرفته باشد	او جانب خلوت خدا شد
در خانه مجو که او هواییست	او مرغ هواست و در هوا شد
او باز سپید پادشاهست	پرید به سوی پادشا شد",[[0.00557517 0.00085101 0.00593616 ... 0.01269755 0.01388    0.00599084]],غزلیات مولوی,722
44,"هم دلم ره می نماید هم دلم ره می زند	هم دلم قلاب و هم دل سکه شه می زند
هم دلم افغان کنان گوید که راه من زدند	هم دل من راه عیاران ابله می زند
هم دل من همچو شحنه طالب دزدان شده	هم دل من همچو دزدان نیم شب ره می زند
گه چو حکم حق دل من قصد سرها می کند	گه چو مرغ سربریده الله الله می زند",[[0.01453635 0.00540611 0.00478966 ... 0.0136023  0.01443202 0.00977158]],غزلیات مولوی,752
45,"چمنی که جمله گل ها به پناه او گریزد	که در او خزان نباشد که در او گلی نریزد
شجری خوش و خرامان به میانه بیابان	که کسی به سایه او چو بخفت مست خیزد
فلکی چو آسمان ها که بدوست قصد جان ها	که زحل نیارد آن جا که به زهره برستیزد
گهری لطیف کانی به مکان لامکانی	بویست اشارت دل چو دو دیده اشک بیزد",[[0.00685989 0.00277824 0.00919466 ... 0.00239218 0.00288468 0.02047622]],غزلیات مولوی,768
46,"سحری چو شاه خوبان به وثاق ما درآمد	به مثال ساقیان او به سبو و ساغر آمد
نه سبوی او بدیدم نه ز ساغرش چشیدم	که هزار موج باده به دماغ من برآمد
بگشاد این دماغم پر و بال بی نهایت	که به آفتاب ماند که به ماه و اختر آمد
به مبارکی و شادی چو جمال او بدیدم	ز جمال او دو دیده ز دو کون برتر آمد","[[ 1.2611083e-03  4.9004046e-04  2.0724689e-03 ...  5.9911758e-03
  -8.7804474e-05  1.8542254e-02]]",غزلیات مولوی,773
47,"عید بگذشت و همه خلق سوی کار شدند	همه از نرگس مخمور تو خمار شدند
دست و پاشان تو شکستی چو نه پا ماند و نه دست	پر گشادند و همه جعفر طیار شدند
اهل دینار کجا امت دیدار کجا	گر چه دینار بشد لایق دیدار شدند","[[-2.8285928e-04 -3.5473057e-08 -4.7390913e-06 ...  4.2142285e-05
  -3.7500497e-05 -2.2896504e-04]]",غزلیات مولوی,808
48,"موشکی صندوق را سوراخ کرد	خواب گربه موش را گستاخ کرد
اندر آتش افکنیم آن موش را	همچنان کان مردک طباخ کرد
گربه را و موش را آتش زنیم	در تنوری کآتشش صد شاخ کرد","[[ 1.7217461e-02 -8.6816413e-05  3.1336604e-03 ...  1.8370001e-02
   9.7308252e-03  1.8647637e-02]]",غزلیات مولوی,813
49,"بیمار رنج صفرا ذوق شکر نداند	هر سنگ دل در این ره قلب از گهر نداند
هر عنکبوت جوله در تار و پود آن چه	از ذوق صنعت خود ذوق دگر نداند
وان کو ز چه برافتد در جام و ساغر افتد	مستیش در سر افتد پا را ز سر نداند","[[ 9.5940828e-03 -6.1872008e-05  2.4241435e-03 ...  5.0562238e-03
   5.0682402e-03  2.7944984e-02]]",غزلیات مولوی,846
50,"برجه ز خواب و بنگر نک روز روشن آمد	دل را ز خواب برکن هنگام رفتن آمد
تا کی اشارت آید تو ناشنوده آری	ترسم که عشق گوید کاین خواجه کودن آمد
رفتند خوشه چینان وین خوشه چین نشسته	کز ثقل و از گرانی چون تل خرمن آمد",[[0.0017608  0.00461045 0.00083189 ... 0.0083183  0.01188779 0.00811061]],غزلیات مولوی,856
51,"روی تو چون روی مار خوی تو زهر قدید	ای خنک آن را که او روی شما را ندید
من شده مهمان تو در چمن جان تو	پای پر از خار شد دست یکی گل نچید
ای مثل خارپشت گرد تو خار درشت	خار تو ما را بکشت مار تو ما را گزید
با تو موافق شدم با تو منافق شدم	بر دبه عاشق شدم در دبه زیت پلید",[[0.00482981 0.01611009 0.00781484 ... 0.01844406 0.00200559 0.01032531]],غزلیات مولوی,889
52,"شعر من نان مصر را ماند	شب بر او بگذرد نتانی خورد
آن زمانش بخور که تازه بود	پیش از آنک بر او نشیند گرد
گرمسیر ضمیر جای ویست	می بمیرد در این جهان از برد
همچو ماهی دمی به خشک طپید	ساعتی دیگرش ببینی سرد
ور خوری بر خیال تازگیش	بس خیالات نقش باید کرد
آنچ نوشی خیال تو باشد	نبود گفتن کهن ای مرد","[[ 8.2922215e-03 -3.6699792e-05  3.1343473e-03 ...  1.2968829e-02
   4.6077901e-03  2.8918432e-02]]",غزلیات مولوی,981
53,"یا من نعماه غیر معدود	و السعی لدیه غیر مردود
قد اکرمنا و قد دعانا	کی نعبده و نعم معبود
لا یطلب حمدنا لفخر	بل یجعلنا بذاک محمود
قد بشر باللقاء صدقه	من حضرته الکریم مورود
و الوعد من الحبیب حلو	و السعی الی السعود مسعود
خاصا سعدی که او به هر دم	صد دل به سعود خویش بربود",[[0.01645268 0.00866097 0.00773783 ... 0.01931943 0.0027454  0.0144395 ]],غزلیات مولوی,1008
54,"حکم البین بموتی و عمد	رضی الصد بحینی و قصد
فتح الدهر عیون حسد	فر آنی بفناکم و حسد
یهرق العشق دماء حقنت	لیس للعشق قریب و ولد
لکن الموت حیاه لکم	لکن الفقر غناء و رغد
سافروا فی سبل العشق معی	لا تخافن ضلالا و رصد
لا یهولنکم بعدکم	دونکم وفد وصال و مدد
فنسیم طرب اولهم	یهب السالک حولا و جلد",[[0.00851504 0.00161755 0.00270231 ... 0.01677414 0.0087309  0.01990967]],غزلیات مولوی,1014
55,"جان بر کف خود داری ای مونس جان زوتر	من نیک سبک گشتم آن رطل گران زوتر
از باده بسی ساغر فربه کن هر لاغر	هر چند سبک دستی ای دست از آن زوتر
ای بر در و بام تو از لذت جام تو	جان ها به صبوح آیند من از همگان زوتر
سودای تو می آرد زان می که نه قی آرد	از سینه به چشم آید از نور عیان زوتر","[[-2.5242975e-04 -3.0700369e-07 -9.8989840e-06 ...  3.8674967e-03
  -3.5894196e-04  2.1295362e-04]]",غزلیات مولوی,1029
56,"شب گشت ولیک پیش اغیار	روزست شب من از رخ یار
گر عالم جمله خار گیرد	ماییم ز دوست غرق گلزار
گر گشت جهان خراب و معمور	مستست دل و خراب دلدار
زیرا که خبر همه ملولیست	این بی خبریست اصل اخبار",[[0.01412885 0.00189196 0.00078739 ... 0.00850071 0.02211056 0.01599541]],غزلیات مولوی,1051
57,"گفتی که زیان کنی زیان گیر	گفتی که تو ملحدی چنان گیر
گفتی که تو روبهی نه ای شیر	ما را سقط همه سگان گیر
گفتی که ز دل خبر نداری	ای مونس دل مرا زبان گیر","[[ 0.00607845  0.00068702 -0.00016083 ...  0.00922955  0.01991246
   0.02775398]]",غزلیات مولوی,1059
58,"رفتم آن جا مست و گفتم ای نگار	چون مرا دیوانه کردی گوش دار
گفت بنگر گوش من در حلقه ایست	بسته آن حلقه شو چون گوشوار
زود بردم دست سوی حلقه اش	دست بر من زد که دست از من بدار
اندر این حلقه تو آنگه ره بری	کز صفا دری شوی تو شاهوار
حلقه زرین من وانگه شبه	کی رود بر چرخ عیسی با حمار","[[ 3.2761430e-03 -3.2206874e-06  3.5107832e-03 ...  7.7199577e-03
   6.6582570e-03  1.9410769e-02]]",غزلیات مولوی,1103
