,output_text,vector, ,index,output_data_source
10,"دوش از مسجد سوی ميخانه آمد پير ما
چيست ياران طريقت بعد از اين تدبير ما
ما مريدان روی سوی قبله چون آريم چون
روی سوی خانه خمار دارد پير ما
در خرابات طريقت ما به هم منزل شويم
کاين چنين رفته‌ست در عهد ازل تقدير ما
عقل اگر داند که دل دربند زلفش چون خوش است
عاقلان ديوانه گردند از پی زنجير ما
روی خوبت آيتی از لطف بر ما کشف کرد
زان زمان جز لطف و خوبی نيست در تفسير ما
با دل سنگينت آيا هيچ درگيرد شبی
آه آتشناک و سوز سينه شبگير ما
تير آه ما ز گردون بگذرد حافظ خموش
رحم کن بر جان خود پرهيز کن از تير ما","[[3.7079344e-03 4.5401336e-07 9.5603764e-03 ... 3.5952356e-02
  1.5909767e-02 1.9309279e-02]]",,11,غزلیات حافظ
11,"ساقی به نور باده برافروز جام ما
مطرب بگو که کار جهان شد به کام ما
ما در پياله عکس رخ يار ديده‌ايم
ای بی‌خبر ز لذت شرب مدام ما
هرگز نميرد آن که دلش زنده شد به عشق
ثبت است بر جريده عالم دوام ما
چندان بود کرشمه و ناز سهی قدان
کايد به جلوه سرو صنوبرخرام ما
ای باد اگر به گلشن احباب بگذری
زنهار عرضه ده بر جانان پيام ما
گو نام ما ز ياد به عمدا چه می‌بری
خود آيد آن که ياد نياری ز نام ما
مستی به چشم شاهد دلبند ما خوش است
زان رو سپرده‌اند به مستی زمام ما
ترسم که صرفه‌ای نبرد روز بازخواست
نان حلال شيخ ز آب حرام ما
حافظ ز ديده دانه اشکی همی‌فشان
باشد که مرغ وصل کند قصد دام ما
دريای اخضر فلک و کشتی هلال
هستند غرق نعمت حاجی قوام ما",[[0.00040777 0.01359545 0.00566275 ... 0.00895934 0.00376888 0.02432535]],,12,غزلیات حافظ
12,"ای فروغ ماه حسن از روی رخشان شما
آب روی خوبی از چاه زنخدان شما
عزم ديدار تو دارد جان بر لب آمده
بازگردد يا برآيد چيست فرمان شما
کس به دور نرگست طرفی نبست از عافيت
به که نفروشند مستوری به مستان شما
بخت خواب آلود ما بيدار خواهد شد مگر
زان که زد بر ديده آبی روی رخشان شما
با صبا همراه بفرست از رخت گلدسته‌ای
بو که بويی بشنويم از خاک بستان شما
عمرتان باد و مراد ای ساقيان بزم جم
گر چه جام ما نشد پرمی به دوران شما
دل خرابی می‌کند دلدار را آگه کنيد
زينهار ای دوستان جان من و جان شما
کی دهد دست اين غرض يا رب که همدستان شوند
خاطر مجموع ما زلف پريشان شما
دور دار از خاک و خون دامن چو بر ما بگذری
کاندر اين ره کشته بسيارند قربان شما
ای صبا با ساکنان شهر يزد از ما بگو
کای سر حق ناشناسان گوی چوگان شما
گر چه دوريم از بساط قرب همت دور نيست
بنده شاه شماييم و ثناخوان شما
ای شهنشاه بلنداختر خدا را همتی
تا ببوسم همچو اختر خاک ايوان شما
می‌کند حافظ دعايی بشنو آمينی بگو
روزی ما باد لعل شکرافشان شما",[[0.00624534 0.00070657 0.01453933 ... 0.02085138 0.00692629 0.01304645]],,13,غزلیات حافظ
13,"می‌دمد صبح و کله بست سحاب
الصبوح الصبوح يا اصحاب
می‌چکد ژاله بر رخ لاله
المدام المدام يا احباب
می‌وزد از چمن نسيم بهشت
هان بنوشيد دم به دم می ناب
تخت زمرد زده است گل به چمن
راح چون لعل آتشين درياب
در ميخانه بسته‌اند دگر
افتتح يا مفتح الابواب
لب و دندانت را حقوق نمک
هست بر جان و سينه‌های کباب
اين چنين موسمی عجب باشد
که ببندند ميکده به شتاب
بر رخ ساقی پری پيکر
همچو حافظ بنوش باده ناب","[[-0.00010749  0.00122152  0.00784615 ...  0.00344307 -0.00054437
   0.01740192]]",,14,غزلیات حافظ
14,"گفتم ای سلطان خوبان رحم کن بر اين غريب
گفت در دنبال دل ره گم کند مسکين غريب
گفتمش مگذر زمانی گفت معذورم بدار
خانه پروردی چه تاب آرد غم چندين غريب
خفته بر سنجاب شاهی نازنينی را چه غم
گر ز خار و خاره سازد بستر و بالين غريب
ای که در زنجير زلفت جای چندين آشناست
خوش فتاد آن خال مشکين بر رخ رنگين غريب
می‌نمايد عکس می در رنگ روی مه وشت
همچو برگ ارغوان بر صفحه نسرين غريب
بس غريب افتاده است آن مور خط گرد رخت
گر چه نبود در نگارستان خط مشکين غريب
گفتم ای شام غريبان طره شبرنگ تو
در سحرگاهان حذر کن چون بنالد اين غريب
گفت حافظ آشنايان در مقام حيرتند
دور نبود گر نشيند خسته و مسکين غريب",[[0.03261745 0.00366632 0.00409107 ... 0.01114382 0.01761706 0.02413485]],,15,غزلیات حافظ
15,"ای شاهد قدسی که کشد بند نقابت
و ای مرغ بهشتی که دهد دانه و آبت
خوابم بشد از ديده در اين فکر جگرسوز
کاغوش که شد منزل آسايش و خوابت
درويش نمی‌پرسی و ترسم که نباشد
انديشه آمرزش و پروای ثوابت
راه دل عشاق زد آن چشم خماری
پيداست از اين شيوه که مست است شرابت
تيری که زدی بر دلم از غمزه خطا رفت
تا باز چه انديشه کند رای صوابت
هر ناله و فرياد که کردم نشنيدی
پيداست نگارا که بلند است جنابت
دور است سر آب از اين باديه هش دار
تا غول بيابان نفريبد به سرابت
تا در ره پيری به چه آيين روی ای دل
باری به غلط صرف شد ايام شبابت
ای قصر دل افروز که منزلگه انسی
يا رب مکناد آفت ايام خرابت
حافظ نه غلاميست که از خواجه گريزد
صلحی کن و بازآ که خرابم ز عتابت",[[0.00209846 0.00485498 0.00331005 ... 0.01029335 0.01586026 0.01313431]],,16,غزلیات حافظ
16,"خمی که ابروی شوخ تو در کمان انداخت
به قصد جان من زار ناتوان انداخت
نبود نقش دو عالم که رنگ الفت بود
زمانه طرح محبت نه اين زمان انداخت
به يک کرشمه که نرگس به خودفروشی کرد
فريب چشم تو صد فتنه در جهان انداخت
شراب خورده و خوی کرده می‌روی به چمن
که آب روی تو آتش در ارغوان انداخت
به بزمگاه چمن دوش مست بگذشتم
چو از دهان توام غنچه در گمان انداخت
بنفشه طره مفتول خود گره می‌زد
صبا حکايت زلف تو در ميان انداخت
ز شرم آن که به روی تو نسبتش کردم
سمن به دست صبا خاک در دهان انداخت
من از ورع می و مطرب نديدمی زين پيش
هوای مغبچگانم در اين و آن انداخت
کنون به آب می لعل خرقه می‌شويم
نصيبه ازل از خود نمی‌توان انداخت
مگر گشايش حافظ در اين خرابی بود
که بخشش ازلش در می مغان انداخت
جهان به کام من اکنون شود که دور زمان
مرا به بندگی خواجه جهان انداخت",[[0.00238159 0.03969707 0.01316629 ... 0.01139253 0.01027281 0.01504034]],,17,غزلیات حافظ
17,"سينه از آتش دل در غم جانانه بسوخت
آتشی بود در اين خانه که کاشانه بسوخت
تنم از واسطه دوری دلبر بگداخت
جانم از آتش مهر رخ جانانه بسوخت
سوز دل بين که ز بس آتش اشکم دل شمع
دوش بر من ز سر مهر چو پروانه بسوخت
آشنايی نه غريب است که دلسوز من است
چون من از خويش برفتم دل بيگانه بسوخت
خرقه زهد مرا آب خرابات ببرد
خانه عقل مرا آتش ميخانه بسوخت
چون پياله دلم از توبه که کردم بشکست
همچو لاله جگرم بی می و خمخانه بسوخت
ماجرا کم کن و بازآ که مرا مردم چشم
خرقه از سر به درآورد و به شکرانه بسوخت
ترک افسانه بگو حافظ و می نوش دمی
که نخفتيم شب و شمع به افسانه بسوخت","[[ 1.3408039e-02 -1.9436126e-05  9.3640611e-03 ...  1.0219452e-02
   1.4284335e-02  1.7406892e-02]]",,18,غزلیات حافظ
18,"ساقيا آمدن عيد مبارک بادت
وان مواعيد که کردی مرواد از يادت
در شگفتم که در اين مدت ايام فراق
برگرفتی ز حريفان دل و دل می‌دادت
برسان بندگی دختر رز گو به درآی
که دم و همت ما کرد ز بند آزادت
شادی مجلسيان در قدم و مقدم توست
جای غم باد مر آن دل که نخواهد شادت
شکر ايزد که ز تاراج خزان رخنه نيافت
بوستان سمن و سرو و گل و شمشادت
چشم بد دور کز آن تفرقه‌ات بازآورد
طالع نامور و دولت مادرزادت
حافظ از دست مده دولت اين کشتی نوح
ور نه طوفان حوادث ببرد بنيادت",[[0.00292777 0.00686962 0.00123522 ... 0.01389394 0.00762822 0.01025389]],,19,غزلیات حافظ
19,"ای نسيم سحر آرامگه يار کجاست
منزل آن مه عاشق کش عيار کجاست
شب تار است و ره وادی ايمن در پيش
آتش طور کجا موعد ديدار کجاست
هر که آمد به جهان نقش خرابی دارد
در خرابات بگوييد که هشيار کجاست
آن کس است اهل بشارت که اشارت داند
نکته‌ها هست بسی محرم اسرار کجاست
هر سر موی مرا با تو هزاران کار است
ما کجاييم و ملامت گر بی‌کار کجاست
بازپرسيد ز گيسوی شکن در شکنش
کاين دل غمزده سرگشته گرفتار کجاست
عقل ديوانه شد آن سلسله مشکين کو
دل ز ما گوشه گرفت ابروی دلدار کجاست
ساقی و مطرب و می جمله مهياست ولی
عيش بی يار مهيا نشود يار کجاست
حافظ از باد خزان در چمن دهر مرنج
فکر معقول بفرما گل بی خار کجاست",[[0.00541877 0.00053679 0.01266918 ... 0.02253034 0.00999213 0.0219727 ]],,20,غزلیات حافظ
20,"روزه يک سو شد و عيد آمد و دل‌ها برخاست
می ز خمخانه به جوش آمد و می بايد خواست
نوبه زهدفروشان گران جان بگذشت
وقت رندی و طرب کردن رندان پيداست
چه ملامت بود آن را که چنين باده خورد
اين چه عيب است بدين بی‌خردی وين چه خطاست
باده نوشی که در او روی و ريايی نبود
بهتر از زهدفروشی که در او روی و رياست
ما نه رندان رياييم و حريفان نفاق
آن که او عالم سر است بدين حال گواست
فرض ايزد بگذاريم و به کس بد نکنيم
وان چه گويند روا نيست نگوييم رواست
چه شود گر من و تو چند قدح باده خوريم
باده از خون رزان است نه از خون شماست
اين چه عيب است کز آن عيب خلل خواهد بود
ور بود نيز چه شد مردم بی‌عيب کجاست",[[0.00255539 0.00091275 0.00775912 ... 0.00444972 0.01761546 0.01594505]],,21,غزلیات حافظ
21,"دل و دينم شد و دلبر به ملامت برخاست
گفت با ما منشين کز تو سلامت برخاست
که شنيدی که در اين بزم دمی خوش بنشست
که نه در آخر صحبت به ندامت برخاست
شمع اگر زان لب خندان به زبان لافی زد
پيش عشاق تو شب‌ها به غرامت برخاست
در چمن باد بهاری ز کنار گل و سرو
به هواداری آن عارض و قامت برخاست
مست بگذشتی و از خلوتيان ملکوت
به تماشای تو آشوب قيامت برخاست
پيش رفتار تو پا برنگرفت از خجلت
سرو سرکش که به ناز از قد و قامت برخاست
حافظ اين خرقه بينداز مگر جان ببری
کاتش از خرقه سالوس و کرامت برخاست","[[ 5.6359931e-03 -5.9971746e-05  9.4152996e-03 ...  1.5545655e-02
   1.4651375e-02  2.6602449e-02]]",,22,غزلیات حافظ
22,"چو بشنوی سخن اهل دل مگو که خطاست
سخن شناس نه‌ای جان من خطا اين جاست
سرم به دنيی و عقبی فرو نمی‌آيد
تبارک الله از اين فتنه‌ها که در سر ماست
در اندرون من خسته دل ندانم کيست
که من خموشم و او در فغان و در غوغاست
دلم ز پرده برون شد کجايی ای مطرب
بنال هان که از اين پرده کار ما به نواست
مرا به کار جهان هرگز التفات نبود
رخ تو در نظر من چنين خوشش آراست
نخفته‌ام ز خيالی که می‌پزد دل من
خمار صدشبه دارم شرابخانه کجاست
چنين که صومعه آلوده شد ز خون دلم
گرم به باده بشوييد حق به دست شماست
از آن به دير مغانم عزيز می‌دارند
که آتشی که نميرد هميشه در دل ماست
چه ساز بود که در پرده می‌زد آن مطرب
که رفت عمر و هنوزم دماغ پر ز هواست
ندای عشق تو ديشب در اندرون دادند
فضای سينه حافظ هنوز پر ز صداست","[[-0.00012454  0.00953611  0.01148716 ...  0.00727683  0.00927262
   0.0278927 ]]",,23,غزلیات حافظ
23,"خيال روی تو در هر طريق همره ماست
نسيم موی تو پيوند جان آگه ماست
به رغم مدعيانی که منع عشق کنند
جمال چهره تو حجت موجه ماست
ببين که سيب زنخدان تو چه می‌گويد
هزار يوسف مصری فتاده در چه ماست
اگر به زلف دراز تو دست ما نرسد
گناه بخت پريشان و دست کوته ماست
به حاجب در خلوت سرای خاص بگو
فلان ز گوشه نشينان خاک درگه ماست
به صورت از نظر ما اگر چه محجوب است
هميشه در نظر خاطر مرفه ماست
اگر به سالی حافظ دری زند بگشای
که سال‌هاست که مشتاق روی چون مه ماست","[[ 7.7184592e-03 -1.2123230e-05  2.5455859e-03 ...  2.1361589e-02
   6.9107986e-03  2.6669528e-02]]",,24,غزلیات حافظ
24,"مطلب طاعت و پيمان و صلاح از من مست
که به پيمانه کشی شهره شدم روز الست
من همان دم که وضو ساختم از چشمه عشق
چارتکبير زدم يک سره بر هر چه که هست
می بده تا دهمت آگهی از سر قضا
که به روی که شدم عاشق و از بوی که مست
کمر کوه کم است از کمر مور اين جا
نااميد از در رحمت مشو ای باده پرست
بجز آن نرگس مستانه که چشمش مرساد
زير اين طارم فيروزه کسی خوش ننشست
جان فدای دهنش باد که در باغ نظر
چمن آرای جهان خوشتر از اين غنچه نبست
حافظ از دولت عشق تو سليمانی شد
يعنی از وصل تواش نيست بجز باد به دست","[[ 7.4911471e-03 -7.4288946e-06  4.4202004e-03 ...  9.8875174e-03
   6.5670027e-03  1.8032655e-02]]",,25,غزلیات حافظ
25,"شکفته شد گل حمرا و گشت بلبل مست
صلای سرخوشی ای صوفيان باده پرست
اساس توبه که در محکمی چو سنگ نمود
ببين که جام زجاجی چه طرفه‌اش بشکست
بيار باده که در بارگاه استغنا
چه پاسبان و چه سلطان چه هوشيار و چه مست
از اين رباط دودر چون ضرورت است رحيل
رواق و طاق معيشت چه سربلند و چه پست
مقام عيش ميسر نمی‌شود بی‌رنج
بلی به حکم بلا بسته‌اند عهد الست
به هست و نيست مرنجان ضمير و خوش می‌باش
که نيستيست سرانجام هر کمال که هست
شکوه آصفی و اسب باد و منطق طير
به باد رفت و از او خواجه هيچ طرف نبست
به بال و پر مرو از ره که تير پرتابی
هوا گرفت زمانی ولی به خاک نشست
زبان کلک تو حافظ چه شکر آن گويد
که گفته سخنت می‌برند دست به دست",[[0.0020729  0.00387513 0.00732883 ... 0.02283955 0.00565227 0.0277181 ]],,26,غزلیات حافظ
26,"زلف آشفته و خوی کرده و خندان لب و مست
پيرهن چاک و غزل خوان و صراحی در دست
نرگسش عربده جوی و لبش افسوس کنان
نيم شب دوش به بالين من آمد بنشست
سر فرا گوش من آورد به آواز حزين
گفت ای عاشق ديرينه من خوابت هست
عاشقی را که چنين باده شبگير دهند
کافر عشق بود گر نشود باده پرست
برو ای زاهد و بر دردکشان خرده مگير
که ندادند جز اين تحفه به ما روز الست
آن چه او ريخت به پيمانه ما نوشيديم
اگر از خمر بهشت است وگر باده مست
خنده جام می و زلف گره گير نگار
ای بسا توبه که چون توبه حافظ بشکست",[[0.00028958 0.00294675 0.00100452 ... 0.00900156 0.01400974 0.00629644]],,27,غزلیات حافظ
27,"در دير مغان آمد يارم قدحی در دست
مست از می و ميخواران از نرگس مستش مست
در نعل سمند او شکل مه نو پيدا
وز قد بلند او بالای صنوبر پست
آخر به چه گويم هست از خود خبرم چون نيست
وز بهر چه گويم نيست با وی نظرم چون هست
شمع دل دمسازم بنشست چو او برخاست
و افغان ز نظربازان برخاست چو او بنشست
گر غاليه خوش بو شد در گيسوی او پيچيد
ور وسمه کمانکش گشت در ابروی او پيوست
بازآی که بازآيد عمر شده حافظ
هر چند که نايد باز تيری که بشد از شست",[[0.00713833 0.00688297 0.00834259 ... 0.00376994 0.00216609 0.01308027]],,28,غزلیات حافظ
28,"به جان خواجه و حق قديم و عهد درست
که مونس دم صبحم دعای دولت توست
سرشک من که ز طوفان نوح دست برد
ز لوح سينه نيارست نقش مهر تو شست
بکن معامله‌ای وين دل شکسته بخر
که با شکستگی ارزد به صد هزار درست
زبان مور به آصف دراز گشت و رواست
که خواجه خاتم جم ياوه کرد و بازنجست
دلا طمع مبر از لطف بی‌نهايت دوست
چو لاف عشق زدی سر بباز چابک و چست
به صدق کوش که خورشيد زايد از نفست
که از دروغ سيه روی گشت صبح نخست
شدم ز دست تو شيدای کوه و دشت و هنوز
نمی‌کنی به ترحم نطاق سلسله سست
مرنج حافظ و از دلبران حفاظ مجوی
گناه باغ چه باشد چو اين گياه نرست",[[0.00243178 0.01167401 0.01038874 ... 0.01412041 0.00931838 0.01636865]],,29,غزلیات حافظ
29,"ما را ز خيال تو چه پروای شراب است
خم گو سر خود گير که خمخانه خراب است
گر خمر بهشت است بريزيد که بی دوست
هر شربت عذبم که دهی عين عذاب است
افسوس که شد دلبر و در ديده گريان
تحرير خيال خط او نقش بر آب است
بيدار شو ای ديده که ايمن نتوان بود
زين سيل دمادم که در اين منزل خواب است
معشوق عيان می‌گذرد بر تو وليکن
اغيار همی‌بيند از آن بسته نقاب است
گل بر رخ رنگين تو تا لطف عرق ديد
در آتش شوق از غم دل غرق گلاب است
سبز است در و دشت بيا تا نگذاريم
دست از سر آبی که جهان جمله سراب است
در کنج دماغم مطلب جای نصيحت
کاين گوشه پر از زمزمه چنگ و رباب است
حافظ چه شد ار عاشق و رند است و نظرباز
بس طور عجب لازم ايام شباب است",[[0.00079085 0.00319265 0.0085138  ... 0.00460992 0.01180843 0.02307867]],,30,غزلیات حافظ
30,"زلفت هزار دل به يکی تار مو ببست
راه هزار چاره گر از چار سو ببست
تا عاشقان به بوی نسيمش دهند جان
بگشود نافه‌ای و در آرزو ببست
شيدا از آن شدم که نگارم چو ماه نو
ابرو نمود و جلوه گری کرد و رو ببست
ساقی به چند رنگ می اندر پياله ريخت
اين نقش‌ها نگر که چه خوش در کدو ببست
يا رب چه غمزه کرد صراحی که خون خم
با نعره‌های قلقلش اندر گلو ببست
مطرب چه پرده ساخت که در پرده سماع
بر اهل وجد و حال در های و هو ببست
حافظ هر آن که عشق نورزيد و وصل خواست
احرام طوف کعبه دل بی وضو ببست","[[ 9.04857740e-03 -4.86885165e-06  6.81280484e-03 ...  1.32787805e-02
   3.00358608e-03  2.76094060e-02]]",,31,غزلیات حافظ
31,"آن شب قدری که گويند اهل خلوت امشب است
يا رب اين تاثير دولت در کدامين کوکب است
تا به گيسوی تو دست ناسزايان کم رسد
هر دلی از حلقه‌ای در ذکر يارب يارب است
کشته چاه زنخدان توام کز هر طرف
صد هزارش گردن جان زير طوق غبغب است
شهسوار من که مه آيينه دار روی اوست
تاج خورشيد بلندش خاک نعل مرکب است
عکس خوی بر عارضش بين کفتاب گرم رو
در هوای آن عرق تا هست هر روزش تب است
من نخواهم کرد ترک لعل يار و جام می
زاهدان معذور داريدم که اينم مذهب است
اندر آن ساعت که بر پشت صبا بندند زين
با سليمان چون برانم من که مورم مرکب است
آن که ناوک بر دل من زير چشمی می‌زند
قوت جان حافظش در خنده زير لب است
آب حيوانش ز منقار بلاغت می‌چکد
زاغ کلک من به نام ايزد چه عالی مشرب است",[[0.00665803 0.00168733 0.00645861 ... 0.0108011  0.00666983 0.01555377]],,32,غزلیات حافظ
32,"خدا چو صورت ابروی دلگشای تو بست
گشاد کار من اندر کرشمه‌های تو بست
مرا و سرو چمن را به خاک راه نشاند
زمانه تا قصب نرگس قبای تو بست
ز کار ما و دل غنچه صد گره بگشود
نسيم گل چو دل اندر پی هوای تو بست
مرا به بند تو دوران چرخ راضی کرد
ولی چه سود که سررشته در رضای تو بست
چو نافه بر دل مسکين من گره مفکن
که عهد با سر زلف گره گشای تو بست
تو خود وصال دگر بودی ای نسيم وصال
خطا نگر که دل اميد در وفای تو بست
ز دست جور تو گفتم ز شهر خواهم رفت
به خنده گفت که حافظ برو که پای تو بست",[[0.00267685 0.00496618 0.0148271  ... 0.01512948 0.00323646 0.02506551]],,33,غزلیات حافظ
