,output_text,vector,output_data_source,index
10,"وَ مِن تَمَامِ الأُضحِیّةِ استِشرَافُ أُذُنِهَا وَ سَلَامَةُ عَینِهَا فَإِذَا سَلِمَتِ الأُذُنُ وَ العَینُ سَلِمَتِ الأُضحِیّةُ وَ تَمّت وَ لَو کَانَت عَضبَاءَ القَرنِ تَجُرّ رِجلَهَا إِلَی المَنسَکِ
","[[ 0.00790047  0.03003297 -0.00083508 ...  0.00430986  0.00054653
   0.02329933]]",حکمت نهج البلاغه,53
11,"مَصَارِعُهُم دُونَ النّطفَةِ وَ اللّهِ لَا یُفلِتُ مِنهُم عَشَرَةٌ وَ لَا یَهلِکُ مِنکُم عَشَرَةٌ
","[[ 0.00071964  0.00721053 -0.00174093 ...  0.00646494 -0.00177641
   0.02453907]]",حکمت نهج البلاغه,59
12,"کَلّا وَ اللّهِ إِنّهُم نُطَفٌ فِی أَصلَابِ الرّجَالِ وَ قَرَارَاتِ النّسَاءِ کُلّمَا نَجَمَ مِنهُم قَرنٌ قُطِعَ حَتّی یَکُونَ آخِرُهُم لُصُوصاً سَلّابِینَ
","[[ 0.00495562  0.02872662  0.00060065 ...  0.00965393 -0.0017626
   0.01103052]]",حکمت نهج البلاغه,60
13,"لَا تُقَاتِلُوا الخَوَارِجَ بعَدیِ فَلَیسَ مَن طَلَبَ الحَقّ فَأَخطَأَهُ کَمَن طَلَبَ البَاطِلَ فَأَدرَکَهُ
",[[0.03350347 0.02224468 0.00030535 ... 0.00491616 0.01083582 0.0268712 ]],حکمت نهج البلاغه,61
14,"وَ إِنّ عَلَیّ مِنَ اللّهِ جُنّةً حَصِینَةً فَإِذَا جَاءَ یوَمیِ انفَرَجَت عنَیّ وَ أسَلمَتَنیِ فَحِینَئِذٍ لَا یَطِیشُ السّهمُ وَ لَا یَبرَأُ الکَلمُ
",[[0.00731788 0.01683254 0.00271737 ... 0.00483448 0.0064866  0.0398674 ]],حکمت نهج البلاغه,62
15,"وَ قَد أَرَدتُ تَولِیَةَ مِصرَ هَاشِمَ بنَ عُتبَةَ وَ لَو وَلّیتُهُ إِیّاهَا لَمّا خَلّی لَهُمُ العَرصَةَ وَ لَا أَنهَزَهُمُ الفُرصَةَ بِلَا ذَمّ لِمُحَمّدِ بنِ أَبِی بَکرٍ فَلَقَد کَانَ إلِیَ‌ّ حَبِیباً وَ کَانَ لِی رَبِیباً
","[[ 0.00705143  0.01510333 -0.00080116 ...  0.00306194  0.00458534
   0.01825178]]",حکمت نهج البلاغه,68
16,"ملَکَتَنیِ عیَنیِ وَ أَنَا جَالِسٌ فَسَنَحَ لِی رَسُولُ اللّهِص فَقُلتُ یَا رَسُولَ اللّهِ مَا ذَا لَقِیتُ مِن أُمّتِکَ مِنَ الأَوَدِ وَ اللّدَدِ فَقَالَ ادعُ عَلَیهِم فَقُلتُ أبَدلَنَیِ اللّهُ بِهِم خَیراً مِنهُم وَ أَبدَلَهُم بیِ شَرّاً لَهُم منِیّ
","[[ 0.00959064  0.00106621  0.0037444  ...  0.01104239 -0.00049315
   0.01865241]]",حکمت نهج البلاغه,70
17,"لَقَد عَلِمتُم أنَیّ أَحَقّ النّاسِ بِهَا مِن غیَریِ وَ وَ اللّهِ لَأُسلِمَنّ مَا سَلِمَت أُمُورُ المُسلِمِینَ وَ لَم یَکُن فِیهَا جَورٌ إِلّا عَلَیّ خَاصّةً التِمَاساً لِأَجرِ ذَلِکَ وَ فَضلِهِ وَ زُهداً فِیمَا تَنَافَستُمُوهُ مِن زُخرُفِهِ وَ زِبرِجِهِ
","[[ 0.01073329  0.00461018 -0.00198848 ...  0.021994   -0.00079873
   0.02872132]]",حکمت نهج البلاغه,74
18,"إِنّ بنَیِ أُمَیّةَ لیَفُوَقّوُننَیِ تُرَاثَ مُحَمّدٍص تَفوِیقاً وَ اللّهِ لَئِن بَقِیتُ لَهُم لَأَنفُضَنّهُم نَفضَ اللّحّامِ الوِذَامَ التّرِبَةَ
","[[ 3.2882937e-03 -2.7345739e-05  6.6757677e-03 ...  3.8250284e-03
   3.2368163e-03  2.2530118e-02]]",حکمت نهج البلاغه,77
19,"أَیّهَا النّاسُ الزّهَادَةُ قِصَرُ الأَمَلِ وَ الشّکرُ عِندَ النّعَمِ وَ التّوَرّعُ عِندَ المَحَارِمِ فَإِن عَزَبَ ذَلِکَ عَنکُم فَلَا یَغلِبِ الحَرَامُ صَبرَکُم وَ لَا تَنسَوا عِندَ النّعَمِ شُکرَکُم فَقَد أَعذَرَ اللّهُ إِلَیکُم بِحُجَجٍ مُسفِرَةٍ ظَاهِرَةٍ وَ کُتُبٍ بَارِزَةِ العُذرِ وَاضِحَةٍ
","[[ 0.00509367 -0.00011599 -0.00162404 ...  0.00611084  0.00809897
   0.01372268]]",حکمت نهج البلاغه,81
20,"مَا أَصِفُ مِن دَارٍ أَوّلُهَا عَنَاءٌ وَ آخِرُهَا فَنَاءٌ فِی حَلَالِهَا حِسَابٌ وَ فِی حَرَامِهَا عِقَابٌ مَنِ استَغنَی فِیهَا فُتِنَ وَ مَنِ افتَقَرَ فِیهَا حَزِنَ وَ مَن سَاعَاهَا فَاتَتهُ وَ مَن قَعَدَ عَنهَا وَاتَتهُ وَ مَن أَبصَرَ بِهَا بَصّرَتهُ وَ مَن أَبصَرَ إِلَیهَا أَعمَتهُ
","[[ 0.01443078  0.0026223  -0.00018194 ...  0.00762839  0.00935713
   0.0301987 ]]",حکمت نهج البلاغه,82
21,"فَلَا أَموَالَ بَذَلتُمُوهَا للِذّیِ رَزَقَهَا وَ لَا أَنفُسَ خَاطَرتُم بِهَا للِذّیِ خَلَقَهَا تَکرُمُونَ بِاللّهِ عَلَی عِبَادِهِ وَ لَا تُکرِمُونَ اللّهَ فِی عِبَادِهِ فَاعتَبِرُوا بِنُزُولِکُم مَنَازِلَ مَن کَانَ قَبلَکُم وَ انقِطَاعِکُم عَن أَوصَلِ إِخوَانِکُم
",[[0.00157541 0.0242528  0.0047822  ... 0.0611651  0.00231325 0.02027084]],حکمت نهج البلاغه,117
22,"أَنتُمُ الأَنصَارُ عَلَی الحَقّ وَ الإِخوَانُ فِی الدّینِ وَ الجُنَنُ یَومَ البَأسِ وَ البِطَانَةُ دُونَ النّاسِ بِکُم أَضرِبُ المُدبِرَ وَ أَرجُو طَاعَةَ المُقبِلِ فأَعَیِنوُنیِ بِمُنَاصَحَةٍ خَلِیّةٍ مِنَ الغِشّ سَلِیمَةٍ مِنَ الرّیبِ فَوَاللّهِ إنِیّ لَأَولَی النّاسِ بِالنّاسِ
","[[ 1.9483176e-03 -7.1086783e-05 -1.0523276e-03 ...  1.0425908e-02
   5.6857751e-03  2.6397647e-02]]",حکمت نهج البلاغه,118
23,"یَا ابنَ اللّعِینِ الأَبتَرِ وَ الشّجَرَةِ التّیِ لَا أَصلَ لَهَا وَ لَا فَرعَ أَنتَ تکَفیِنیِ فَوَ اللّهِ مَا أَعَزّ اللّهُ مَن أَنتَ نَاصِرُهُ وَ لَا قَامَ مَن أَنتَ مُنهِضُهُ اخرُج عَنّا أَبعَدَ اللّهُ نَوَاکَ ثُمّ ابلُغ جَهدَکَ فَلَا أَبقَی اللّهُ عَلَیکَ إِن أَبقَیتَ
","[[ 3.7742683e-03 -2.5711819e-05  9.8619552e-04 ...  1.3671697e-03
   3.7950864e-03  2.8405005e-02]]",حکمت نهج البلاغه,135
24,"وَ لَقَد أَحسَنتُ جِوَارَکُم وَ أَحَطتُ بجِهُدیِ مِن وَرَائِکُم وَ أَعتَقتُکُم مِن رِبَقِ الذّلّ وَ حَلَقِ الضّیمِ شُکراً منِیّ لِلبِرّ القَلِیلِ وَ إِطرَاقاً عَمّا أَدرَکَهُ البَصَرُ وَ شَهِدَهُ البَدَنُ مِنَ المُنکَرِ الکَثِیرِ
","[[ 0.00928716  0.01423338 -0.00170064 ...  0.00133418  0.01236806
   0.03122273]]",حکمت نهج البلاغه,159
25,"اسکُت قَبَحَکَ اللّهُ یَا أَثرَمُ فَوَاللّهِ لَقَد ظَهَرَ الحَقّ فَکُنتَ فِیهِ ضَئِیلًا شَخصُکَ خَفِیّاً صَوتُکَ حَتّی إِذَا نَعَرَ البَاطِلُ نَجَمتَ نُجُومَ قَرنِ المَاعِزِ
","[[ 0.0100927   0.00720991 -0.00149463 ...  0.00469275  0.00779422
   0.02817358]]",حکمت نهج البلاغه,184
26,"املِکُوا عنَیّ هَذَا الغُلَامَ لَا یهَدُنّیِ فإَنِنّیِ أَنفَسُ بِهَذَینِ یعَنیِ الحَسَنَ وَ الحُسَینَ ع عَلَی المَوتِ لِئَلّا یَنقَطِعَ بِهِمَا نَسلُ رَسُولِ اللّهِص
",[[0.00069202 0.00538176 0.00138555 ... 0.00338835 0.00562093 0.01721128]],حکمت نهج البلاغه,207
27,"أللّهُمّ صُن وجَهیِ بِالیَسَارِ وَ لَا تَبذُل جاَهیِ‌َ بِالإِقتَارِ فَأَستَرزِقَ طاَلبِیِ رِزقِکَ وَ أَستَعطِفَ شِرَارَ خَلقِکَ وَ أُبتَلَی بِحَمدِ مَن أعَطاَنیِ وَ أُفتَتَنَ بِذَمّ مَن منَعَنَیِ وَ أَنتَ مِن وَرَاءِ ذَلِکَ کُلّهِ ولَیِ‌ّ الإِعطَاءِ وَ المَنعِإِنّکَ عَلی کُلّ شَیءٍ قَدِیرٌ
",[[0.00793357 0.00025074 0.00157532 ... 0.00372231 0.00782766 0.01457215]],حکمت نهج البلاغه,225
28,"فَصَدَعَ بِمَا أُمِرَ بِهِ وَ بَلّغَ رِسَالَاتِ رَبّهِ فَلَمّ اللّهُ بِهِ الصّدعَ وَ رَتَقَ بِهِ الفَتقَ وَ أَلّفَ بِهِ الشّملَ بَینَ ذوَیِ الأَرحَامِ بَعدَ العَدَاوَةِ الوَاغِرَةِ فِی الصّدُورِ وَ الضّغَائِنِ القَادِحَةِ فِی القُلُوبِ
","[[ 0.00544177  0.00284782 -0.00346344 ...  0.0179675   0.00654728
   0.0268785 ]]",حکمت نهج البلاغه,231
29,"فقال ع إِنّ هَذَا المَالَ لَیسَ لِی وَ لَا لَکَ وَ إِنّمَا هُوَ فیَ‌ءٌ لِلمُسلِمِینَ وَ جَلبُ أَسیَافِهِم فَإِن شَرِکتَهُم فِی حَربِهِم کَانَ لَکَ مِثلُ حَظّهِم وَ إِلّا فَجَنَاةُ أَیدِیهِم لَا تَکُونُ لِغَیرِ أَفوَاهِهِم
",[[0.00621343 0.00608726 0.00105057 ... 0.01504697 0.01302696 0.03425688]],حکمت نهج البلاغه,232
30,"فَجَعَلتُ أَتبَعُ مَأخَذَ رَسُولِ اللّهِص فَأَطَأُ ذِکرَهُ حَتّی انتَهَیتُ إِلَی العَرَجِ
","[[ 0.00646464  0.00354133 -0.00127345 ...  0.01028989  0.00967778
   0.01729503]]",حکمت نهج البلاغه,236
31,"یَا ابنَ عَبّاسٍ مَا یُرِیدُ عُثمَانُ إِلّا أَن یجَعلَنَیِ جَمَلًا نَاضِحاً بِالغَربِ أَقبِل وَ أَدبِر بَعَثَ إلِیَ‌ّ أَن أَخرُجَ ثُمّ بَعَثَ إلِیَ‌ّ أَن أَقدُمَ ثُمّ هُوَ الآنَ یَبعَثُ إلِیَ‌ّ أَن أَخرُجَ وَ اللّهِ لَقَد دَفَعتُ عَنهُ حَتّی خَشِیتُ أَن أَکُونَ آثِماً
","[[1.8699327e-02 5.3669428e-05 2.1292605e-03 ... 5.8825862e-02
  1.7493980e-03 7.1272352e-03]]",حکمت نهج البلاغه,240
32,"وَ اللّهُ مُستَأدِیکُم شُکرَهُ وَ مُوَرّثُکُم أَمرَهُ وَ مُمهِلُکُم فِی مِضمَارٍ مَحدُودٍ لِتَتَنَازَعُوا سَبَقَهُ فَشُدّوا عُقَدَ المَآزِرِ وَ اطوُوا فُضُولَ الخَوَاصِرِ لَا تَجتَمِعُ عَزِیمَةٌ وَ وَلِیمَةٌ مَا أَنقَضَ النّومَ لِعَزَائِمِ الیَومِ وَ أَمحَی الظّلَمَ لِتَذَاکِیرِ الهِمَمِ
","[[ 0.00871922  0.01627658 -0.0006989  ...  0.00356857  0.01532685
   0.02285228]]",حکمت نهج البلاغه,241
33,"وَ جَزَاکُمُ اللّهُ مِن أَهلِ مِصرٍ عَن أَهلِ بَیتِ نَبِیّکُم أَحسَنَ مَا یجَزیِ العَامِلِینَ بِطَاعَتِهِ وَ الشّاکِرِینَ لِنِعمَتِهِ فَقَد سَمِعتُم وَ أَطَعتُم وَ دُعِیتُم فَأَجَبتُم
",[[0.00310676 0.02598222 0.0028471  ... 0.0086529  0.00228842 0.01436683]],حکمت نهج البلاغه,243
34,"أَمّا بَعدُ فَإِذَا أَتَاکَ کتِاَبیِ فَاحمِل مُعَاوِیَةَ عَلَی الفَصلِ وَ خُذهُ بِالأَمرِ الجَزمِ ثُمّ خَیّرهُ بَینَ حَربٍ مُجلِیَةٍ أَو سِلمٍ مُخزِیَةٍ فَإِنِ اختَارَ الحَربَ فَانبِذ إِلَیهِ وَ إِنِ اختَارَ السّلمَ فَخُذ بَیعَتَهُ وَ السّلَامُ
","[[ 0.01615011  0.03349086 -0.00176658 ...  0.01030108  0.02033073
   0.01787516]]",حکمت نهج البلاغه,249
35,"وَ قَد أَمّرتُ عَلَیکُمَا وَ عَلَی مَن فِی حَیّزِکُمَا مَالِکَ بنَ الحَارِثِ الأَشتَرَ فَاسمَعَا لَهُ وَ أَطِیعَا وَ اجعَلَاهُ دِرعاً وَ مِجَنّاً فَإِنّهُ مِمّن لَا یُخَافُ وَهنُهُ وَ لَا سَقطَتُهُ وَ لَا بُطؤُهُ عَمّا الإِسرَاعُ إِلَیهِ أَحزَمُ وَ لَا إِسرَاعُهُ إِلَی مَا البُطءُ عَنهُ أَمثَلُ
",[[0.00611758 0.01629595 0.0059602  ... 0.00115039 0.01208505 0.01740357]],حکمت نهج البلاغه,254
36,"وَ إنِیّ أُقسِمُ بِاللّهِ قَسَماً صَادِقاً لَئِن بلَغَنَیِ أَنّکَ خُنتَ مِن فیَ‌ءِ المُسلِمِینَ شَیئاً صَغِیراً أَو کَبِیراً لَأَشُدّنّ عَلَیکَ شَدّةً تَدَعُکَ قَلِیلَ الوَفرِ ثَقِیلَ الظّهرِ ضَئِیلَ الأَمرِ وَ السّلَامُ
","[[ 0.0051763   0.01754171 -0.00306506 ...  0.00363477  0.01257956
   0.03043414]]",حکمت نهج البلاغه,261
37,"أَمّا بَعدُ فإَنِیّ خَرَجتُ مِن حیَیّ هَذَا إِمّا ظَالِماً وَ إِمّا مَظلُوماً وَ إِمّا بَاغِیاً وَ إِمّا مَبغِیّاً عَلَیهِ وَ إنِیّ أُذَکّرُ اللّهَ مَن بَلَغَهُ کتِاَبیِ هَذَا لَمّا نَفَرَ إلِیَ‌ّ فَإِن کُنتُ مُحسِناً أعَاَننَیِ وَ إِن کُنتُ مُسِیئاً استعَتبَنَیِ‌
",[[0.00726991 0.03157159 0.00173249 ... 0.00686169 0.00489071 0.01426105]],حکمت نهج البلاغه,298
38,"أَمّا بَعدُ فَإِنّکَ لَستَ بِسَابِقٍ أَجَلَکَ وَ لَا مَرزُوقٍ مَا لَیسَ لَکَ وَ اعلَم بِأَنّ الدّهرَ یَومَانِ یَومٌ لَکَ وَ یَومٌ عَلَیکَ وَ أَنّ الدّنیَا دَارُ دُوَلٍ فَمَا کَانَ مِنهَا لَکَ أَتَاکَ عَلَی ضَعفِکَ وَ مَا کَانَ مِنهَا عَلَیکَ لَم تَدفَعهُ بِقُوّتِکَ
","[[ 0.00961751  0.0392031  -0.0009882  ...  0.0078011   0.00345663
   0.01835733]]",حکمت نهج البلاغه,313
39,"سَعِ النّاسَ بِوَجهِکَ وَ مَجلِسِکَ وَ حُکمِکَ وَ إِیّاکَ وَ الغَضَبَ فَإِنّهُ طَیرَةٌ مِنَ الشّیطَانِ وَ اعلَم أَنّ مَا قَرّبَکَ مِنَ اللّهِ یُبَاعِدُکَ مِنَ النّارِ وَ مَا بَاعَدَکَ مِنَ اللّهِ یُقَرّبُکَ مِنَ النّارِ
","[[ 1.5579881e-02 -7.5391322e-06  5.6562794e-04 ...  3.9152810e-03
   8.7798340e-03  1.4080613e-02]]",حکمت نهج البلاغه,317
40,"لَا تُخَاصِمهُم بِالقُرآنِ فَإِنّ القُرآنَ حَمّالٌ ذُو وُجُوهٍ تَقُولُ وَ یَقُولُونَ ... وَ لَکِن حَاجِجهُم بِالسّنّةِ فَإِنّهُم لَن یَجِدُوا عَنهَا مَحِیصاً
","[[ 0.00902738  0.0236201  -0.00033167 ...  0.00782017  0.00612464
   0.01903877]]",حکمت نهج البلاغه,318
41,"أَمّا بَعدُ فَإِنّمَا أَهلَکَ مَن کَانَ قَبلَکُم أَنّهُم مَنَعُوا النّاسَ الحَقّ فَاشتَرَوهُ وَ أَخَذُوهُم بِالبَاطِلِ فَاقتَدَوهُ
",[[0.003754   0.03145503 0.00035751 ... 0.07308478 0.00724547 0.02141016]],حکمت نهج البلاغه,320
42,"قَالَ ع کُن فِی الفِتنَةِ کَابنِ اللّبُونِ لَا ظَهرٌ فَیُرکَبَ وَ لَا ضَرعٌ فَیُحلَبَ
","[[ 0.007561    0.00438162 -0.00060796 ...  0.00601743  0.00433366
   0.02824819]]",حکمت نهج البلاغه,321
43,"وَ قَالَ ع أَزرَی بِنَفسِهِ مَنِ استَشعَرَ الطّمَعَ وَ رضَیِ‌َ بِالذّلّ مَن کَشَفَ عَن ضُرّهِ وَ هَانَت عَلَیهِ نَفسُهُ مَن أَمّرَ عَلَیهَا لِسَانَهُ
",[[0.01052289 0.01068474 0.00055281 ... 0.00631119 0.00922339 0.01736856]],حکمت نهج البلاغه,322
44,"وَ قَالَ ع البُخلُ عَارٌ وَ الجُبنُ مَنقَصَةٌ وَ الفَقرُ یُخرِسُ الفَطِنَ عَن حُجّتِهِ وَ المُقِلّ غَرِیبٌ فِی بَلدَتِهِ
","[[ 0.01085236  0.01051876 -0.00329424 ... -0.00085744  0.00396736
   0.0286748 ]]",حکمت نهج البلاغه,323
45,"وَ قَالَ ع العَجزُ آفَةٌ وَ الصّبرُ شَجَاعَةٌ وَ الزّهدُ ثَروَةٌ وَ الوَرَعُ جُنّةٌ وَ نِعمَ القَرِینُ الرّضَی
","[[ 0.00335439  0.00867583 -0.00079282 ...  0.00444672  0.00957267
   0.00240652]]",حکمت نهج البلاغه,324
46,"وَ قَالَ ع العِلمُ وِرَاثَةٌ کَرِیمَةٌ وَ الآدَابُ حُلَلٌ مُجَدّدَةٌ وَ الفِکرُ مِرآةٌ صَافِیَةٌ
","[[ 3.0271425e-03  8.9668892e-03 -9.1667136e-04 ...  6.4186053e-05
   8.1174858e-03  3.7528291e-02]]",حکمت نهج البلاغه,325
47,"وَ قَالَ ع صَدرُ العَاقِلِ صُندُوقُ سِرّهِ وَ البَشَاشَةُ حِبَالَةُ المَوَدّةِ وَ الِاحتِمَالُ قَبرُ العُیُوبِ وَ روُیِ‌َ أَنّهُ قَالَ فِی العِبَارَةِ عَن هَذَا المَعنَی أَیضاً المَسأَلَةُ خِبَاءُ العُیُوبِ وَ مَن رضَیِ‌َ عَن نَفسِهِ کَثُرَ السّاخِطُ عَلَیهِ
","[[ 0.0100271   0.01013139  0.00164009 ...  0.00485624 -0.00085893
   0.01113029]]",حکمت نهج البلاغه,326
48,"وَ الصّدَقَةُ دَوَاءٌ مُنجِحٌ وَ أَعمَالُ العِبَادِ فِی عَاجِلِهِم نُصبُ أَعیُنِهِم فِی آجَالِهِم
","[[ 0.00074199  0.01197386 -0.0026796  ...  0.01058397  0.00395569
   0.0341016 ]]",حکمت نهج البلاغه,327
49,"وَ قَالَ ع اعجَبُوا لِهَذَا الإِنسَانِ یَنظُرُ بِشَحمٍ وَ یَتَکَلّمُ بِلَحمٍ وَ یَسمَعُ بِعَظمٍ وَ یَتَنَفّسُ مِن خَرمٍ
",[[0.00315623 0.01013927 0.01119688 ... 0.00107166 0.00599736 0.01885625]],حکمت نهج البلاغه,328
50,"وَ قَالَ ع إِذَا أَقبَلَتِ الدّنیَا عَلَی أَحَدٍ أَعَارَتهُ مَحَاسِنَ غَیرِهِ وَ إِذَا أَدبَرَت عَنهُ سَلَبَتهُ مَحَاسِنَ نَفسِهِ
",[[0.00814657 0.02011753 0.00084083 ... 0.04699738 0.00417502 0.02059529]],حکمت نهج البلاغه,329
51,"وَ قَالَ ع خَالِطُوا النّاسَ مُخَالَطَةً إِن مِتّم مَعَهَا بَکَوا عَلَیکُم وَ إِن عِشتُم حَنّوا إِلَیکُم
","[[ 8.2404632e-03  1.5181313e-02 -2.9331309e-04 ...  6.5938286e-03
  -8.2850966e-05  2.2706226e-02]]",حکمت نهج البلاغه,330
52,"وَ قَالَ ع إِذَا قَدَرتَ عَلَی عَدُوّکَ فَاجعَلِ العَفوَ عَنهُ شُکراً لِلقُدرَةِ عَلَیهِ
","[[ 0.00254759  0.02286558 -0.00055155 ...  0.00923232  0.05797282
   0.02597858]]",حکمت نهج البلاغه,331
53,"وَ قَالَ ع أَعجَزُ النّاسِ مَن عَجَزَ عَنِ اکتِسَابِ الإِخوَانِ وَ أَعجَزُ مِنهُ مَن ضَیّعَ مَن ظَفِرَ بِهِ مِنهُم
","[[8.1569962e-03 1.5657039e-02 6.2606574e-05 ... 1.1369676e-02
  1.7361868e-02 2.2467842e-02]]",حکمت نهج البلاغه,332
54,"وَ قَالَ ع إِذَا وَصَلَت إِلَیکُم أَطرَافُ النّعَمِ فَلَا تُنَفّرُوا أَقصَاهَا بِقِلّةِ الشّکرِ
","[[ 0.00895162  0.01432831 -0.00130657 ...  0.00684217  0.00155454
   0.01822955]]",حکمت نهج البلاغه,333
55,"وَ قَالَ ع مَن ضَیّعَهُ الأَقرَبُ أُتِیحَ لَهُ الأَبعَدُ
",[[0.00621529 0.01273537 0.00028454 ... 0.00642626 0.00982953 0.01424615]],حکمت نهج البلاغه,334
56,"وَ قَالَ ع مَا کُلّ مَفتُونٍ یُعَاتَبُ
","[[ 2.2237073e-03  1.0604123e-02 -6.6852881e-05 ...  5.0546150e-03
  -1.5362554e-03  1.6810888e-02]]",حکمت نهج البلاغه,335
57,"وَ قَالَ ع تَذِلّ الأُمُورُ لِلمَقَادِیرِ حَتّی یَکُونَ الحَتفُ فِی التّدبِیرِ
",[[0.00395049 0.0131478  0.00012625 ... 0.00829305 0.01096823 0.02398623]],حکمت نهج البلاغه,336
