,output_text,vector,output_data_source,index
10,"امروز دیدم یار را آن رونق هر کار را	می شد روان بر آسمان همچون روان مصطفی
خورشید از رویش خجل گردون مشبک همچو دل	از تابش او آب و گل افزون ز آتش در ضیا
گفتم که بنما نردبان تا برروم بر آسمان	گفتا سر تو نردبان سر را درآور زیر پا
چون پای خود بر سر نهی پا بر سر اختر نهی	چون تو هوا را بشکنی پا بر هوا نه هین بیا
بر آسمان و بر هوا صد رد پدید آید تو را	بر آسمان پران شوی هر صبحدم همچون دعا","[[-1.7339534e-04  1.2892830e-06 -2.0737561e-06 ... -6.5066610e-07
  -3.1868138e-05 -1.3943705e-04]]",غزلیات مولوی,19
11,"چندانک خواهی جنگ کن یا گرم کن تهدید را	می دان که دود گولخن هرگز نیاید بر سما
ور خود برآید بر سما کی تیره گردد آسمان	کز دود آورد آسمان چندان لطیفی و ضیا
خود را مرنجان ای پدر سر را مکوب اندر حجر	با نقش گرمابه مکن این جمله چالیش و غزا
گر تو کنی بر مه تفو بر روی تو بازآید آن	ور دامن او را کشی هم بر تو تنگ آید قبا
پیش از تو خامان دگر در جوش این دیگ جهان	بس برطپیدند و نشد درمان نبود الا رضا
بگرفت دم مار را یک خارپشت اندر دهن	سر درکشید و گرد شد مانند گویی آن دغا
آن مار ابله خویش را بر خار می زد دم به دم	سوراخ سوراخ آمد او از خود زدن بر خارها
بی صبر بود و بی حیل خود را بکشت او از عجل	گر صبر کردی یک زمان رستی از او آن بدلقا
بر خارپشت هر بلا خود را مزن تو هم هلا	ساکن نشین وین ورد خوان جاء القضا ضاق الفضا
فرمود رب العالمین با صابرانم همنشین	ای همنشین صابران افرغ علینا صبرنا
رفتم به وادی دگر باقی تو فرما ای پدر	مر صابران را می رسان هر دم سلامی نو ز ما","[[-1.0136831e-04 -7.3627753e-08 -1.0633254e-05 ...  1.5566635e-05
  -6.1928413e-06  5.1594216e-05]]",غزلیات مولوی,20
12,"من دی نگفتم مر تو را کای بی نظیر خوش لقا	ای قد مه از رشک تو چون آسمان گشته دوتا
امروز صد چندان شدی حاجب بدی سلطان شدی	هم یوسف کنعان شدی هم فر نور مصطفی
امشب ستایمت ای پری فردا ز گفتن بگذری	فردا زمین و آسمان در شرح تو باشد فنا
امشب غنیمت دارمت باشم غلام و چاکرت	فردا ملک بی هش شود هم عرش بشکافد قبا
ناگه برآید صرصری نی بام ماند نه دری	زین پشگان پر کی زند چونک ندارد پیل پا
باز از میان صرصرش درتابد آن حسن و فرش	هر ذره ای خندان شود در فر آن شمس الضحی
تعلیم گیرد ذره ها زان آفتاب خوش لقا	صد ذرگی دلربا کان ها نبودش ز ابتدا",[[0.00013362 0.00101426 0.00923144 ... 0.02072812 0.00322963 0.01552117]],غزلیات مولوی,25
13,"هر لحظه وحی آسمان آید به سر جان ها	کاخر چو دردی بر زمین تا چند می باشی برآ
هر کز گران جانان بود چون درد در پایان بود	آنگه رود بالای خم کان درد او یابد صفا
گل را مجنبان هر دمی تا آب تو صافی شود	تا درد تو روشن شود تا درد تو گردد دوا
جانیست چون شعله ولی دودش ز نورش بیشتر	چون دود از حد بگذرد در خانه ننماید ضیا
گر دود را کمتر کنی از نور شعله برخوری	از نور تو روشن شود هم این سرا هم آن سرا
در آب تیره بنگری نی ماه بینی نی فلک	خورشید و مه پنهان شود چون تیرگی گیرد هوا
باد شمالی می وزد کز وی هوا صافی شود	وز بهر این صیقل سحر در می دمد باد صبا
باد نفس مر سینه را ز اندوه صیقل می زند	گر یک نفس گیرد نفس مر نفس را آید فنا
جان غریب اندر جهان مشتاق شهر لامکان	نفس بهیمی در چرا چندین چرا باشد چرا
ای جان پاک خوش گهر تا چند باشی در سفر	تو باز شاهی بازپر سوی صفیر پادشا","[[ 0.00070366  0.00300613  0.00861842 ...  0.00031826 -0.00011821
  -0.00051474]]",غزلیات مولوی,26
14,"ای از ورای پرده ها تاب تو تابستان ما	ما را چو تابستان ببر دل گرم تا بستان ما
ای چشم جان را توتیا آخر کجا رفتی بیا	تا آب رحمت برزند از صحن آتشدان ما
تا سبزه گردد شوره ها تا روضه گردد گورها	انگور گردد غوره ها تا پخته گردد نان ما
ای آفتاب جان و دل ای آفتاب از تو خجل	آخر ببین کاین آب و گل چون بست گرد جان ما
شد خارها گلزارها از عشق رویت بارها	تا صد هزار اقرارها افکند در ایمان ما
ای صورت عشق ابد خوش رو نمودی در جسد	تا ره بری سوی احد جان را از این زندان ما
در دود غم بگشا طرب روزی نما از عین شب	روزی غریب و بوالعجب ای صبح نورافشان ما
گوهر کنی خرمهره را زهره بدری زهره را	سلطان کنی بی بهره را شاباش ای سلطان ما
کو دیده ها درخورد تو تا دررسد در گرد تو	کو گوش هوش آورد تو تا بشنود برهان ما
چون دل شود احسان شمر در شکر آن شاخ شکر	نعره برآرد چاشنی از بیخ هر دندان ما
آمد ز جان بانگ دهل تا جزوها آید به کل	ریحان به ریحان گل به گل از حبس خارستان ما",[[0.00024743 0.00125125 0.01240212 ... 0.00499078 0.00256511 0.0153044 ]],غزلیات مولوی,29
15,"ای فصل باباران ما برریز بر یاران ما	چون اشک غمخواران ما در هجر دلداران ما
ای چشم ابر این اشک ها می ریز همچون مشک ها	زیرا که داری رشک ها بر ماه رخساران ما
این ابر را گریان نگر وان باغ را خندان نگر	کز لابه و گریه پدر رستند بیماران ما
ابر گران چون داد حق از بهر لب خشکان ما	رطل گران هم حق دهد بهر سبکساران ما
بر خاک و دشت بی نوا گوهرفشان کرد آسمان	زین بی نوایی می کشند از عشق طراران ما
این ابر چون یعقوب من وان گل چو یوسف در چمن	بشکفته روی یوسفان از اشک افشاران ما
یک قطره اش گوهر شود یک قطره اش عبهر شود	وز مال و نعمت پر شود کف های کف خاران ما
باغ و گلستان ملی اشکوفه می کردند دی	زیرا که بر ریق از پگه خوردند خماران ما
بربند لب همچون صدف مستی میا در پیش صف	تا بازآیند این طرف از غیب هشیاران ما","[[-5.0239491e-06 -1.1269402e-07 -7.4405802e-06 ...  7.0565363e-04
  -1.7845350e-05  3.1797543e-05]]",غزلیات مولوی,30
16,"دیدم سحر آن شاه را بر شاهراه هل اتی	در خواب غفلت بی خبر زو بوالعلی و بوالعلا
زان می که در سر داشتم من ساغری برداشتم	در پیش او می داشتم گفتم که ای شاه الصلا
گفتا چیست این ای فلان گفتم که خون عاشقان	جوشیده و صافی چو جان بر آتش عشق و ولا
گفتا چو تو نوشیده ای در دیگ جان جوشیده ای	از جان و دل نوشش کنم ای باغ اسرار خدا
آن دلبر سرمست من بستد قدح از دست من	اندرکشیدش همچو جان کان بود جان را جان فزا
از جان گذشته صد درج هم در طرب هم در فرج	می کرد اشارت آسمان کای چشم بد دور از شما","[[ 2.9757095e-03 -8.6516375e-06  3.8259095e-03 ...  8.1123877e-03
   4.3531286e-04  2.2013394e-02]]",غزلیات مولوی,32
17,"ای عاشقان ای عاشقان آمد گه وصل و لقا	از آسمان آمد ندا کای ماه رویان الصلا
ای سرخوشان ای سرخوشان آمد طرب دامن کشان	بگرفته ما زنجیر او بگرفته او دامان ما
آمد شراب آتشین ای دیو غم کنجی نشین	ای جان مرگ اندیش رو ای ساقی باقی درآ
ای هفت گردون مست تو ما مهره ای در دست تو	ای هست ما از هست تو در صد هزاران مرحبا
ای مطرب شیرین نفس هر لحظه می جنبان جرس	ای عیش زین نه بر فرس بر جان ما زن ای صبا
ای بانگ نای خوش سمر در بانگ تو طعم شکر	آید مرا شام و سحر از بانگ تو بوی وفا
بار دگر آغاز کن آن پرده ها را ساز کن	بر جمله خوبان ناز کن ای آفتاب خوش لقا
خاموش کن پرده مدر سغراق خاموشان بخور	ستار شو ستار شو خو گیر از حلم خدا","[[ 2.03885860e-03 -1.12339194e-05  4.47883271e-03 ...  1.39998235e-02
   6.00198703e-03  9.17292386e-03]]",غزلیات مولوی,34
18,"ای یار ما دلدار ما ای عالم اسرار ما	ای یوسف دیدار ما ای رونق بازار ما
نک بر دم امسال ما خوش عاشق آمد پار ما	ما مفلسانیم و تویی صد گنج و صد دینار ما
ما کاهلانیم و تویی صد حج و صد پیکار ما	ما خفتگانیم و تویی صد دولت بیدار ما
ما خستگانیم و تویی صد مرهم بیمار ما	ما بس خرابیم و تویی هم از کرم معمار ما
من دوش گفتم عشق را ای خسرو عیار ما	سر درمکش منکر مشو تو برده ای دستار ما
واپس جوابم داد او نی از توست این کار ما	چون هرچ گویی وادهد همچون صدا کهسار ما
من گفتمش خود ما کهیم و این صدا گفتار ما	زیرا که که را اختیاری نبود ای مختار ما","[[1.6797821e-03 7.0726368e-05 6.7257895e-03 ... 1.9606272e-02
  8.6105168e-03 5.7597505e-03]]",غزلیات مولوی,35
19,"خواجه بیا خواجه بیا خواجه دگربار بیا	دفع مده دفع مده ای مه عیار بیا
عاشق مهجور نگر عالم پرشور نگر	تشنه مخمور نگر ای شه خمار بیا
پای تویی دست تویی هستی هر هست تویی	بلبل سرمست تویی جانب گلزار بیا
گوش تویی دیده تویی وز همه بگزیده تویی	یوسف دزدیده تویی بر سر بازار بیا
از نظر گشته نهان ای همه را جان و جهان	بار دگر رقص کنان بی دل و دستار بیا
روشنی روز تویی شادی غم سوز تویی	ماه شب افروز تویی ابر شکربار بیا
ای علم عالم نو پیش تو هر عقل گرو	گاه میا گاه مرو خیز به یک بار بیا
ای دل آغشته به خون چند بود شور و جنون	پخته شد انگور کنون غوره میفشار بیا
ای شب آشفته برو وی غم ناگفته برو	ای خرد خفته برو دولت بیدار بیا
ای دل آواره بیا وی جگر پاره بیا	ور ره در بسته بود از ره دیوار بیا
ای نفس نوح بیا وی هوس روح بیا	مرهم مجروح بیا صحت بیمار بیا
ای مه افروخته رو آب روان در دل جو	شادی عشاق بجو کوری اغیار بیا
بس بود ای ناطق جان چند از این گفت زبان	چند زنی طبل بیان بی دم و گفتار بیا",[[0.00531223 0.01570802 0.04002957 ... 0.01445692 0.00646018 0.01388003]],غزلیات مولوی,36
20,"یار مرا غار مرا عشق جگرخوار مرا	یار تویی غار تویی خواجه نگهدار مرا
نوح تویی روح تویی فاتح و مفتوح تویی	سینه مشروح تویی بر در اسرار مرا
نور تویی سور تویی دولت منصور تویی	مرغ که طور تویی خسته به منقار مرا
قطره تویی بحر تویی لطف تویی قهر تویی	قند تویی زهر تویی بیش میازار مرا
حجره خورشید تویی خانه ناهید تویی	روضه اومید تویی راه ده ای یار مرا
روز تویی روزه تویی حاصل دریوزه تویی	آب تویی کوزه تویی آب ده این بار مرا
دانه تویی دام تویی باده تویی جام تویی	پخته تویی خام تویی خام بمگذار مرا
این تن اگر کم تندی راه دلم کم زندی	راه شدی تا نبدی این همه گفتار مرا","[[-7.5740769e-05 -2.0378231e-08 -6.2814047e-06 ...  1.0537582e-03
  -2.6650721e-05  9.5906089e-06]]",غزلیات مولوی,37
21,"آه که آن صدر سرا می ندهد بار مرا	می نکند محرم جان محرم اسرار مرا
نغزی و خوبی و فرش آتش تیز نظرش	پرسش همچون شکرش کرد گرفتار مرا
گفت مرا مهر تو کو رنگ تو کو فر تو کو	رنگ کجا ماند و بو ساعت دیدار مرا
غرقه جوی کرمم بنده آن صبحدمم	کان گل خوش بوی کشد جانب گلزار مرا
هر که به جوبار بود جامه بر او بار بود	چند زیانست و گران خرقه و دستار مرا
ملکت و اسباب کز این ماه رخان شکرین	هست به معنی چو بود یار وفادار مرا
دستگه و پیشه تو را دانش و اندیشه تو را	شیر تو را بیشه تو را آهوی تاتار مرا
نیست کند هست کند بی دل و بی دست کند	باده دهد مست کند ساقی خمار مرا
ای دل قلاش مکن فتنه و پرخاش مکن	شهره مکن فاش مکن بر سر بازار مرا
گر شکند پند مرا زفت کند بند مرا	بر طمع ساختن یار خریدار مرا
بیش مزن دم ز دوی دو دو مگو چون ثنوی	اصل سبب را بطلب بس شد از آثار مرا",[[0.00448548 0.00735595 0.00984028 ... 0.01349358 0.00594061 0.01960857]],غزلیات مولوی,39
22,"طوق جنون سلسله شد باز مکن سلسله را	لابه گری می کنمت راه تو زن قافله را
مست و خوش و شاد توام حامله داد توام	حامله گر بار نهد جرم منه حامله را
هیچ فلک دفع کند از سر خود دور سفر	هیچ زمین دفع کند از تن خود زلزله را
می کشد آن شه رقمی دل به کفش چون قلمی	تازه کن اسلام دمی خواجه رها کن گله را
آنچ کند شاه جفا آبله دان بر کف شه	آنک بیابد کف شه بوسه دهد آبله را
همچو کتابیست جهان جامع احکام نهان	جان تو سردفتر آن فهم کن این مساله را
شاد همی باش و ترش آب بگردان و خمش	باز کن از گردن خر مشغله زنگله را","[[ 4.2211916e-03 -1.0827058e-05  5.2329581e-03 ...  4.5371931e-02
   1.2826027e-02  2.3050282e-02]]",غزلیات مولوی,40
23,"شمع جهان دوش نبد نور تو در حلقه ما	راست بگو شمع رخت دوش کجا بود کجا
سوی دل ما بنگر کز هوس دیدن تو	دولت آن جا که در او حسن تو بگشاد قبا
دوش به هر جا که بدی دانم کامروز ز غم	گشته بود همچو دلم مسجد لا حول و لا
دوش همی گشتم من تا به سحر ناله کنان	بدرک بالصبح بدا هیج نومی و نفی
سایه نوری تو و ما جمله جهان سایه تو	نور کی دیدست که او باشد از سایه جدا
گاه بود پهلوی او گاه شود محو در او	پهلوی او هست خدا محو در او هست لقا
سایه زده دست طلب سخت در آن نور عجب	تا چو بکاهد بکشد نور خدایش به خدا
شرح جدایی و درآمیختگی سایه و نور	لا یتناهی و لان جات بضعف مددا
نور مسبب بود و هر چه سبب سایه او	بی سببی قد جعل الله لکل سببا
آینه همدگر افتاد مسبب و سبب	هر کی نه چون آینه گشتست ندید آینه را","[[ 7.6227431e-04 -1.4445478e-05  9.2168935e-03 ...  4.2862758e-02
   1.0404043e-02  3.0097768e-02]]",غزلیات مولوی,41
24,"کار تو داری صنما قدر تو باری صنما	ما همه پابسته تو شیر شکاری صنما
دلبر بی کینه ما شمع دل سینه ما	در دو جهان در دو سرا کار تو داری صنما
ذره به ذره بر تو سجده کنان بر در تو	چاکر و یاری گر تو آه چه یاری صنما
هر نفسی تشنه ترم بسته جوع البقرم	گفت که دریا بخوری گفتم کآری صنما
هر کی ز تو نیست جدا هیچ نمیرد به خدا	آنگه اگر مرگ بود پیش تو باری صنما
نیست مرا کار و دکان هستم بی کار جهان	زان که ندانم جز تو کارگزاری صنما
خواه شب و خواه سحر نیستم از هر دو خبر	کیست خبر چیست خبر روزشماری صنما
روز مرا دیدن تو شب غم ببریدن تو	از تو شبم روز شود همچو نهاری صنما
باغ پر از نعمت من گلبن بازینت من	هیچ ندید و نبود چون تو بهاری صنما
جسم مرا خاک کنی خاک مرا پاک کنی	باز مرا نقش کنی ماه عذاری صنما
فلسفیک کور شود نور از او دور شود	زو ندمد سنبل دین چونک نکاری صنما
فلسفی این هستی من عارف تو مستی من	خوبی این زشتی آن هم تو نگاری صنما","[[-0.00028827  0.00802751  0.01611382 ...  0.00243007  0.00726012
   0.01585148]]",غزلیات مولوی,42
25,"ای که تو ماه آسمان ماه کجا و تو کجا	در رخ مه کجا بود این کر و فر و کبریا
جمله به ماه عاشق و ماه اسیر عشق تو	ناله کنان ز درد تو لابه کنان که ای خدا
سجده کنند مهر و مه پیش رخ چو آتشت	چونک کند جمال تو با مه و مهر ماجرا
آمد دوش مه که تا سجده برد به پیش تو	غیرت عاشقان تو نعره زنان که رو میا
خوش بخرام بر زمین تا شکفند جان ها	تا که ملک فروکند سر ز دریچه سما
چونک شوی ز روی تو برق جهنده هر دلی	دست به چشم برنهد از پی حفظ دیده ها
هر چه بیافت باغ دل از طرب و شکفتگی	از دی این فراق شد حاصل او همه هبا
زرد شدست باغ جان از غم هجر چون خزان	کی برسد بهار تو تا بنماییش نما
بر سر کوی تو دلم زار نزار خفت دی	کرد خیال تو گذر دید بدان صفت ورا
گفت چگونه ای از این عارضه گران بگو	کز تنکی ز دیده ها رفت تن تو در خفا
گفت و گذشت او ز من لیک ز ذوق آن سخن	صحت یافت این دلم یا رب تش دهی جزا","[[ 9.9703968e-05  1.3972186e-03  1.7899852e-02 ...  8.6811185e-03
  -2.1052871e-04  1.6980210e-02]]",غزلیات مولوی,47
26,"ماه درست را ببین کو بشکست خواب ما	تافت ز چرخ هفتمین در وطن خراب ما
خواب ببر ز چشم ما چون ز تو روز گشت شب	آب مده به تشنگان عشق بس است آب ما
جمله ره چکیده خون از سر تیغ عشق او	جمله کو گرفته بو از جگر کباب ما
شکر باکرانه را شکر بی کرانه گفت	غره شدی به ذوق خود بشنو این جواب ما
روترشی چرا مگر صاف نبد شراب تو	از پی امتحان بخور یک قدح از شراب ما
تا چه شوند عاشقان روز وصال ای خدا	چونک ز هم بشد جهان از بت بانقاب ما
از تبریز شمس دین روی نمود عاشقان	ای که هزار آفرین بر مه و آفتاب ما",[[0.00010478 0.00654884 0.00766248 ... 0.00952339 0.01151133 0.01422648]],غزلیات مولوی,48
27,"با تو حیات و زندگی بی تو فنا و مردنا	زانک تو آفتابی و بی تو بود فسردنا
خلق بر این بساط ها بر کف تو چو مهره ای	هم ز تو ماه گشتنا هم ز تو مهره بردنا
گفت دمم چه می دهی دم به تو من سپرده ام	من ز تو بی خبر نیم در دم دم سپردنا
پیش به سجده می شدم پست خمیده چون شتر	خنده زنان گشاد لب گفت درازگردنا
بین که چه خواهی کردنا بین که چه خواهی کردنا	گردن دراز کرده ای پنبه بخواهی خوردنا","[[ 3.0322120e-05  2.8122720e-04 -6.6539524e-06 ...  3.5323852e-04
  -3.5321242e-05 -4.2695372e-04]]",غزلیات مولوی,49
