,model,input_id,input_text,output_id,output_text,k,input_vector,output_vector
10,LASER,5,باید تجارب خود را به افراد دیگر منتقل کنیم,433,ای دل مباش یک دم خالی ز عشق و مستی وان گه برو که رستی از نیستی و هستی گر جان به تن ببینی مشغول کار او شو هر قبله‌ای که بینی بهتر ز خودپرستی با ضعف و ناتوانی همچون نسیم خوش باش بیماری اندر این ره بهتر ز تندرستی در مذهب طریقت خامی نشان کفر است آری طریق دولت چالاکی است و چستی تا فضل و عقل بینی بی‌معرفت نشینی یک نکته‌ات بگویم خود را مبین که رستی در آستان جانان از آسمان میندیش کز اوج سربلندی افتی به خاک پستی خار ار چه جان بکاهد گل عذر آن بخواهد سهل است تلخی می در جنب ذوق مستی صوفی پیاله پیما حافظ قرابه پرهیز ای کوته آستینان تا کی درازدستی,1,"[[ 0.02844489 -0.00019039  0.00320345 ...  0.001158    0.01048164
   0.01547805]]","[[ 3.2030867e-04 -5.3729553e-05  5.6267884e-02 ...  6.2861951e-04
   4.0524765e-03  2.9549431e-02]]"
11,LASER,5,باید تجارب خود را به افراد دیگر منتقل کنیم,60,صبا اگر گذری افتدت به کشور دوست بیار نفحه‌ای از گیسوی معنبر دوست به جان او که به شکرانه جان برافشانم اگر به سوی من آری پیامی از بر دوست و گر چنان که در آن حضرتت نباشد بار برای دیده بیاور غباری از در دوست من گدا و تمنای وصل او هیهات مگر به خواب ببینم خیال منظر دوست دل صنوبریم همچو بید لرزان است ز حسرت قد و بالای چون صنوبر دوست اگر چه دوست به چیزی نمی‌خرد ما را به عالمی نفروشیم مویی از سر دوست چه باشد ار شود از بند غم دلش آزاد چو هست حافظ مسکین غلام و چاکر دوست,2,"[[ 0.02844489 -0.00019039  0.00320345 ...  0.001158    0.01048164
   0.01547805]]","[[ 4.2046970e-03 -7.8910096e-05  2.2221958e-02 ...  2.3060067e-02
   2.5125673e-02  1.4661180e-02]]"
12,LASER,6,تفاوت قائل شدن بین انسان‌ها درست است,112,بنفشه دوش به گل گفت و خوش نشانی داد که تاب من به جهان طره فلانی داد دلم خزانه اسرار بود و دست قضا درش ببست و کلیدش به دلستانی داد شکسته وار به درگاهت آمدم که طبیب به مومیایی لطف توام نشانی داد تنش درست و دلش شاد باد و خاطر خوش که دست دادش و یاری ناتوانی داد برو معالجه خود کن ای نصیحتگو شراب و شاهد شیرین که را زیانی داد گذشت بر من مسکین و با رقیبان گفت دریغ حافظ مسکین من چه جانی داد,1,"[[ 0.01777368 -0.00015635  0.00232677 ...  0.01111673  0.01345928
   0.0370598 ]]","[[ 0.02634119 -0.00064355  0.00442472 ... -0.00075891  0.01716159
   0.06626103]]"
13,LASER,6,تفاوت قائل شدن بین انسان‌ها درست است,344,بی تو ای سرو روان با گل و گلشن چه کنم زلف سنبل چه کشم عارض سوسن چه کنم آه کز طعنه بدخواه ندیدم رویت نیست چون آینه‌ام روی ز آهن چه کنم برو ای ناصح و بر دردکشان خرده مگیر کارفرمای قدر می‌کند این من چه کنم برق غیرت چو چنین می‌جهد از مکمن غیب تو بفرما که من سوخته خرمن چه کنم شاه ترکان چو پسندید و به چاهم انداخت دستگیر ار نشود لطف تهمتن چه کنم مددی گر به چراغی نکند آتش طور چاره تیره شب وادی ایمن چه کنم حافظا خلد برین خانه موروث من است اندر این منزل ویرانه نشیمن چه کنم,2,"[[ 0.01777368 -0.00015635  0.00232677 ...  0.01111673  0.01345928
   0.0370598 ]]","[[ 0.014466   -0.00013541  0.00285899 ...  0.01420417  0.0375815
   0.0363574 ]]"
14,LASER,7,ثروت چیز خوبی است,187,مرا به رندی و عشق آن فضول عیب کند که اعتراض بر اسرار علم غیب کند کمال سر محبت ببین نه نقص گناه که هر که بی‌هنر افتد نظر به عیب کند ز عطر حور بهشت آن نفس برآید بوی که خاک میکده ما عبیر جیب کند چنان زند ره اسلام غمزه ساقی که اجتناب ز صهبا مگر صهیب کند کلید گنج سعادت قبول اهل دل است مباد آن که در این نکته شک و ریب کند شبان وادی ایمن گهی رسد به مراد که چند سال به جان خدمت شعیب کند ز دیده خون بچکاند فسانه حافظ چو یاد وقت زمان شباب و شیب کند,1,"[[ 9.4009418e-04 -3.0254703e-06  2.2454860e-03 ...  6.3155463e-04
  -2.2433507e-03  3.3947382e-02]]","[[ 0.01150222 -0.00011118  0.00118988 ...  0.00048239  0.00857312
   0.02994437]]"
15,LASER,7,ثروت چیز خوبی است,270,دارم از زلف سیاهش گله چندان که مپرس که چنان ز او شده‌ام بی سر و سامان که مپرس کس به امید وفا ترک دل و دین مکناد که چنانم من از این کرده پشیمان که مپرس به یکی جرعه که آزار کسش در پی نیست زحمتی می‌کشم از مردم نادان که مپرس زاهد از ما به سلامت بگذر کاین می لعل دل و دین می‌برد از دست بدان سان که مپرس گفت‌وگوهاست در این راه که جان بگدازد هر کسی عربده‌ای این که مبین آن که مپرس پارسایی و سلامت هوسم بود ولی شیوه‌ای می‌کند آن نرگس فتان که مپرس گفتم از گوی فلک صورت حالی پرسم گفت آن می‌کشم اندر خم چوگان که مپرس گفتمش زلف به خون که شکستی گفتا حافظ این قصه دراز است به قرآن که مپرس,2,"[[ 9.4009418e-04 -3.0254703e-06  2.2454860e-03 ...  6.3155463e-04
  -2.2433507e-03  3.3947382e-02]]","[[ 0.03008878  0.00801086 -0.00043405 ...  0.00221101  0.01294218
   0.02067403]]"
16,LASER,8,باید قبل از سخن گفتن فکر کرد.,463,بگرفت کار حسنت چون عشق من کمالی خوش باش زان که نبود این هر دو را زوالی در وهم می‌نگنجد کاندر تصور عقل آید به هیچ معنی زین خوبتر مثالی شد حظ عمر حاصل گر زان که با تو ما را هرگز به عمر روزی روزی شود وصالی آن دم که با تو باشم یک سال هست روزی وان دم که بی تو باشم یک لحظه هست سالی چون من خیال رویت جانا به خواب بینم کز خواب می‌نبیند چشمم بجز خیالی رحم آر بر دل من کز مهر روی خوبت شد شخص ناتوانم باریک چون هلالی حافظ مکن شکایت گر وصل دوست خواهی زین بیشتر بباید بر هجرت احتمالی,1,"[[ 0.00333616 -0.00017176  0.00010727 ...  0.00500402  0.01580296
   0.02761766]]",[[0.00659627 0.00287816 0.00015213 ... 0.00934532 0.00506204 0.0124564 ]]
17,LASER,8,باید قبل از سخن گفتن فکر کرد.,35,تا سر زلف تو در دست نسیم افتادست دل سودازده از غصه دو نیم افتادست چشم جادوی تو خود عین سواد سحر است لیکن این هست که این نسخه سقیم افتادست در خم زلف تو آن خال سیه دانی چیست نقطه دوده که در حلقه جیم افتادست زلف مشکین تو در گلشن فردوس عذار چیست طاووس که در باغ نعیم افتادست دل من در هوس روی تو ای مونس جان خاک راهیست که در دست نسیم افتادست همچو گرد این تن خاکی نتواند برخاست از سر کوی تو زان رو که عظیم افتادست سایه قد تو بر قالبم ای عیسی دم عکس روحیست که بر عظم رمیم افتادست آن که جز کعبه مقامش نبد از یاد لبت بر در میکده دیدم که مقیم افتادست حافظ گمشده را با غمت ای یار عزیز اتحادیست که در عهد قدیم افتادست,2,"[[ 0.00333616 -0.00017176  0.00010727 ...  0.00500402  0.01580296
   0.02761766]]","[[ 3.3736702e-03 -9.5023635e-05  9.6978014e-04 ...  8.3662560e-03
   1.8174436e-02  2.6468337e-02]]"
18,LASER,9,باید قدردان دارایی‌های خودمان باشیم,60,صبا اگر گذری افتدت به کشور دوست بیار نفحه‌ای از گیسوی معنبر دوست به جان او که به شکرانه جان برافشانم اگر به سوی من آری پیامی از بر دوست و گر چنان که در آن حضرتت نباشد بار برای دیده بیاور غباری از در دوست من گدا و تمنای وصل او هیهات مگر به خواب ببینم خیال منظر دوست دل صنوبریم همچو بید لرزان است ز حسرت قد و بالای چون صنوبر دوست اگر چه دوست به چیزی نمی‌خرد ما را به عالمی نفروشیم مویی از سر دوست چه باشد ار شود از بند غم دلش آزاد چو هست حافظ مسکین غلام و چاکر دوست,1,"[[ 0.0065572  -0.00011245  0.00351247 ... -0.00013807  0.00767694
   0.03940542]]","[[ 4.2046970e-03 -7.8910096e-05  2.2221958e-02 ...  2.3060067e-02
   2.5125673e-02  1.4661180e-02]]"
19,LASER,9,باید قدردان دارایی‌های خودمان باشیم,365,ما بدین در نه پی حشمت و جاه آمده‌ایم از بد حادثه این جا به پناه آمده‌ایم ره رو منزل عشقیم و ز سرحد عدم تا به اقلیم وجود این همه راه آمده‌ایم سبزه خط تو دیدیم و ز بستان بهشت به طلبکاری این مهرگیاه آمده‌ایم با چنین گنج که شد خازن او روح امین به گدایی به در خانه شاه آمده‌ایم لنگر حلم تو ای کشتی توفیق کجاست که در این بحر کرم غرق گناه آمده‌ایم آبرو می‌رود ای ابر خطاپوش ببار که به دیوان عمل نامه سیاه آمده‌ایم حافظ این خرقه پشمینه مینداز که ما از پی قافله با آتش آه آمده‌ایم,2,"[[ 0.0065572  -0.00011245  0.00351247 ... -0.00013807  0.00767694
   0.03940542]]","[[ 0.01704589 -0.00047405  0.05534808 ...  0.0062188   0.02597998
   0.0517182 ]]"
20,LASER,10,نباید عیبی که خودمان داریم را به دیگران نسبت دهیم,157,من و انکار شراب این چه حکایت باشد غالبا این قدرم عقل و کفایت باشد تا به غایت ره میخانه نمی‌دانستم ور نه مستوری ما تا به چه غایت باشد زاهد و عجب و نماز و من و مستی و نیاز تا تو را خود ز میان با که عنایت باشد زاهد ار راه به رندی نبرد معذور است عشق کاریست که موقوف هدایت باشد من که شب‌ها ره تقوا زده‌ام با دف و چنگ این زمان سر به ره آرم چه حکایت باشد بنده پیر مغانم که ز جهلم برهاند پیر ما هر چه کند عین عنایت باشد دوش از این غصه نخفتم که رفیقی می‌گفت حافظ ار مست بود جای شکایت باشد,1,"[[ 2.6845476e-02 -6.2143139e-05  2.0229012e-02 ...  4.0284228e-03
   1.1998653e-02  2.9774996e-02]]","[[ 0.00385895 -0.00019379  0.01608104 ...  0.00134348  0.00752306
   0.03418935]]"
21,LASER,10,نباید عیبی که خودمان داریم را به دیگران نسبت دهیم,176,نه هر که چهره برافروخت دلبری داند نه هر که آینه سازد سکندری داند نه هر که طرف کله کج نهاد و تند نشست کلاه داری و آیین سروری داند تو بندگی چو گدایان به شرط مزد مکن که دوست خود روش بنده پروری داند غلام همت آن رند عافیت سوزم که در گداصفتی کیمیاگری داند وفا و عهد نکو باشد ار بیاموزی وگرنه هر که تو بینی ستمگری داند بباختم دل دیوانه و ندانستم که آدمی بچه‌ای شیوه پری داند هزار نکته باریکتر ز مو این جاست نه هر که سر بتراشد قلندری داند مدار نقطه بینش ز خال توست مرا که قدر گوهر یک دانه جوهری داند به قد و چهره هر آن کس که شاه خوبان شد جهان بگیرد اگر دادگستری داند ز شعر دلکش حافظ کسی بود آگاه که لطف طبع و سخن گفتن دری داند,2,"[[ 2.6845476e-02 -6.2143139e-05  2.0229012e-02 ...  4.0284228e-03
   1.1998653e-02  2.9774996e-02]]","[[ 8.6245891e-03 -7.1793120e-06  2.0533511e-02 ...  6.3338196e-03
   1.0999708e-02  7.3362114e-03]]"
22,LASER,11,باید به یتیمان کمک کرد,470,ز دلبرم که رساند نوازش قلمی کجاست پیک صبا گر همی‌کند کرمی قیاس کردم و تدبیر عقل در ره عشق چو شبنمی است که بر بحر می‌کشد رقمی بیا که خرقه من گر چه رهن میکده‌هاست ز مال وقف نبینی به نام من درمی حدیث چون و چرا درد سر دهد ای دل پیاله گیر و بیاسا ز عمر خویش دمی طبیب راه نشین درد عشق نشناسد برو به دست کن ای مرده دل مسیح دمی دلم گرفت ز سالوس و طبل زیر گلیم به آن که بر در میخانه برکشم علمی بیا که وقت شناسان دو کون بفروشند به یک پیاله می صاف و صحبت صنمی دوام عیش و تنعم نه شیوه عشق است اگر معاشر مایی بنوش نیش غمی نمی‌کنم گله‌ای لیک ابر رحمت دوست به کشته زار جگرتشنگان نداد نمی چرا به یک نی قندش نمی‌خرند آن کس که کرد صد شکرافشانی از نی قلمی سزای قدر تو شاها به دست حافظ نیست جز از دعای شبی و نیاز صبحدمی,1,"[[ 0.00144632 -0.00024046  0.0001544  ...  0.01692098  0.00749815
   0.00749775]]","[[ 6.8478137e-03 -6.2777784e-05  3.3786111e-03 ...  1.4898885e-02
   1.5260096e-02  2.6188461e-02]]"
23,LASER,11,باید به یتیمان کمک کرد,306,هر نکته‌ای که گفتم در وصف آن شمایل هر کو شنید گفتا لله در قال تحصیل عشق و رندی آسان نمود اول آخر بسوخت جانم در کسب این فضایل حلاج بر سر دار این نکته خوش سراید از شافعی نپرسند امثال این مسال گفتم که کی ببخشی بر جان ناتوانم گفت آن زمان که نبود جان در میانه حال دل داده‌ام به یاری شوخی کشی نگاری مرضیه السجایا محموده الخصال در عین گوشه گیری بودم چو چشم مستت و اکنون شدم به مستان چون ابروی تو مایل از آب دیده صد ره طوفان نوح دیدم و از لوح سینه نقشت هرگز نگشت زایل ای دوست دست حافظ تعویذ چشم زخم است یا رب ببینم آن را در گردنت حمایل,2,"[[ 0.00144632 -0.00024046  0.0001544  ...  0.01692098  0.00749815
   0.00749775]]",[[0.00758028 0.00103046 0.00200016 ... 0.02209133 0.00265148 0.01875911]]
24,LASER,12,انسان واقعی در برابر ظلم سکوت نمی‌کند,176,نه هر که چهره برافروخت دلبری داند نه هر که آینه سازد سکندری داند نه هر که طرف کله کج نهاد و تند نشست کلاه داری و آیین سروری داند تو بندگی چو گدایان به شرط مزد مکن که دوست خود روش بنده پروری داند غلام همت آن رند عافیت سوزم که در گداصفتی کیمیاگری داند وفا و عهد نکو باشد ار بیاموزی وگرنه هر که تو بینی ستمگری داند بباختم دل دیوانه و ندانستم که آدمی بچه‌ای شیوه پری داند هزار نکته باریکتر ز مو این جاست نه هر که سر بتراشد قلندری داند مدار نقطه بینش ز خال توست مرا که قدر گوهر یک دانه جوهری داند به قد و چهره هر آن کس که شاه خوبان شد جهان بگیرد اگر دادگستری داند ز شعر دلکش حافظ کسی بود آگاه که لطف طبع و سخن گفتن دری داند,1,"[[ 0.00075342 -0.00049264  0.02172058 ...  0.02353255  0.02051172
   0.02111534]]","[[ 8.6245891e-03 -7.1793120e-06  2.0533511e-02 ...  6.3338196e-03
   1.0999708e-02  7.3362114e-03]]"
25,LASER,12,انسان واقعی در برابر ظلم سکوت نمی‌کند,43,کنون که بر کف گل جام باده صاف است به صد هزار زبان بلبلش در اوصاف است بخواه دفتر اشعار و راه صحرا گیر چه وقت مدرسه و بحث کشف کشاف است فقیه مدرسه دی مست بود و فتوی داد که می حرام ولی به ز مال اوقاف است به درد و صاف تو را حکم نیست خوش درکش که هر چه ساقی ما کرد عین الطاف است ببر ز خلق و چو عنقا قیاس کار بگیر که صیت گوشه نشینان ز قاف تا قاف است حدیث مدعیان و خیال همکاران همان حکایت زردوز و بوریاباف است خموش حافظ و این نکته‌های چون زر سرخ نگاه دار که قلاب شهر صراف است,2,"[[ 0.00075342 -0.00049264  0.02172058 ...  0.02353255  0.02051172
   0.02111534]]","[[ 0.00890401 -0.00015182  0.02609196 ...  0.01162193  0.02658374
   0.01360859]]"
26,LASER,13,باید بخشنده باشیم,302,شممت روح وداد و شمت برق وصال بیا که بوی تو را میرم ای نسیم شمال احادیا بجمال الحبیب قف و انزل که نیست صبر جمیلم ز اشتیاق جمال حکایت شب هجران فروگذاشته به به شکر آن که برافکند پرده روز وصال بیا که پرده گلریز هفت خانه چشم کشیده‌ایم به تحریر کارگاه خیال چو یار بر سر صلح است و عذر می‌طلبد توان گذشت ز جور رقیب در همه حال بجز خیال دهان تو نیست در دل تنگ که کس مباد چو من در پی خیال محال قتیل عشق تو شد حافظ غریب ولی به خاک ما گذری کن که خون مات حلال,1,"[[5.8977824e-04 1.5893203e-05 1.6293608e-02 ... 7.7687590e-03
  3.7934285e-02 8.1563182e-03]]","[[ 0.00701601 -0.00022037 -0.00111713 ...  0.01768356  0.01601202
   0.01248993]]"
27,LASER,13,باید بخشنده باشیم,442,چو سرو اگر بخرامی دمی به گلزاری خورد ز غیرت روی تو هر گلی خاری ز کفر زلف تو هر حلقه‌ای و آشوبی ز سحر چشم تو هر گوشه‌ای و بیماری مرو چو بخت من ای چشم مست یار به خواب که در پی است ز هر سویت آه بیداری نثار خاک رهت نقد جان من هر چند که نیست نقد روان را بر تو مقداری دلا همیشه مزن لاف زلف دلبندان چو تیره رای شوی کی گشایدت کاری سرم برفت و زمانی به سر نرفت این کار دلم گرفت و نبودت غم گرفتاری چو نقطه گفتمش اندر میان دایره آی به خنده گفت که ای حافظ این چه پرگاری,2,"[[5.8977824e-04 1.5893203e-05 1.6293608e-02 ... 7.7687590e-03
  3.7934285e-02 8.1563182e-03]]","[[-2.2815149e-04 -2.1907485e-04 -6.0653671e-05 ...  4.9074464e-03
   2.6253412e-02 -3.5730677e-03]]"
28,LASER,14,باید حق‌جو وعدالت‌پیشه باشیم,365,ما بدین در نه پی حشمت و جاه آمده‌ایم از بد حادثه این جا به پناه آمده‌ایم ره رو منزل عشقیم و ز سرحد عدم تا به اقلیم وجود این همه راه آمده‌ایم سبزه خط تو دیدیم و ز بستان بهشت به طلبکاری این مهرگیاه آمده‌ایم با چنین گنج که شد خازن او روح امین به گدایی به در خانه شاه آمده‌ایم لنگر حلم تو ای کشتی توفیق کجاست که در این بحر کرم غرق گناه آمده‌ایم آبرو می‌رود ای ابر خطاپوش ببار که به دیوان عمل نامه سیاه آمده‌ایم حافظ این خرقه پشمینه مینداز که ما از پی قافله با آتش آه آمده‌ایم,1,"[[4.0458050e-03 1.9489114e-05 9.0207171e-04 ... 2.8033799e-03
  6.3439971e-03 1.8883845e-02]]","[[ 0.01704589 -0.00047405  0.05534808 ...  0.0062188   0.02597998
   0.0517182 ]]"
