,index,input_id,output_id,input_text,output_text,chapter,tag
30,136,43,368,ما باید راست بگوییم حتی اگر به ضرر ما باشد و نباید دروغ بگوییم حتی اگر به ما سود برساند,ما ز یاران چشم یاری داشتیم خود غلط بود آن چه ما پنداشتیم تا درخت دوستی برگی دهد حالیا رفتیم و تخمی کاشتیم گفت و گو آیین درویشی نبود ور نه با تو ماجراها داشتیم شیوه چشمت فریب جنگ داشت ما غلط کردیم و صلح انگاشتیم گلبن حسنت نه خود شد دلفروز ما دم همت بر او بگماشتیم نکته‌ها رفت و شکایت کس نکرد جانب حرمت فرونگذاشتیم گفت خود دادی به ما دل حافظا ما محصل بر کسی نگماشتیم,غزل    ۳۶۹,0
31,91,20,440,باید مهربان بود,چه بودی ار دل آن ماه مهربان بودی که حال ما نه چنین بودی ار چنان بودی بگفتمی که چه ارزد نسیم طره دوست گرم به هر سر مویی هزار جان بودی برات خوشدلی ما چه کم شدی یا رب گرش نشان امان از بد زمان بودی گرم زمانه سرافراز داشتی و عزیز سریر عزتم آن خاک آستان بودی ز پرده کاش برون آمدی چو قطره اشک که بر دو دیده ما حکم او روان بودی اگر نه دایره عشق راه بربستی چو نقطه حافظ سرگشته در میان بودی,غزل    ۴۴۱,0
32,7,7,5390,ثروت چیز خوبی است,و قال ع من ملک استاثر,160,0
33,609,10,5631,نباید عیبی که خودمان داریم را به دیگران نسبت دهیم,و قال ع افضل الاعمال ما اکرهت نفسک علیه,428,-1
34,930,43,34,ما باید راست بگوییم حتی اگر به ضرر ما باشد و نباید دروغ بگوییم حتی اگر به ما سود برساند,برو به کار خود ای واعظ این چه فریادست مرا فتاد دل از ره تو را چه افتادست میان او که خدا آفریده است از هیچ دقیقه‌ایست که هیچ آفریده نگشادست به کام تا نرساند مرا لبش چون نای نصیحت همه عالم به گوش من بادست گدای کوی تو از هشت خلد مستغنیست اسیر عشق تو از هر دو عالم آزادست اگر چه مستی عشقم خراب کرد ولی اساس هستی من زان خراب آبادست دلا منال ز بیداد و جور یار که یار تو را نصیب همین کرد و این از آن دادست برو فسانه مخوان و فسون مدم حافظ کز این فسانه و افسون مرا بسی یادست,غزل    ۳۵,0
35,491,47,3181,هرکاری را می‌توان انجام داد به جز تغییر عادت‌ها,حاصل زندگی جز این نبود که بمیرد کسی برای کسی,,0
36,60,5,368,باید تجارب خود را به افراد دیگر منتقل کنیم,ما ز یاران چشم یاری داشتیم خود غلط بود آن چه ما پنداشتیم تا درخت دوستی برگی دهد حالیا رفتیم و تخمی کاشتیم گفت و گو آیین درویشی نبود ور نه با تو ماجراها داشتیم شیوه چشمت فریب جنگ داشت ما غلط کردیم و صلح انگاشتیم گلبن حسنت نه خود شد دلفروز ما دم همت بر او بگماشتیم نکته‌ها رفت و شکایت کس نکرد جانب حرمت فرونگذاشتیم گفت خود دادی به ما دل حافظا ما محصل بر کسی نگماشتیم,غزل    ۳۶۹,-1
37,554,5,2940,باید تجارب خود را به افراد دیگر منتقل کنیم,هر که نامخت از گذشت روزگار نیز ناموزد ز هیچ آموزگار,,0
38,744,24,3015,باید در برابر مشکلات استقامت داشته باشیم,امید وصل به اندوه انتظار نیرزد نشاط باده به دردسر خمار نیرزد,,-2
39,952,45,747,باید به پدر و مادر احترام گذاشت,ایا ساقی توی قاضی حاجات شرابی ده که آرد در مراعات چنان گشتم ز مستی و خرابی که نشناسم اشارات از عبارات پدر بر خم خمرم وقف کردست سبیلم کرد مادر بر خرابات دو گوشم بست یزدان تا رهیدم ز حال دی و فردا و خرافات دگرگون است کوی اهل تمییز که آن جا رسم طاعاتست و زلات در این کو کدخدا شاهی است باقی فرو روبیده این کو را ز آفات,360,0
40,745,24,3089,باید در برابر مشکلات استقامت داشته باشیم,امیر قافله را هم تغافلی باید که نا‌امید نگردندقاطعان طریق,,0
41,242,46,1609,نباید عیب دیگران را بر ملا کنیم,اگر عشقت به جای جان ندارم به زلف کافرت ایمان ندارم چو گفتی ننگ می داری ز عشقم غم عشق تو را پنهان ندارم تو می گفتی مکن در من نگاهی که من خون ها کنم تاوان ندارم من سرگشته چون فرمان نبردم از آن بر نیک و بد فرمان ندارم چو هر کس لطف می یابند از تو من بیچاره آخر جان ندارم,1510,0
42,182,16,1609,نباید از دیگران درخواست های متعدد داشت,اگر عشقت به جای جان ندارم به زلف کافرت ایمان ندارم چو گفتی ننگ می داری ز عشقم غم عشق تو را پنهان ندارم تو می گفتی مکن در من نگاهی که من خون ها کنم تاوان ندارم من سرگشته چون فرمان نبردم از آن بر نیک و بد فرمان ندارم چو هر کس لطف می یابند از تو من بیچاره آخر جان ندارم,1510,1
43,109,29,322,باید به زیر دستان احترام گذاشت,ز دست کوته خود زیر بارم که از بالابلندان شرمسارم مگر زنجیر مویی گیردم دست وگر نه سر به شیدایی برآرم ز چشم من بپرس اوضاع گردون که شب تا روز اختر می‌شمارم بدین شکرانه می‌بوسم لب جام که کرد آگه ز راز روزگارم اگر گفتم دعای می فروشان چه باشد حق نعمت می‌گزارم من از بازوی خود دارم بسی شکر که زور مردم آزاری ندارم سری دارم چو حافظ مست لیکن به لطف آن سری امیدوارم,غزل    ۳۲۳,1
44,126,38,243,در انتخاب دوست باید دقت کنیم,معاشران گره از زلف یار باز کنید شبی خوش است بدین قصه‌اش دراز کنید حضور خلوت انس است و دوستان جمعند و ان یکاد بخوانید و در فراز کنید رباب و چنگ به بانگ بلند می‌گویند که گوش هوش به پیغام اهل راز کنید به جان دوست که غم پرده بر شما ندرد گر اعتماد بر الطاف کارساز کنید میان عاشق و معشوق فرق بسیار است چو یار ناز نماید شما نیاز کنید نخست موعظه پیر صحبت این حرف است که از مصاحب ناجنس احتراز کنید هر آن کسی که در این حلقه نیست زنده به عشق بر او نمرده به فتوای من نماز کنید وگر طلب کند انعامی از شما حافظ حوالتش به لب یار دلنواز کنید,غزل    ۲۴۴,0
45,243,46,1772,نباید عیب دیگران را بر ملا کنیم,ما در جهان موافقت کس نمی کنیم ما خانه زیر گنبد اطلس نمی کنیم مخمور و مست و تشنه و بسیارخواره ایم بس کرده اند جمله و ما بس نمی کنیم این موج رحمت است و عدو چون کف و خس است ما ترک موج دل پی هر خس نمی کنیم ما قصر و چارطاق بر این عرصه فنا چون عاد و چون ثمود مقرنس نمی کنیم جز صدر قصر عشق در آن ساحت خلود چون نوح و چون خلیل موسس نمی کنیم ما را مطار زان سوی قاف است در شکار ما قصد صید مرده چو کرکس نمی کنیم دیو سیاه غرچه فریب پلید را بر جای حور پاک معرس نمی کنیم ما آن نهاله را که بر و میوه اش جفاست در تیره خاک حرص مغرس نمی کنیم از لذتی که هست نظر را ز قدس او ما خود نظر به جان مقدس نمی کنیم خاموش نظم و قافیه را ما از این سپس از رشک غیر جنس مجنس نمی کنیم,1712,0
46,358,2,2893,ما باید از غیبت کردن پرهیز کنیم,بیا تا قدر یکدیگر بدانیم که تا ناگه ز یکدیگر نمانیم,,0
47,201,25,1719,بخشی از زمان هر روز را باید به تفریح و بخش دیگری را به کار اختصاص داد,روز شادی است بیا تا همگان یار شویم دست با هم بدهیم و بر دلدار شویم چون در او دنگ شویم و همه یک رنگ شویم همچنین رقص کنان جانب بازار شویم روز آن است که خوبان همه در رقص آیند ما ببندیم دکان ها همه بی کار شویم روز آن است که تشریف بپوشد جان ها ما به مهمان خدا بر سر اسرار شویم روز آن است که در باغ بتان خیمه زنند ما به نظاره ایشان سوی گلزار شویم,1647,-2
48,389,13,3049,باید بخشنده باشیم,آدمی باید که بی‌حالی نباشد هیچگاه گر لب خندان نباشد چشم گریان هم خوش است,,0
49,843,34,2004,باید به قلب و احساسات توجه کرد,ای دم به دم مصور جان از درون تن نزدیکتر ز فکرت این نکته ها به من ز آینده و گذشته چرا یاد می کنم که لذت زمانی و هم قبله زمن جان حقایقی و خیالات دلربا و آن نقش های مه که نگنجد در این دهن,2049,0
50,618,11,4229,باید به یتیمان کمک کرد,Atticus told me to delete the adjectives and I'd have the facts,,0
51,836,33,3089,نباید در خوردن زیاده‌روی کرد,امیر قافله را هم تغافلی باید که نا‌امید نگردندقاطعان طریق,,0
52,129,39,368,باید وفای به عهد داشته باشیم,ما ز یاران چشم یاری داشتیم خود غلط بود آن چه ما پنداشتیم تا درخت دوستی برگی دهد حالیا رفتیم و تخمی کاشتیم گفت و گو آیین درویشی نبود ور نه با تو ماجراها داشتیم شیوه چشمت فریب جنگ داشت ما غلط کردیم و صلح انگاشتیم گلبن حسنت نه خود شد دلفروز ما دم همت بر او بگماشتیم نکته‌ها رفت و شکایت کس نکرد جانب حرمت فرونگذاشتیم گفت خود دادی به ما دل حافظا ما محصل بر کسی نگماشتیم,غزل    ۳۶۹,-1
53,119,34,222,باید به قلب و احساسات توجه کرد,هرگزم نقش تو از لوح دل و جان نرود هرگز از یاد من آن سرو خرامان نرود از دماغ من سرگشته خیال دهنت به جفای فلک و غصه دوران نرود در ازل بست دلم با سر زلفت پیوند تا ابد سر نکشد و از سر پیمان نرود هر چه جز بار غمت بر دل مسکین من است برود از دل من و از دل من آن نرود آن چنان مهر توام در دل و جان جای گرفت که اگر سر برود از دل و از جان نرود گر رود از پی خوبان دل من معذور است درد دارد چه کند کز پی درمان نرود هر که خواهد که چو حافظ نشود سرگردان دل به خوبان ندهد و از پی ایشان نرود,غزل    ۲۲۳,1
54,703,20,1412,باید مهربان بود,آن مطرب ما خوشست و چنگش دیوانه شود دل از ترنگش چون چنگ زند یکی تو بنگر کز لطف چگونه گشت رنگش گر تنگ آیی ز زندگانی برجه به کنار گیر تنگش,1240,0
55,894,39,3082,باید وفای به عهد داشته باشیم,از طلا گشتن پشیمان گشته ایم مرحمت فرموده ما را مس کنید,,0
56,438,29,3126,باید به زیر دستان احترام گذاشت,به همه حال شکر باید کرد که مبادا ز بد بتر گردد,,0
57,219,34,995,باید به قلب و احساسات توجه کرد,دل با دل دوست در حنین باشد گویای خموش همچنین باشد گویم سخن و زبان نجنبانم چون گوش حسود در کمین باشد دانم که زبان و گوش غمازند با دل گویم که دل امین باشد صد شعله ی آتش است در دیده از نکته دل که آتشین باشد خود طرفه تر این که در دل آتش چندین گل و سرو و یاسمین باشد زان آتش باغ سبزتر گردد تا آتش و آب همنشین باشد ای روح مقیم مرغزاری تو کان جا دل و عقل دانه چین باشد آن سوی که کفر و دین نمی گنجد کی ما و من فلان دین باشد,685,0
58,209,29,937,باید به زیر دستان احترام گذاشت,چشم از پی آن باید تا چیز عجب بیند جان از پی آن باید تا عیش و طرب بیند سر از پی آن باید تا مست بتی باشد پا از پی آن باید کز یار تعب بیند عشق از پی آن باید تا سوی فلک پرد عقل از پی آن باید تا علم و ادب بیند بیرون سبب باشد اسرار و عجایب ها محجوب بود چشمی کو جمله سبب بیند عاشق که به صد تهمت بدنام شود این سو چون نوبت وصل آید صد نام و لقب بیند ارزد که برای حج در ریگ و بیابان ها با شیر شتر سازد یغمای عرب بیند بر سنگ سیه حاجی زان بوسه زند از دل کز لعل لب یاری او لذت لب بیند بر نقد سخن جانا هین سکه مزن دیگر کان کس که طلب دارد او کان ذهب بیند,617,0
59,761,26,228,انسان نباید فخر فروشی داشته باشد.,بخت از دهان دوست نشانم نمی‌دهد دولت خبر ز راز نهانم نمی‌دهد از بهر بوسه‌ای ز لبش جان همی‌دهم اینم همی‌ستاند و آنم نمی‌دهد مردم در این فراق و در آن پرده راه نیست یا هست و پرده دار نشانم نمی‌دهد زلفش کشید باد صبا چرخ سفله بین کان جا مجال بادوزانم نمی‌دهد چندان که بر کنار چو پرگار می‌شدم دوران چو نقطه ره به میانم نمی‌دهد شکر به صبر دست دهد عاقبت ولی بدعهدی زمانه زمانم نمی‌دهد گفتم روم به خواب و ببینم جمال دوست حافظ ز آه و ناله امانم نمی‌دهد,غزل    ۲۲۹,0
60,25,25,5631,بخشی از زمان هر روز را باید به تفریح و بخش دیگری را به کار اختصاص داد,و قال ع فی بعض الاعیاد انما هو عید لمن قبل الله صیامه و شکر قیامه و کل یوم لا یعصی الله فیه فهو عید,428,0
61,938,43,4297,ما باید راست بگوییم حتی اگر به ضرر ما باشد و نباید دروغ بگوییم حتی اگر به ما سود برساند,"Love is an untamed force. When we try to control it, it destroys us. When we try to imprison it, it enslaves us. When we try to understand it, it leaves us feeling lost and confused",,0
62,835,33,3029,نباید در خوردن زیاده‌روی کرد,کبوتری که دگر آشیان نخواهد دید قضا همی بردش تا به سوی دانه و دام,,1
63,788,28,5162,باید شکرگزار باشیم,I just want to be wonderful,,0
64,148,49,95,لزوما رسیدن به چیزی که آرزو داریم به نفع ما نیست,درد ما را نیست درمان الغیاث هجر ما را نیست پایان الغیاث دین و دل بردند و قصد جان کنند الغیاث از جور خوبان الغیاث در بهای بوسه‌ای جانی طلب می‌کنند این دلستانان الغیاث خون ما خوردند این کافردلان ای مسلمانان چه درمان الغیاث همچو حافظ روز و شب بی خویشتن گشته‌ام سوزان و گریان الغیاث,غزل    ۹۶,0
65,882,38,1412,در انتخاب دوست باید دقت کنیم,آن مطرب ما خوشست و چنگش دیوانه شود دل از ترنگش چون چنگ زند یکی تو بنگر کز لطف چگونه گشت رنگش گر تنگ آیی ز زندگانی برجه به کنار گیر تنگش,1240,0
66,624,12,3093,انسان واقعی در برابر ظلم سکوت نمی‌کند,ای دل غمین مشو که جهانت به کام نیست کآسایش زمانه به کس کستدام نیست,,0
67,317,33,3406,نباید در خوردن زیاده‌روی کرد,You can never be overdressed or overeducated,,0
68,865,36,3172,باید اهل یاری کردن یکدیگر بود,چون پرده براندازد عالم به سرانداز جایی که یقین آمد پندار نمی‌گنجد,,0
69,3,3,5310,باید خاک وطن را دوست داشت,و قال ع فقد الاحبه غربه,65,0
70,16,16,5592,نباید از دیگران درخواست های متعدد داشت,و قال ع من طلب شیئا ناله او بعضه,386,0
71,147,48,377,باید از منافق دوری کنیم,ما نگوییم بد و میل به ناحق نکنیم جامه کس سیه و دلق خود ازرق نکنیم عیب درویش و توانگر به کم و بیش بد است کار بد مصلحت آن است که مطلق نکنیم رقم مغلطه بر دفتر دانش نزنیم سر حق بر ورق شعبده ملحق نکنیم شاه اگر جرعه رندان نه به حرمت نوشد التفاتش به می صاف مروق نکنیم خوش برانیم جهان در نظر راهروان فکر اسب سیه و زین مغرق نکنیم آسمان کشتی ارباب هنر می‌شکند تکیه آن به که بر این بحر معلق نکنیم گر بدی گفت حسودی و رفیقی رنجید گو تو خوش باش که ما گوش به احمق نکنیم حافظ ار خصم خطا گفت نگیریم بر او ور به حق گفت جدل با سخن حق نکنیم,غزل    ۳۷۸,0
