,index,input_id,output_id,input_text,output_text,chapter,tag
377,160,5,1633,باید تجارب خود را به افراد دیگر منتقل کنیم,بیا تا قدر یک دیگر بدانیم که تا ناگه ز یک دیگر نمانیم چو مومن آینه مومن یقین شد چرا با آینه ما روگرانیم کریمان جان فدای دوست کردند سگی بگذار ما هم مردمانیم فسون قل اعوذ و قل هو الله چرا در عشق همدیگر نخوانیم غرض ها تیره دارد دوستی را غرض ها را چرا از دل نرانیم گهی خوشدل شوی از من که میرم چرا مرده پرست و خصم جانیم چو بعد از مرگ خواهی آشتی کرد همه عمر از غمت در امتحانیم کنون پندار مردم آشتی کن که در تسلیم ما چون مردگانیم چو بر گورم بخواهی بوسه دادن رخم را بوسه ده کاکنون همانیم خمش کن مرده وار ای دل ازیرا به هستی متهم ما زین زبانیم,1535,0
378,834,33,2909,نباید در خوردن زیاده‌روی کرد,کاکل از بالا نشینی رتبه ای پیدا نکرد زلف از افتادگی حالی همنشین ماه شد,,0
379,945,44,2975,باید خسیس باشیم,تواضع ز گردن فرازان نکوست گدا گر تواضع کند خوی اوست,,0
380,177,13,1648,باید بخشنده باشیم,از اصل چو حورزاد باشیم شاید که همیشه شاد باشیم ما داد طرب دهیم تا ما در عشق امیرداد باشیم چون عشق بنا نهاد ما را دانی که نکونهاد باشیم در عشق توام گشاد دیده چون عشق تو باگشاد باشیم ما را چو مراد بی مرادی است پس ما همه بر مراد باشیم چون بنده بندگان عشقیم کیخسرو و کیقباد باشیم چون یوسف آن عزیز مصریم هر چند که در مزاد باشیم بر چهره یوسفی حجابی است اندر پس پرده راد باشیم خود باد حجاب را رباید ما منتظران باد باشیم ما دل به صلاح دین سپردیم تا در دل او به یاد باشیم,1551,0
381,564,6,3054,تفاوت قائل شدن بین انسان‌ها درست است,کوه نا‌هموار را هموار کردن سخت نیست حرف نا‌هموار را هموار کردن مشکل است,,0
382,845,34,2991,باید به قلب و احساسات توجه کرد,در چنین راهی که مردان توشه از دل کرده‌اند ساده لوحی بین که فکر آب و نان داریم ما,,0
383,467,39,3119,باید وفای به عهد داشته باشیم,بلا ندیده دعا را شروع باید کرد علاج واقعه پیش از وقوع باید کرد,,0
384,239,44,1648,باید خسیس باشیم,از اصل چو حورزاد باشیم شاید که همیشه شاد باشیم ما داد طرب دهیم تا ما در عشق امیرداد باشیم چون عشق بنا نهاد ما را دانی که نکونهاد باشیم در عشق توام گشاد دیده چون عشق تو باگشاد باشیم ما را چو مراد بی مرادی است پس ما همه بر مراد باشیم چون بنده بندگان عشقیم کیخسرو و کیقباد باشیم چون یوسف آن عزیز مصریم هر چند که در مزاد باشیم بر چهره یوسفی حجابی است اندر پس پرده راد باشیم خود باد حجاب را رباید ما منتظران باد باشیم ما دل به صلاح دین سپردیم تا در دل او به یاد باشیم,1551,0
385,813,31,2065,باید خطاهای دیگران را ببخشیم,نحن الی سیدنا راجعون طیبه النفس به طایعون سیدنا یصبح یبتا عنا انفسنا نحن له بایعون یفسد ان جاع الی موکل نحن الی نظرته جایعون سوف تلاقیه به میعاده تحسب انا ابدا ضایعون,2129,0
386,841,34,398,باید به قلب و احساسات توجه کرد,کرشمه‌ای کن و بازار ساحری بشکن به غمزه رونق و ناموس سامری بشکن به باد ده سر و دستار عالمی یعنی کلاه گوشه به آیین سروری بشکن به زلف گوی که آیین دلبری بگذار به غمزه گوی که قلب ستمگری بشکن برون خرام و ببر گوی خوبی از همه کس سزای حور بده رونق پری بشکن به آهوان نظر شیر آفتاب بگیر به ابروان دوتا قوس مشتری بشکن چو عطرسای شود زلف سنبل از دم باد تو قیمتش به سر زلف عنبری بشکن چو عندلیب فصاحت فروشد ای حافظ تو قدر او به سخن گفتن دری بشکن,غزل    ۳۹۹,0
387,568,6,4312,تفاوت قائل شدن بین انسان‌ها درست است,You can't measure the mutual affection of two human beings by the number of words they exchange,,0
388,268,9,3229,باید قدردان دارایی‌های خودمان باشیم,We accept the love we think we deserve,,0
389,394,14,3049,باید حق‌جو وعدالت‌پیشه باشیم,آدمی باید که بی‌حالی نباشد هیچگاه گر لب خندان نباشد چشم گریان هم خوش است,,0
390,672,17,1356,آزار دیگران یکی از صفات مذموم است که باید از آن پرهیز کرد,عار بادا جهانیان را عار از دو سه ماده ابله طرار شکلک زاهدان ولی ز درون لیس فی الدار سیدی دیار به دو پول سیاه بتوان یافت زین چنین خربطان دو سه خروار,1163,0
391,14,14,5414,باید حق‌جو وعدالت‌پیشه باشیم,و قال ع ما شککت فی الحق مذ اریته ,184,0
392,888,38,4972,در انتخاب دوست باید دقت کنیم,"Anybody can sympathise with the sufferings of a friend, but it requires a very fine nature to sympathise with a friend's success",,0
393,446,32,3119,باید کم گویی کرد,بلا ندیده دعا را شروع باید کرد علاج واقعه پیش از وقوع باید کرد,,0
394,736,23,3203,باید فرزندان خود را به خوبی تربیت کنیم,در این عالم از هرچه بایستنیست نکوتر ز فرزند شایسته نیست,,0
395,184,17,2109,آزار دیگران یکی از صفات مذموم است که باید از آن پرهیز کرد,ای سنایی عاشقان را درد باید درد کو بار جور نیکوان را مرد باید مرد کو بار جور نیکوان از دی و فردا برتر است وانما جان کسی از دی و فردا فرد کو ور خیال آید تو را کز دی و فردا برتری برتری را کار و بار و ملک و بردابرد کو در میان هفت دریا دامن تو خشک کو در میان هفت دوزخ عنصر تو سرد کو این نداری خود ولیکن گر تو این را طالبی آه سرد و اشک گرم و چهره های زرد کو هر نفس بوی دل آید از صراط المستقیم تا نگویی عشق ره رو را که راه آورد کو گرد از آن دریا برآمد گرد جسم اولیاست تا نگویی قوم موسی را در این یم گرد کو,2199,0
396,171,10,1609,نباید عیبی که خودمان داریم را به دیگران نسبت دهیم,اگر عشقت به جای جان ندارم به زلف کافرت ایمان ندارم چو گفتی ننگ می داری ز عشقم غم عشق تو را پنهان ندارم تو می گفتی مکن در من نگاهی که من خون ها کنم تاوان ندارم من سرگشته چون فرمان نبردم از آن بر نیک و بد فرمان ندارم چو هر کس لطف می یابند از تو من بیچاره آخر جان ندارم,1510,0
397,141,45,486,باید به پدر و مادر احترام گذاشت,ای بی‌خبر بکوش که صاحب خبر شوی تا راهرو نباشی کی راهبر شوی در مکتب حقایق پیش ادیب عشق هان ای پسر بکوش که روزی پدر شوی دست از مس وجود چو مردان ره بشوی تا کیمیای عشق بیابی و زر شوی خواب و خورت ز مرتبه خویش دور کرد آن گه رسی به خویش که بی خواب و خور شوی گر نور عشق حق به دل و جانت اوفتد بالله کز آفتاب فلک خوبتر شوی یک دم غریق بحر خدا شو گمان مبر کز آب هفت بحر به یک موی تر شوی از پای تا سرت همه نور خدا شود در راه ذوالجلال چو بی پا و سر شوی وجه خدا اگر شودت منظر نظر زین پس شکی نماند که صاحب نظر شوی بنیاد هستی تو چو زیر و زبر شود در دل مدار هیچ که زیر و زبر شوی گر در سرت هوای وصال است حافظا باید که خاک درگه اهل هنر شوی,غزل    ۴۸۷,0
398,34,34,5286,باید به قلب و احساسات توجه کرد,قلب الاحمق فی فیه و لسان العاقل فی قلبه ,41,0
399,688,18,3862,نباید اندوهگین شد,Nobody can hurt me without my permission,,0
400,935,43,2944,ما باید راست بگوییم حتی اگر به ضرر ما باشد و نباید دروغ بگوییم حتی اگر به ما سود برساند,گر ما خطا کنیم، عطای تو بی حد است نومیدی از عطای تو، حد خطای ماست,,0
401,829,32,5565,باید کم گویی کرد,و قال ع اللجاجه تسل الرای‌ ,351,0
402,379,9,2933,باید قدردان دارایی‌های خودمان باشیم,هر کجا هستم باشم آسمان مال من است,,0
403,134,42,105,باید سختی‌ها را تحمل کرد,تنت به ناز طبیبان نیازمند مباد وجود نازکت آزرده گزند مباد سلامت همه آفاق در سلامت توست به هیچ عارضه شخص تو دردمند مباد جمال صورت و معنی ز امن صحت توست که ظاهرت دژم و باطنت نژند مباد در این چمن چو درآید خزان به یغمایی رهش به سرو سهی قامت بلند مباد در آن بساط که حسن تو جلوه آغازد مجال طعنه بدبین و بدپسند مباد هر آن که روی چو ماهت به چشم بد بیند بر آتش تو بجز جان او سپند مباد شفا ز گفته شکرفشان حافظ جوی که حاجتت به علاج گلاب و قند مباد,غزل    ۱۰۶,0
404,971,47,428,هرکاری را می‌توان انجام داد به جز تغییر عادت‌ها,ساقی بیا که شد قدح لاله پر ز می طامات تا به چند و خرافات تا به کی بگذر ز کبر و ناز که دیده‌ست روزگار چین قبای قیصر و طرف کلاه کی هشیار شو که مرغ چمن مست گشت هان بیدار شو که خواب عدم در پی است هی خوش نازکانه می‌چمی ای شاخ نوبهار کشفتگی مبادت از آشوب باد دی بر مهر چرخ و شیوه او اعتماد نیست ای وای بر کسی که شد ایمن ز مکر وی فردا شراب کوثر و حور از برای ماست و امروز نیز ساقی مه روی و جام می باد صبا ز عهد صبی یاد می‌دهد جان دارویی که غم ببرد درده ای صبی حشمت مبین و سلطنت گل که بسپرد فراش باد هر ورقش را به زیر پی درده به یاد حاتم طی جام یک منی تا نامه سیاه بخیلان کنیم طی زان می که داد حسن و لطافت به ارغوان بیرون فکند لطف مزاج از رخش به خوی مسند به باغ بر که به خدمت چو بندگان استاده است سرو و کمر بسته است نی حافظ حدیث سحرفریب خوشت رسید تا حد مصر و چین و به اطراف روم و ری,غزل    ۴۲۹,0
405,159,4,1021,نباید براساس ظاهر افراد را قضاوت کرد,آن کس که به بندگیت آید با او تو چنین کنی نشاید ای روی تو خوب و خوی تو خوش چون تو گهری فلک نزاید روی تو و خوی تو لطیفست سر دل تو لطیف باید آن شخص که مردنیست فردا امروز چرا جفا نماید چیزی که به خود نمی پسندد آن بر دگری چه آزماید از خشم مخای هیچ کس را تا خشم خدا تو را نخاید برخیز ز قصد خون خلقان تا بر سر تو فرونیاید آن گاه قضا ز تو بگردد کان وسوسه در دلت نیاید ای گفته که مردم این چه مردیست کابلیس تو را چنین بگاید,717,0
406,451,33,2897,نباید در خوردن زیاده‌روی کرد,دشمن خود را نباید زد تبر گر توانی کشت او را با شکر,,0
407,589,8,5472,باید قبل از سخن گفتن فکر کرد.,و قال ع اذا تم العقل نقص الکلام ,246,0
408,823,32,2290,باید کم گویی کرد,فدیتتک یا ستی الناسیه الی کم تشد فم الخابیه الا فاملای منه لی کاسه تذکرنی صفوه ناسیه فما کاسه منه الا نجی و تاتی باخت لها آبیه,2426,0
409,125,37,205,باید در هنگام پیمان بستن دقت کنیم,پیش از اینت بیش از این اندیشه عشاق بود مهرورزی تو با ما شهره آفاق بود یاد باد آن صحبت شب‌ها که با نوشین لبان بحث سر عشق و ذکر حلقه عشاق بود پیش از این کاین سقف سبز و طاق مینا برکشند منظر چشم مرا ابروی جانان طاق بود از دم صبح ازل تا آخر شام ابد دوستی و مهر بر یک عهد و یک میثاق بود سایه معشوق اگر افتاد بر عاشق چه شد ما به او محتاج بودیم او به ما مشتاق بود حسن مه رویان مجلس گر چه دل می‌برد و دین بحث ما در لطف طبع و خوبی اخلاق بود بر در شاهم گدایی نکته‌ای در کار کرد گفت بر هر خوان که بنشستم خدا رزاق بود رشته تسبیح اگر بگسست معذورم بدار دستم اندر دامن ساقی سیمین ساق بود در شب قدر ار صبوحی کرده‌ام عیبم مکن سرخوش آمد یار و جامی بر کنار طاق بود شعر حافظ در زمان آدم اندر باغ خلد دفتر نسرین و گل را زینت اوراق بود,غزل    ۲۰۶,0
410,223,36,1415,باید اهل یاری کردن یکدیگر بود,ای سنایی گر نیابی یار یار خویش باش در جهان هر مرد و کاری مرد کار خویش باش هر یکی زین کاروان مر رخت خود را رهزنند خویشتن را پس نشان و پیش بار خویش باش حس فانی می دهند و عشق فانی می خرند زین دو جوی خشک بگذر جویبار خویش باش می کشندت دست دست این دوستان تا نیستی دست دزد از دستشان و دستیار خویش باش این نگاران نقش پرده آن نگاران دلند پرده را بردار و دررو با نگار خویش باش با نگار خویش باش و خوب خوب اندیش باش از دو عالم بیش باش و در دیار خویش باش رو مکن مستی از آن خمری کز او زاید غرور غره آن روی بین و هوشیار خویش باش,1244,0
411,20,20,5259,باید مهربان بود,و قال ع اذا قدرت علی عدوک فاجعل العفو عنه شکرا للقدره علیه ,11,0
412,582,8,1213,باید قبل از سخن گفتن فکر کرد.,شعر من نان مصر را ماند شب بر او بگذرد نتانی خورد آن زمانش بخور که تازه بود پیش از آنک بر او نشیند گرد گرمسیر ضمیر جای ویست می بمیرد در این جهان از برد همچو ماهی دمی به خشک طپید ساعتی دیگرش ببینی سرد ور خوری بر خیال تازگیش بس خیالات نقش باید کرد آنچ نوشی خیال تو باشد نبود گفتن کهن ای مرد,981,0
413,469,39,2962,باید وفای به عهد داشته باشیم,حضور خاطر اگر در نماز معتبر است امید ما به نماز نکرده بیشتر است,,0
414,665,16,3023,نباید از دیگران درخواست های متعدد داشت,خر باش که این جماعت از فرط خری هرکو نه خر است کافرش می‌خوانند,,0
415,639,13,5460,باید بخشنده باشیم,و قال ع من حذرک کمن بشرک ,234,0
416,480,43,2987,ما باید راست بگوییم حتی اگر به ضرر ما باشد و نباید دروغ بگوییم حتی اگر به ما سود برساند,بی قدر ساخت خود را، نخوت فزود ما را بر ما و خود ستم کرد، هر کس ستود ما را,,0
417,833,33,1884,نباید در خوردن زیاده‌روی کرد,نی نی به از این باید با دوست وفا کردن نی نی کم از این باید تقصیر و جفا کردن زخمی که زند دستت بر عاشق سرمستت نتواند غیر تو تدبیر دوا کردن مرغی که چشد یک دم از دانه دام تو در خاطر او ناید آهنگ هوا کردن ای کار دو چشم تو بی جرم و گنه کشتن وی کار دو لعل تو حاجات روا کردن خوش واقعه ای دارد دل با غم عشق تو نی روی فروخوردن نی رای رها کردن دعوی صفا کردن در عشق تو نیکو نیست با جان صفا چه بود تفسیر صفا کردن,1886,0
418,110,30,84,نباید مغرور باشیم,شربتی از لب لعلش نچشیدیم و برفت روی مه پیکر او سیر ندیدیم و برفت گویی از صحبت ما نیک به تنگ آمده بود بار بربست و به گردش نرسیدیم و برفت بس که ما فاتحه و حرز یمانی خواندیم وز پی اش سوره اخلاص دمیدیم و برفت عشوه دادند که بر ما گذری خواهی کرد دیدی آخر که چنین عشوه خریدیم و برفت شد چمان در چمن حسن و لطافت لیکن در گلستان وصالش نچمیدیم و برفت همچو حافظ همه شب ناله و زاری کردیم کای دریغا به وداعش نرسیدیم و برفت,غزل    ۸۵,0
419,776,27,3108,در کار خیر باید شتاب کرد و بدی را به تاخیر انداخت.,با بدان کم نشینکه صحبت بد گر چه پاکی تو را پلید کند,,0
420,653,15,2290,کنترل نکردن زبان انسان را بی‌ارزش می‌کند.,فدیتتک یا ستی الناسیه الی کم تشد فم الخابیه الا فاملای منه لی کاسه تذکرنی صفوه ناسیه فما کاسه منه الا نجی و تاتی باخت لها آبیه,2426,0
421,617,11,3873,باید به یتیمان کمک کرد,Wrinkles should merely indicate where the smiles have been,,0
422,981,48,299,باید از منافق دوری کنیم,هزار دشمنم ار می‌کنند قصد هلاک گرم تو دوستی از دشمنان ندارم باک مرا امید وصال تو زنده می‌دارد و گر نه هر دمم از هجر توست بیم هلاک نفس نفس اگر از باد نشنوم بویش زمان زمان چو گل از غم کنم گریبان چاک رود به خواب دو چشم از خیال تو هیهات بود صبور دل اندر فراق تو حاشاک اگر تو زخم زنی به که دیگری مرهم و گر تو زهر دهی به که دیگری تریاک بضرب سیفک قتلی حیاتنا ابدا لان روحی قد طاب ان یکون فداک عنان مپیچ که گر می‌زنی به شمشیرم سپر کنم سر و دستت ندارم از فتراک تو را چنان که تویی هر نظر کجا بیند به قدر دانش خود هر کسی کند ادراک به چشم خلق عزیز جهان شود حافظ که بر در تو نهد روی مسکنت بر خاک,غزل    ۳۰۰,0
423,885,38,3156,در انتخاب دوست باید دقت کنیم,چاره در عشق صبوریست ولیکن تا کی ستم از یار ضروریست ولیکن تا چند,,0
424,283,16,3406,نباید از دیگران درخواست های متعدد داشت,You can never be overdressed or overeducated,,0
425,932,43,1281,ما باید راست بگوییم حتی اگر به ضرر ما باشد و نباید دروغ بگوییم حتی اگر به ما سود برساند,گفتی که زیان کنی زیان گیر گفتی که تو ملحدی چنان گیر گفتی که تو روبهی نه ای شیر ما را سقط همه سگان گیر گفتی که ز دل خبر نداری ای مونس دل مرا زبان گیر,1059,0
426,889,38,5439,در انتخاب دوست باید دقت کنیم,و قال ع من اطال الامل اساء العمل ,212,0
427,842,34,1119,باید به قلب و احساسات توجه کرد,بیمار رنج صفرا ذوق شکر نداند هر سنگ دل در این ره قلب از گهر نداند هر عنکبوت جوله در تار و پود آن چه از ذوق صنعت خود ذوق دگر نداند وان کو ز چه برافتد در جام و ساغر افتد مستیش در سر افتد پا را ز سر نداند,846,0
428,13,13,5563,باید بخشنده باشیم,و قال ع اشد الذنوب ما استهان به صاحبه ,348,0
429,638,13,5110,باید بخشنده باشیم,My religion is very simple. My religion is kindness,,0
430,420,23,2897,باید فرزندان خود را به خوبی تربیت کنیم,دشمن خود را نباید زد تبر گر توانی کشت او را با شکر,,0
431,692,19,1671,باید اهل یادگیری و دانش باشیم,ما شاخ گلیم نی گیاهیم ما شیوه تر و تازه خواهیم اشکوفه باغ آسمانیم نقل و می مجلس الهیم ما جوی نه ایم بلک آبیم ما ابر نه ایم بلک ماهیم لوح و قلمیم نی حروفیم تیغ و علمیم نی سپاهیم هم خسته غمزه چو تیریم هم بسته طره سیاهیم,1575,0
432,641,14,376,باید حق‌جو وعدالت‌پیشه باشیم,ما شبی دست برآریم و دعایی بکنیم غم هجران تو را چاره ز جایی بکنیم دل بیمار شد از دست رفیقان مددی تا طبیبش به سر آریم و دوایی بکنیم آن که بی جرم برنجید و به تیغم زد و رفت بازش آرید خدا را که صفایی بکنیم خشک شد بیخ طرب راه خرابات کجاست تا در آن آب و هوا نشو و نمایی بکنیم مدد از خاطر رندان طلب ای دل ور نه کار صعب است مبادا که خطایی بکنیم سایه طایر کم حوصله کاری نکند طلب از سایه میمون همایی بکنیم دلم از پرده بشد حافظ خوشگوی کجاست تا به قول و غزلش ساز نوایی بکنیم,غزل    ۳۷۷,0
433,412,20,3049,باید مهربان بود,آدمی باید که بی‌حالی نباشد هیچگاه گر لب خندان نباشد چشم گریان هم خوش است,,0
434,354,1,3181,ادب یکی از صفات اخلاقی نیکو است که انسان باید داشته باشد,حاصل زندگی جز این نبود که بمیرد کسی برای کسی,,0
435,961,46,176,نباید عیب دیگران را بر ملا کنیم,نه هر که چهره برافروخت دلبری داند نه هر که آینه سازد سکندری داند نه هر که طرف کله کج نهاد و تند نشست کلاه داری و آیین سروری داند تو بندگی چو گدایان به شرط مزد مکن که دوست خود روش بنده پروری داند غلام همت آن رند عافیت سوزم که در گداصفتی کیمیاگری داند وفا و عهد نکو باشد ار بیاموزی وگرنه هر که تو بینی ستمگری داند بباختم دل دیوانه و ندانستم که آدمی بچه‌ای شیوه پری داند هزار نکته باریکتر ز مو این جاست نه هر که سر بتراشد قلندری داند مدار نقطه بینش ز خال توست مرا که قدر گوهر یک دانه جوهری داند به قد و چهره هر آن کس که شاه خوبان شد جهان بگیرد اگر دادگستری داند ز شعر دلکش حافظ کسی بود آگاه که لطف طبع و سخن گفتن دری داند,غزل    ۱۷۷,0
436,203,26,1021,انسان نباید فخر فروشی داشته باشد.,آن کس که به بندگیت آید با او تو چنین کنی نشاید ای روی تو خوب و خوی تو خوش چون تو گهری فلک نزاید روی تو و خوی تو لطیفست سر دل تو لطیف باید آن شخص که مردنیست فردا امروز چرا جفا نماید چیزی که به خود نمی پسندد آن بر دگری چه آزماید از خشم مخای هیچ کس را تا خشم خدا تو را نخاید برخیز ز قصد خون خلقان تا بر سر تو فرونیاید آن گاه قضا ز تو بگردد کان وسوسه در دلت نیاید ای گفته که مردم این چه مردیست کابلیس تو را چنین بگاید,717,0
437,767,26,3251,انسان نباید فخر فروشی داشته باشد.,The man who does not read has no advantage over the man who cannot read,,0
438,137,43,377,ما باید راست بگوییم حتی اگر به ضرر ما باشد و نباید دروغ بگوییم حتی اگر به ما سود برساند,ما نگوییم بد و میل به ناحق نکنیم جامه کس سیه و دلق خود ازرق نکنیم عیب درویش و توانگر به کم و بیش بد است کار بد مصلحت آن است که مطلق نکنیم رقم مغلطه بر دفتر دانش نزنیم سر حق بر ورق شعبده ملحق نکنیم شاه اگر جرعه رندان نه به حرمت نوشد التفاتش به می صاف مروق نکنیم خوش برانیم جهان در نظر راهروان فکر اسب سیه و زین مغرق نکنیم آسمان کشتی ارباب هنر می‌شکند تکیه آن به که بر این بحر معلق نکنیم گر بدی گفت حسودی و رفیقی رنجید گو تو خوش باش که ما گوش به احمق نکنیم حافظ ار خصم خطا گفت نگیریم بر او ور به حق گفت جدل با سخن حق نکنیم,غزل    ۳۷۸,0
439,327,38,4654,در انتخاب دوست باید دقت کنیم,Reading brings us unknown friend,,0
440,4,4,5564,نباید براساس ظاهر افراد را قضاوت کرد,و قال ع للظالم من الرجال ثلاث علامات یظلم من فوقه بالمعصیه و من دونه بالغلبه و یظاهر القوم الظلمه ,350,0
441,957,45,4408,باید به پدر و مادر احترام گذاشت,The capacity for friendship is God's way of apologizing for our families,,0
442,36,36,5490,باید اهل یاری کردن یکدیگر بود,روی‌ انه ع رفع الیه رجلان سرقا من مال الله احدهما عبد من مال الله و الاخر من عروض الناس فقال ع اما هذا فهو من مال الله و لا حد علیه مال الله اکل بعضه بعضا و اما الاخر فعلیه الحد الشدید فقطع یده ,271,0
443,178,14,2797,باید حق‌جو وعدالت‌پیشه باشیم,خواهیم یارا کامشب نخسپی حق خدا را کامشب نخسپی چون سرو و سوسن تا روز روشن خوبیم و زیبا کامشب نخسپی یار موافق تا صبح صادق شاهی و مولا کامشب نخسپی ای ماه پاره همچون ستاره باشی به بالا کامشب نخسپی از حسن رویت و از لطف مویت خواهد ثریا کامشب نخسپی چون دید ما را مست تو یارا نالید سرنا کامشب نخسپی چون روز لالا دارد علالا کوری لالا کامشب نخسپی در جمع مستان با زیردستان بگریست صهبا کامشب نخسپی قومی ز خویشان گشته پریشان بهر تو تنها کامشب نخسپی,3132,0
444,118,34,347,باید به قلب و احساسات توجه کرد,دیده دریا کنم و صبر به صحرا فکنم و اندر این کار دل خویش به دریا فکنم از دل تنگ گنهکار برآرم آهی کتش اندر گنه آدم و حوا فکنم مایه خوشدلی آن جاست که دلدار آن جاست می‌کنم جهد که خود را مگر آن جا فکنم بگشا بند قبا ای مه خورشیدکلاه تا چو زلفت سر سودازده در پا فکنم خورده‌ام تیر فلک باده بده تا سرمست عقده دربند کمر ترکش جوزا فکنم جرعه جام بر این تخت روان افشانم غلغل چنگ در این گنبد مینا فکنم حافظا تکیه بر ایام چو سهو است و خطا من چرا عشرت امروز به فردا فکنم,غزل    ۳۴۸,0
445,433,27,3102,در کار خیر باید شتاب کرد و بدی را به تاخیر انداخت.,کم کن طمع از جهان و می‌زی خرسند وز نیک و بد زمانه بگسل پیوند,,0
446,960,46,66,نباید عیب دیگران را بر ملا کنیم,یا رب این شمع دل افروز ز کاشانه کیست جان ما سوخت بپرسید که جانانه کیست حالیا خانه برانداز دل و دین من است تا در آغوش که می‌خسبد و همخانه کیست باده لعل لبش کز لب من دور مباد راح روح که و پیمان ده پیمانه کیست دولت صحبت آن شمع سعادت پرتو بازپرسید خدا را که به پروانه کیست می‌دهد هر کسش افسونی و معلوم نشد که دل نازک او مایل افسانه کیست یا رب آن شاهوش ماه رخ زهره جبین در یکتای که و گوهر یک دانه کیست گفتم آه از دل دیوانه حافظ بی تو زیر لب خنده زنان گفت که دیوانه کیست,غزل    ۶۷,0
447,47,47,5344,هرکاری را می‌توان انجام داد به جز تغییر عادت‌ها,و قال ع لا یترک الناس شیئا من امر دینهم لاستصلاح دنیاهم الا فتح الله علیهم ما هو اضر منه ,106,0
448,400,16,2955,نباید از دیگران درخواست های متعدد داشت,هر کسی را سر چیزی و تمنای کسی است ما به غیر از تو نداریم تمنای دگر,,0
449,15,15,5379,کنترل نکردن زبان انسان را بی‌ارزش می‌کند.,و قال ع المرء مخبوء تحت لسانه ,148,0
450,586,8,3154,باید قبل از سخن گفتن فکر کرد.,جهد کن تا بیش از آن باشی که آیی در نظر در لباس لفظ اندک معنی بسیار باش,,0
451,227,38,815,در انتخاب دوست باید دقت کنیم,بر عاشقان فریضه بود جست و جوی دوست بر روی و سر چو سیل دوان تا بجوی دوست خود اوست جمله طالب و ما همچو سایه ها ای گفت و گوی ما همگی گفت و گوی دوست گاهی به جوی دوست چو آب روان خوشیم گاهی چو آب حبس شدم در سبوی دوست گه چون حویج دیگ بجوشیم و او به فکر کفگیر می زند که چنینست خوی دوست بر گوش ما نهاده دهان او به دمدمه تا جان ما بگیرد یک باره بوی دوست چون جان جان وی آمد از وی گزیر نیست من در جهان ندیدم یک جان عدوی دوست بگدازدت ز ناز و چو مویت کند ضعیف ندهی به هر دو عالم یکتای موی دوست با دوست ما نشسته که ای دوست دوست کو کو کو همی زنیم ز مستی به کوی دوست تصویرهای ناخوش و اندیشه رکیک از طبع سست باشد و این نیست سوی دوست خاموش باش تا صفت خویش خود کند کو های های سرد تو کو های هوی دوست,442,0
452,749,24,5791,باید در برابر مشکلات استقامت داشته باشیم,و قال ع اذکروا انقطاع اللذات و بقاء التبعات ,,0
453,773,27,2285,در کار خیر باید شتاب کرد و بدی را به تاخیر انداخت.,مطرب جان های دل برده تا به شب تا به شب همین پرده جان هایی که مست و مخمورند بر سر باده باده ای خورده در خرابات مفردان رفته خرقه آب و گل گرو کرده,2421,0
454,133,41,106,صبر یکی از صفات خردمندان است,حسن تو همیشه در فزون باد رویت همه ساله لاله گون باد اندر سر ما خیال عشقت هر روز که باد در فزون باد هر سرو که در چمن درآید در خدمت قامتت نگون باد چشمی که نه فتنه تو باشد چون گوهر اشک غرق خون باد چشم تو ز بهر دلربایی در کردن سحر ذوفنون باد هر جا که دلیست در غم تو بی صبر و قرار و بی سکون باد قد همه دلبران عالم پیش الف قدت چو نون باد هر دل که ز عشق توست خالی از حلقه وصل تو برون باد لعل تو که هست جان حافظ دور از لب مردمان دون باد,غزل    ۱۰۷,0
